Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Comparative Study of Dietary Flavonoids with Different Structures as α-Glucosidase Inhibitors and Insulin Sensitizers","20194107511601","","Jia, Yijia (1); Ma, Yanli (2); Cheng, Guiguang (1); Zhang, Yuanyue (1); Cai, Shengbao (1) ","(1) Yunnan Institute of Food Safety, Kunming University of Science and Technology, Kunming, Yunnan; 650500, China (2) College of Food Science and Technology, Hebei Agricultural University, Baoding, Hebei; 071001, China ","Cai, Shengbao(caikmust2013@163.com) ","Journal of Agricultural and Food Chemistry","J. Agric. Food Chem.","American Chemical Society","67","37","10521-10533","September 18, 2019","","","2019","English","00218561","15205118","","10.1021/acs.jafc.9b04943","","","","","","JAFCAU","Journal article (JA)","This work was designed to comparatively investigate 27 dietary flavonoids that act as α-glucosidase inhibitors and insulin sensitizers. On the basis of the results of an in vitro experiment of α-glucosidase inhibition, myricetin (IC50 = 11.63 ± 0.36 μM) possessed the strongest inhibitory effect, followed by apigenin-7-O-glucoside (IC50 = 22.80 ± 0.24 μM) and fisetin (IC50 = 46.39 ± 0.34 μM). A three-dimensional quantitative structure-activity relationship model of α-glucosidase inhibitors with good predictive capability [comparative molecular field analysis, q2 = 0.529, optimum number of components (ONC) = 10, R2 = 0.996, F = 250.843, standard error of estimation (SEE) = 0.064, and two descriptors; comparative similarity index analysis, q2 = 0.515, ONC = 10, R2 = 0.997, F = 348.301, SEE = 0.054, and four descriptors] was established and indicated that meta positions of ring B favored bulky and minor, electron-withdrawing, and hydrogen bond donor groups. The presence of electron-donating and hydrogen bond acceptor groups at position 4′ of ring B could improve α-glucosidase activity. Position 3 of ring C favored minor, electron-donating, and hydrogen bond donor groups, whereas position 7 of ring A favored bulky and hydrogen bond acceptor groups. Molecular docking screened five flavonoids (baicalein, isorhamnetin-3-O-rutinoside, apigenin-7-O-glucoside, kaempferol-7-O-β-glucoside, and cyanidin-3-O-glucoside) that can act as insulin sensitizers and form strong combinations with four key protein targets involved in the insulin signaling pathway. Apigenin-7-O-glucoside (60 μM) can effectively improve insulin resistance, and glucose uptake increased by approximately 73.06% relative to the model group of insulin-resistant HepG2 cells. Therefore, apigenin-7-O-glucoside might serve as the most effective α-glucosidase inhibitor and insulin sensitizer. This work may guide diabetes patients to improve their condition through dietary therapy. Copyright © 2019 American Chemical Society.","41","Flavonoids","Glucose - Hydrogen bonds - Insulin - Molecular modeling - Patient treatment - Plants (botany) - Structures (built objects)","Blood glucose - Comparative molecular field analysis - Comparative similarities - Insulin resistance - Molecular docking - Predictive capabilities - Structure activity relationships - Three-dimensional quantitative structure-activity relationship","461.2 Biological Materials and Tissue Engineering - 461.6 Medicine and Pharmacology - 801.4 Physical Chemistry - 804.1 Organic Compounds - 931.3 Atomic and Molecular Physics","Number: ZR2017QD008, Acronym: -, Sponsor: Natural Science Foundation of Shandong Province; Number: -, Acronym: BTBU, Sponsor: Beijing Technology and Business University; Number: 31660461, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The effects of screened compounds on improving insulin resistance were evaluated by in vitro insulin-resistant HepG2 cell models. Before the insulin resistance alleviation experiment, the cytotoxicity of these flavonoids to HepG2 cells was determined through the 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay. These five flavonoids exhibited no cytotoxicity at concentrations of up to 60 &mu;M. Therefore, concentrations of 40 and 60 &mu;M were adopted in subsequent glucose uptake assays. The effect of compounds 11 , 17 , and 27 on the alleviation of insulin resistance at the concentration of 60 &mu;M was similar to that of rosiglitazone (20 &mu;M), which is a thiazolidinedione agent that can alleviate insulin resistance. These dietary flavonoids considerably improved glucose consumption by insulin-resistant HepG2 cells. As shown in Figure 8 , the considerable reduction in glucose consumption by the model group (insulin-resistant HepG2 cells) relative to that by the control group (normal HepG2 cells) indicates that the insulin resistance model was successfully established. These flavonoid compounds alleviated insulin resistance in a concentration-dependent manner. The activities of compounds 27 , 17 , and 11 in improving insulin resistance at the concentration of 60 &mu;M were high and increased by 73.06, 70.08, and 69.48%, respectively, relative to those of the model group. However, the ameliorative effect of these compounds, except for compound 27 , against insulin resistance at low concentrations (40 &mu;M) showed no significant difference from that of the model group. Scazzocchio et al. reported that cyanidin-3- O -glucoside upregulated PPAR-&gamma; activity to enhance GLUT4 translocation in human omental adipocytes and 3T3-L1 cells and to improve glucose uptake activity. (40) Nomura et al. summarized the key structural features of several flavonoids. Specifically, they reported that a hydroxyl in the 4&prime; position or 3&prime; and 4&prime; position of ring B and C2&#9552;C3 double bond in ring C of flavones and flavonols confer considerable inhibitory effects against insulin-stimulated glucose uptake in MC3T3-G2/PA6 adipose cells. (30) Another report also revealed that extracts, including apigenin-7- O -glucoside, from Paulownia fortunei flowers could alleviate insulin resistance in obese mice via the AMPK pathway. (41) Figure 8 Effects of five flavonoids on glucose consumption of the insulin-resistant HepG2 cells. Values are showed as the mean &plusmn; standard deviation (SD) ( n = 5). Means with different letters are significantly different ( p < 0.05). The results of the present work indicate that 27 dietary flavonoids may exert beneficial effects on the alleviation or prevention of T2DM. For &alpha;-glucosidase inhibitors, compound 1 (myricetin) possessed the most potent &alpha;-glucosidase inhibitory effects among those dietary flavonoids, followed by apigenin-7- O -glucoside, fisetin, cyanidin-3- O -glucoside, and luteolin. The 3D-QSAR results indicate that the meta position of ring B favored bulky and minor, electron-withdrawing, and hydrogen bond donor groups. The presence of electron-donating and hydrogen bond acceptor groups at position 4&prime; of ring B would likely improve &alpha;-glucosidase activity. Furthermore, position 3 of ring C favored minor, electron-donating, and hydrogen bond donor groups, whereas position 7 of ring A favored bulky and hydrogen bond acceptor groups. Five flavonoids, namely, baicalein, isorhamnetin-3- O -rutinoside, apigenin-7- O -glucoside, kaempferol-7- O -&beta;-glucoside, and cyanidin-3- O -glucoside, were screened out as potential insulin sensitizers through molecular docking analysis and further verified by an insulin resistance model of HepG2 cells. According to the present results, apigenin-7- O -glucoside may be used as both the most effective &alpha;-glucosidase inhibitor and insulin sensitizer. This work may provide insights on the SAR",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Progress in mechanical properties of gradient structured metallic materials induced by surface mechanical attrition treatment","20193007234351","","Yang, Xu (1); Pan, Hongjiang (1); Zhang, Jinxu (1); Gao, Hongliang (1); Shu, Baipo (1); Gong, Yulan (1); Zhu, Xinkun (1) ","(1) Faculty of Materials Science and Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China ","Zhu, Xinkun(xk_zhu@hotmail.com) ","Materials Transactions","Mater. Trans.","Japan Institute of Metals (JIM)","60","8","1543-1552","2019","","","2019","English","13459678","","","10.2320/matertrans.MF201911","","","","","","MTARCE","Journal article (JA)","It is well known that the bulk nanostructured metallic materials generally exhibit high strength but poor ductility, which greatly hinders their applications. In most cases, material failures usually start from the surface. Therefore, the surface modification is crucial to improving the mechanical properties of metallic materials. The surface mechanical attrition treatment (SMAT) is one of the most effective surface modification methods. It can be used to manufacture gradient nanostructured materials that there is no interfaces between the surface and the coarse-grained matrix. Additionally, the gradient nanostructured metallic materials fabricated by SMAT exhibit a preferable combination of strength and ductility compared with conventional homogeneous materials. It is generally believed that the high strength of the SMAT-ed metallic materials is owing to the surface fine-grain strengthening. Whereas the improved ductility can be attributed to the coarse-grained matrix and the superior work hardening ability of the gradient structured (GS) materials. In this overview, the research progress of the GS metallic materials fabricated by SMAT is summarized. It mainly introduces the microstructure characteristics of the GS layer and the mechanical properties of GS metallic materials. Finally, in order to find the optimal match between the strength and ductility in the GS materials, the several factors affecting the mechanical properties of GS materials are summarized. © 2019 The Japan Institute of Metals and Materials","84","Strength of materials","Ductility - Materials properties - Metals - Nanocrystallization - Strain hardening - Surface treatment","Homogeneous materials - Microstructure characteristics - Nanostructured metallic materials - Strength - Strength and ductilities - Structured materials - Surface mechanical attrition treatments - Surface modification methods","537.1 Heat Treatment Processes - 761 Nanotechnology - 933 Solid State Physics - 951 Materials Science","Number: 51501078, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51561015, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51664033, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors would like to acknowledge financial support by the National Natural Science Foundation of China (NSFC) under Grants No. 51664033, No. 51561015 and No. 51501078.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Assembly of Si@Void@Graphene Anodes for Lithium-Ion Batteries: In Situ Enveloping of Nickel-Coated Silicon Particles with Graphene","20194207544727","","Zhao, Hongye (1, 2); Xu, Xiangyang (1, 2); Yao, Yunfei (1, 2); Zhu, Huamin (1, 2); Li, Yina (3) ","(1) School of Minerals Processing and Bioengineering, Central South University, Changsha; 410083, China (2) Hunan Key Laboratory of Mineral Materials and Application, Central South University, Changsha; 410083, China (3) Yunnan Phinergy Chuang Neng Metal Air Battery Co., Ltd., Kunming; 650000, China ","Xu, Xiangyang(xuxiangyang@csu.edu.cn) ","ChemElectroChem","ChemElectroChem","Wiley-VCH Verlag","6","17","4617-4625","September 2, 2019","","","2019","English","","21960216","","10.1002/celc.201901113","","","","","","","Journal article (JA)","In this report, a yolk-shell-structured Si/graphene (Si/GR) material has been designed and successfully fabricated as an anode for lithium-ion batteries (LIBs). With this approach, Si@Ni composite particles were fabricated by electroless deposition of a nickel template directly on silicon; then, three-dimensional (3D) graphene layers were grown in situ around the composite particles to obtain a Si@Ni@GR structure. After removing the nickel interlayer, some voids were generated between the silicon particles and the graphene layers, thus forming a Si@void@GR structure. The coexistence of voids and the graphene layer may provide a synergistic effect. The voids may reserve space for silicon particles during volume expansion and buffer the mechanical pressure of the graphene layer. Meanwhile, the graphene cover may enhance lithium-ion transport efficiency and electron transport rate, thereby improving the electrical conductivity of the anode. The well-coated layers can also prevent the Si particles from being directly exposed to electrolyte, which can promote the formation of a stable SEI film and reduce the irreversible consumption of Li+. Therefore, such unique yolk-shell structures offer the resultant Si@void@GR electrode a high reversible discharge capacity (1595 mAh g−1 after 100 cycles at a current density of 500 mA g−1) and the capacity to deliver a discharge capacity of 990 mAh g−1 even at a high current density of 4.8 A g−1. © 2019 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","51","Lithium-ion batteries","Anodes - Composite materials - Deposition - Electroless plating - Electrolytes - Electron transport properties - Graphene - Ions - Nickel coatings - Silicon","Electrical conductivity - Electron transport rate - High current densities - Lithium-ion transport - Synergistic effect - Template synthesis - Threedimensional (3-d) - Yolk-shell structures","539.3.2 Electroless Plating - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 702 Electric Batteries and Fuel Cells - 714.1 Electron Tubes - 761 Nanotechnology - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 813.2 Coating Materials - 951 Materials Science","","This work was supported by the Graduate Research and Innovation Project of Central South University (No. 2019zzts691) and the Opening Project of Hunan Key Laboratory of Mineral Materials and Application (MMA201701).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mixing processes in a 3D printed large-flow microstructured reactor: Finite element simulations and experimental study","20191306691256","","Li, Xiteng (1, 2, 3); Jiang, Feng (3, 4); Ravindra, A.V. (1, 2, 3); Zhou, Junwen (1, 2, 3); Zhou, Ao (1, 2, 3); Le, Thiquynhxuan (1, 2, 3); Peng, Jinhui (2, 3); Ju, Shaohua (1, 2, 3) ","(1) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (2) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (3) Key Laboratory of Unconventional Metallurgy, Kunming University of Science and Technology, Kunming; Yunnan; 650093, China (4) Department of Materials Science and Engineering, Southern University of Science and Technology, Shenzhen; Guangdong; 518055, China ","Le, Thiquynhxuan(ltquynhxuan@kmust.edu.cn) ","Chemical Engineering Journal","Chem. Eng. J.","Elsevier B.V.","370","","295-304","15 August 2019","","","2019","English","13858947","","","10.1016/j.cej.2019.03.187","","","","","","CMEJAJ","Journal article (JA)","A large-flow microstructured reactor has been designed and fabricated using microfluidics and 3D printing technology. The finite element model is used in order to study the mixing processes of the species in the reactor. The flow is cut by convection and then mixed with chaos into several zigzag channels to induce recirculation mixing. The distribution of pressure, concentration and inlet velocity of each channel are obtained by solving successively the Navier-Stokes equation and the diffusion-convection equation in the steady state form. The results illustrate the effect of both flow rate and reactor geometry on hydrodynamics efficiency and the influence of flow rate and reactor geometry on fluid dynamics. The simulation reveals the combined contribution of chaotic mixing and laminar flow recirculation with Reynolds number (Re) 1 2+ and Fe3+ using DZ988N show the extraction efficiency of copper to be greater than 75% while the extraction efficiency of iron is less than 5% at high flow rates, with the characteristics of high extraction efficiency, large treatment capacity, and wide range of application. © 2019 Elsevier B.V.","35","3D printers","3D modeling - Copper compounds - Efficiency - Finite element method - Laminar flow - Microfluidics - Microstructure - Mixing - Navier Stokes equations - Reynolds number - Solvent extraction - Sulfur compounds","3-D printing - Diffusion-convection equations - Extraction efficiencies - Finite element simulations - Large-flow - Microfluidic mixing - Microstructured reactors - Reactor geometries","631.1 Fluid Flow, General - 632.5.1 Microfluidics - 745.1.1 Printing Equipment - 802.3 Chemical Operations - 913.1 Production Engineering - 921.2 Calculus - 921.6 Numerical Methods - 951 Materials Science","Number: U1302271, Acronym: -, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (grant numbers: U1302271 )",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Detecting Defects in Porcelain Postinsulator Coated with Room Temperature Vulcanized Silicone Rubber by Pulsed Thermography","20182205264265","","Liu, Lishuai (1); Wang, Liming (1); Guo, Chenjun (1); Mei, Hongwei (2); Zhao, Chenlong (1) ","(1) Laboratory of Advanced Technology of Electrical Engineering and Energy, Graduate School at Shenzhen, Tsinghua University, Shenzhen; 518055, China (2) Electric Power Research Institute, Yunnan Power Grid Co., Ltd., Kunming; 650217, China ","Mei, Hongwei(mei.hongwei@sz.tsinghua.edu.cn) ","IEEE Transactions on Instrumentation and Measurement","IEEE Trans. Instrum. Meas.","Institute of Electrical and Electronics Engineers Inc.","68","1","225-233","January 2019","","","2019","English","00189456","","","10.1109/TIM.2018.2834157","8362799","","","","","IEIMAO","Journal article (JA)","Nondestructive testing is of great significance for preventing fracture accidents of porcelain postinsulators, especially coated with room temperature vulcanized (RTV) silicone rubber. In this paper, the feasibility of pulsed thermography for defects detection of porcelain postinsulators was investigated. 110-kV porcelain postinsulators with crack defects were tested by utilizing the investigated approach. The results show that crack defect as small as 0.4 mm under the RTV silicone rubber coating with the thickness of 1 mm can be accurately identified. Homomorphic filtering method with Fourier transform was applied to correct the nonuniform heating and improve the defect contrast in the thermal images. With the advantages of simple operation, contactless measurement, full-field imaging, and quantitative defect estimation capability, the pulsed thermography would have promising applications in live detection of porcelain postinsulators. © 1963-2012 IEEE.","30","Nondestructive examination","Acoustics - Coatings - Cracks - Elastomers - Electric insulators - Fracture testing - Image enhancement - Image quality - Porcelain - Rubber - Rubber testing - Silicone coatings - Silicones - Temperature measurement - Testing - Thermography (imaging)","Contactless measurement - Full-field imaging - Homomorphic filtering - Pulsed thermography - Room temperature vulcanized - Room Temperature Vulcanized silicone rubber - RTV silicone rubber - Silicone rubber",,"Number: 2017YFB0902702, Acronym: -, Sponsor: -; Number: JCYJ2017081760926795, Acronym: -, Sponsor: Shenzhen Fundamental Research and Discipline Layout project; ","Manuscript received February 5, 2018; revised April 6, 2018; accepted April 16, 2018. Date of publication May 22, 2018; date of current version December 7, 2018. This work was supported in part by the National Key Research and Development Plan of China under Grant 2017YFB0902702 and in part by the Shenzhen Basic Research Project under Grant JCYJ2017081760926795. The Associate Editor coordinating the review process was V. R. Singh. (Corresponding author: Hongwei Mei.) L. Liu, L. Wang, H. Mei, and C. Zhao are with the Laboratory of Advanced Technology of Electrical Engineering and Energy, Graduate School at Shenzhen, Tsinghua University, Shenzhen 518055, China (e-mail: lls17@mails.tsinghua.edu.cn; wanglm@sz.tsinghua.edu.cn; mei.hongwei@sz.tsinghua.edu.cn).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Water-soluble pillar[6]arene functionalized PdPt porous core-shell octahedral nanodendrites to construct highly sensitive and robust neuron-specific enolase immunosensor by host-guest chemistry assisted catalytic amplification","20191606776654","","Zhou, Xu (1); Qian, Xingcan (1); Tan, Xiaoping (3); Ran, Xin (2); Li, Zhi (2); Huang, Zhangjie (1); Yang, Long (2); Xie, Xiaoguang (1) ","(1) School of Chemical Science and Technology, Yunnan University, Kunming; 650091, China (2) Key Laboratory for Forest Resources Conservation and Utilization in the Southwest Mountains of China, Ministry of Education, Yunnan Province Key Lab of Wood Adhesives and Glued Products, School of Materials Science and Engineering, Southwest Forestry University, Kunming; 650224, China (3) Key Lab of Inorganic Special Functional Materials, Chongqing Municipal Education Commission, School of Chemistry and Chemical Engineering, Yangtze Normal University, Chongqing; 408100, China ","Qian, Xingcan(qianxc@ynu.edu.cn) ","Analytica Chimica Acta","Anal. Chim. Acta","Elsevier B.V.","1068","","18-27","30 August 2019","","","2019","English","00032670","18734324","","10.1016/j.aca.2019.04.015","","","","","","ACACAM","Journal article (JA)","In this work, water-soluble pillar[6]arene functionalized PdPt porous core-shell octahedral nanodendrites (WP6@PdPt PCONs) were simply synthesized and used for the fabrication of NSE immunosensor. The newest generation of macrocyclic host and biomimetic nano-enzymes have been effectively integrated to achieve the robust immobilization of signal molecules by host-guest molecular recognition and sensitively catalytic amplification of electrochemical signals. The addition of Pd and the formation of WP6@PdPt PCONs unique bimetallic nanostructure are beneficial to changing Pt-based catalyst electronic structure, accelerating the electron transport, promoting the generation of synergistic catalysis effect. Compared with enzyme-based methods, the fabricated sandwich-type immunosensor demonstrates more advantages in robustness owing to the introduction of host-guest chemistry and biomimetic nano-enzymes. In the wide range from 0.0003 to 100.00 ng mL−1, a good linear relationship (R2 = 0.998) and a low LOD (0.095 pg mL−1, S/N = 3) can be obtained. The proposed immunosensor shows remarkable analytical performances in the measurements of selectivity, stability, reproducibility, and real sample analysis, which provided a promising approach for clinical detection of NSE in human serum. Besides, the successful synthesis of WP6@PdPt PCONs provides a new idea for the preparation of biosensors based on bionic materials, nanotechnology and host-guest molecule recognition. © 2019 Elsevier B.V.","51","Palladium alloys","Aromatic hydrocarbons - Binary alloys - Biomimetic processes - Electron transport properties - Electronic structure - Enzyme immobilization - Immunosensors - Molecular recognition - Molecules - Platinum alloys - Shells (structures) - Synthesis (chemical)","Host-guest molecular recognition - Mimetic enzymes - Nanodendrites - Neuron specific enolase - Watersoluble",,"Number: 21864024, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51764051, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by the National Natural Science Foundation of China (No. 21864024, 51764051), the Program for Leading Talents, Department of Science and Technology of Yunnan Province (grant no. 2017HA013) and the Basic Research Project of Science and Technology Commission of Chongqing (grant no. cstc2017jcyjA0656 and cstc2017jcyjAX0031).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Comprehensive assessment of farmland resource for countries along the Belt and Road - Based on Entropy Weight Method","20193307320551","","Tian, Renqu (1); Yang, Zisheng (2) ","(1) Institute of Economics, Yunnan University of Finance and Economics, Kunming, Yunnan, China (2) Institute of Land and Resources and Sustainable Development, Yunnan University of Finance and Economics, Kunming, Yunnan, China ","Yang, Zisheng(goldfishgogo@163.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Institute of Physics Publishing","295","2","","July 26, 2019","2019 5th International Conference on Energy Materials and Environment Engineering - Environmental Science and Environmental Engineering","2 of 5","2019","English","17551307","17551315","","10.1088/1755-1315/295/2/012008","012008","2019 5th International Conference on Energy Materials and Environment Engineering, ICEMEE 2019","April 12, 2019 - April 14, 2019","Kuala Lumpur, Malaysia","150130","","Conference article (CA)","Farmland resource performance evaluation results are important for enterprises to make overseas farmland investment decisions. Based on Entropy Weight Method, this paper has made analysis and appraisal of farmland resource performance of the countries along the Belt and Road in 2015. First we establish the farmland resource evaluation indicator system with quantitative indicator and sustainable development indicator, and a total of 8 sub-indicators. Second, we use Entropy Weight Method to calculate the weight of each sub-indicator. Third, we order the weighted scores which have been evaluated of countries along the Belt and Road. According to our analysis, the top 5 countries with high farmland resources are: Russian Federation, Lao People's Democratic, Republic Sierra Leone, Brunei and Myanmar. We hope our research can provide scientific reference for China overseas farmland investment decision-making along the Belt and Road. © 2019 Published under licence by IOP Publishing Ltd.","6","Farms","Behavioral research - Decision making - Entropy - Investments - Roads and streets - Sustainable development","Comprehensive assessment - Entropy weight method - Investment decision making - Investment decisions - Quantitative indicators - Resource evaluation - Scientific references - Sustainable development indicators","406.2 Roads and Streets - 641.1 Thermodynamics - 821 Agricultural Equipment and Methods; Vegetation and Pest Control - 912.2 Management - 971 Social Sciences","","Authors wishing to thank Yang Zisheng who kindly provided his help and support, and acknowledge Miao Hongwei's assistance and encouragement. Authors also wish to thank anonymous reviewers for their valuable comments to improve the paper.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Frequency estimation for densely intervaled components based on all-phase filtering","20192407026691","","Yang, Jundong (1); Yu, Jiang (1); Huang, Ming (1); Zhang, Guo (2); Ge, Fuhua (1) ","(1) School of Information Science & Engineering, Yunnan University, Kunming; 650504, China (2) College of Information Engineering & Automation, Kunming University of Science and Technology, Kunming; 650500, China ","Huang, Ming ","Zhendong yu Chongji/Journal of Vibration and Shock","J Vib Shock","Chinese Vibration Engineering Society","38","4","77-82","February 28, 2019","","","2019","Chinese","10003835","","","10.13465/j.cnki.jvs.2019.04.013","","","","","","","Journal article (JA)","To enhance the frequency estimation accuracy for densely-intervaled components, this paper proposed an all-phase filtering based spectrum correction method. Firstly, a factor reflecting the phase linearity deviation of 3 spectral lines centered with the spectral peak was constructed, which can identify whether dense components exist around the frequency position of interest. Secondly, substituting this frequency component into the analytic formula of all-phase narrow-band filter yields all the filter tap coefficients. Lastly, the estimation results were acquired by implementing an existing spectrum correction operation (such as the ratio correction) on the effective sample segment of the all-phase filter's output. Numerical results show that, the proposed estimator can greatly remove the inter-spectra interference errors and thus achieves a higher accuracy than the existing spectrum method, which possesses a vast potential of applied prospects. © 2019, Editorial Office of Journal of Vibration and Shock. All right reserved.","20","Frequency estimation","Numerical methods","All phase - Analytic formula - Estimation results - Frequency components - Narrow band filter - Numerical results - Phase linearity - Spectrum correction","921.6 Numerical Methods",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Comparisons of urban-related warming in Beijing using different methods to calculate the daily mean temperature","20191106614508","","Zhao, Deming (1); Wu, Jian (2) ","(1) CAS Key Laboratory of Regional Climate-Environment for Temperate East Asia, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing; 100029, China (2) Department of Atmospheric Science, Yunnan University, Kunming; 650091, China ","Zhao, Deming(zhaodm@tea.ac.cn) ","Science China Earth Sciences","Sci. China Earth Sci.","Science in China Press","62","4","693-702","April 1, 2019","","","2019","English","16747313","18691897","","10.1007/s11430-018-9298-x","","","","","","","Journal article (JA)","To evaluate the contribution of urban surface expansion to regional warming using different methods to calculate the daily mean surface air temperature (SAT), satellite-based images displaying urban surface expansion over the past 37 years (1980–2016) across China were collected for use in nested numerical experiments using the weather research and forecasting (WRF) regional climate model. The contribution of urban surface expansion to urban-related warming was determined using the daily mean SAT averages based on four time records each day (00, 06, 12, and 18 h UTC, T4) and averages of the SAT maximum (Tmax) and minimum (Tmin) (Txn). The contribution of urban surface expansion to urban-related warming (relative value) in Beijing was 0.110°C per decade (22.8% of total warming) for T4 and 0.094°C per decade (20.2%) for Txn. The values obtained when using T4 were larger than those obtained when using Txn. Differences in the urban-related warming calculated using T4 and Txn could be attributed to the smaller changing trends in Txn in the urban-surface expansion experiment, which resulted from a large changing trend in Tmin and a much smaller changing trend in Tmax. The changes in the diurnal cycle of the energy budget due to urban surface expansion induced changes in the diurnal cycle of SAT, as evidenced by the four time records each day, as well as Tmax and Tmin. This was especially true for periods of intense urban surface expansion, although the annual mean SAT calculated using Txn was larger than that calculated using T4. The increase in impervious area (walls, streets, etc.) due to urban surface expansion, as well as the widespread use of building materials with a large heat capacity resulted in a marked increase in ground heat flux in the daytime. This restricted the increase in SAT in the daytime, but promoted it at night. The increases in SAT due to urban surface expansion were not symmetrical, being smaller in the daytime and larger at night. © 2019, Science China Press and Springer-Verlag GmbH Germany, part of Springer Nature.","25","Atmospheric temperature","Budget control - Climate models - Heat flux - Numerical methods - Specific heat - Weather forecasting","Changing trends - Mean temperature - Surface air temperatures - Urban surfaces - Urban-related warming",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Nondestructive Visualization and Quantitative Characterization of Defects in Silicone Polymer Insulators Based on Laser Shearography","20192807178468","","Liu, Lishuai (1); Guo, Chenjun (2); Wang, Liming (1); Mei, Hongwei (1) ","(1) Laboratory of Advanced Technology of Electrical Engineering and Energy, Graduate School at Shenzhen, Tsinghua University, Shenzhen, China (2) Yunnan Power Grid Co., Ltd., Electric Power Research Institute, Kunming, China ","Wang, Liming(wanglm@sz.tsinghua.edu.cn) ","IEEE Sensors Journal","IEEE Sensors J.","Institute of Electrical and Electronics Engineers Inc.","19","15","6508-6516","August 1, 2019","","","2019","English","1530437X","","","10.1109/JSEN.2019.2912269","8695759","","","","","","Journal article (JA)","Effective defects detection method for silicone polymer insulators is desperately needed to eliminate defective insulators in factory examination and make early warnings for accidents of in-service insulators. This paper investigates a laser shearography method that reveals surface deformation anomalies induced by internal defects after applying thermal excitation. Samples with artificial defects of different sizes and depths in the silicone rubber sheath were tested. Both fringe patterns and phase distribution maps were generated after the experiments for defects identification by indicating the displacement derivative with respect to the shearing direction. The relationship between the defect parameters and the relative phase difference was discussed, and a parameter named detection sensitivity was defined to evaluate the system detection ability on different defects. Finally, Canny edge detection algorithm and proposed image gradient method were employed to quantitatively estimate the defect size, and the ability of identifying defects was also improved. With its noncontact testing, full-field measurement, real-time imaging, and visual results, laser speckle imaging would have quite promising applications in nondestructive testing of silicone polymer insulators and it can be extended for other composite materials insulating equipment. © 2019 IEEE.","31","Nondestructive examination","Edge detection - Glass ceramics - Gradient methods - Image enhancement - Laser excitation - Silicone rubber - Silicones - Speckle","Canny edge detection - Detection sensitivity - Full-field measurement - Laser speckle imaging - Quantitative characterization - Shearing direction - Silicone polymers - Surface deformation","741.1 Light/Optics - 744.9 Laser Applications - 815.1.1 Organic Polymers - 921.6 Numerical Methods","","This work was supported in part by the National Key Research and Development Plan of China under Grant 2017YFB0902702 and in part by the Shenzhen Basic Research Project under Grant JCYJ2017081760926795.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
