Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"An online HDP mixture model for video mining","20190606486171","","Tang, Lin (1); Liu, Lin (2); Tang, Mingjing (3); Sun, Yu (2) ","(1) Key Laboratory of Educational Informatization for Nationalities Ministry of Education, Yunnan Normal University, Kunming; 650500, China (2) School of Information, Yunnan Normal University, Kunming; 650500, China (3) Yunnan Normal University, Kunming; 650500, China ","Sun, Yu(speed8101@sina.com) ","International Journal of Performability Engineering","Int. J. Perform. Eng.","","Totem Publishers Ltd","14","11","2864-2876","November 2018","","","","2018","English","09731318","","","10.23940/ijpe.18.11.p32.28642876","","","","","","","Journal article (JA)","In this paper, we address two problems in video mining: real-time inference and the automatic decision of the number of activities in videos. To solve these problems, we present a real-time Bayesian non-parametric model that is able to discover activities and interactions of videos in real-time. In this model, there are two layers modeled in each scene, which are activities and interactions. An activity is represented as the distribution over visual words, and an interaction is represented as the distribution over activities. Then, the Hierarchical Dirichlet Process (HDP) model connects these two layers of video and automatically decides the number of clusters. Moreover, we developed a hybrid stochastic variational Gibbs sampling algorithm for inferring the parameters of the HDP mixture model. This online inference algorithm has the capacity to process the massive video stream dataset. Finally, the detailed experimental results in a crowded traffic scene and a simulated dataset are described and reveal that our online HDP mixture model achieves superior performance in real-time anomaly activity detection. © 2018 Totem Publisher, Inc. All rights reserved.","19","Stochastic models","Inference engines - Mixtures - Parameter estimation - Stochastic systems","Activity detection - Automatic decision - Hierarchical dirichlet process (HDP) - Inference algorithm - Non-parametric model - Number of clusters - Real-time inference - Video mining","723.4.1 Expert Systems - 922.1 Probability Theory - 961 Systems Science",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Hotspots Trends and Spatio-Temporal Distributions for an Investigative in the Field of Chinese Educational Technology","20190306385854","","Han, Yantao (1, 2, 3); Zhang, Ru (1, 2, 3); Yang, Yang (1, 2, 3) ","(1) Yunnan Normal University, School of Information Science and Technology, China (2) Engineering Research Center of GIS Technology in Western China, Ministry of Education, China (3) Laboratory of Pattern Recognition and Artificial Intelligence, Yunnan Normal University, China ","Yang, Yang(yyang_ynu@163.com) ","International Conference on Geoinformatics","Int. Conf. Geoinformatics","","IEEE Computer Society","2018-June","","","December 3, 2018","Proceedings - 2018 26th International Conference on Geoinformatics, Geoinformatics 2018","","1 of 1","2018","English","2161024X","21610258","9781538676196","10.1109/GEOINFORMATICS.2018.8557196","8557196","26th International Conference on Geoinformatics, Geoinformatics 2018","June 28, 2018 - June 30, 2018","Kunming, China","143470","","Conference article (CA)","In this article we retrieve 11, 653 authoritative journal papers in the field of domestic educational technology from 2008 to 2018, and used Citespace5 to analyze the keywords, authors, and institutions of the sample literatures. Analyzing the hot issues and trends in the research of educational technology by the frequency of keywords, intermediate center and prominence. Analyzing the authors' collaboration knowledge map and the h-index to obtain a high-impact author distribution and cooperation in the field of education technology. Using the author's institutional information to analyze the temporal and spatial distributions of researches in the field of domestic education technology from the regional level. The analysis shows the following six hot issues in the field of education technology in recent years. 'MOOC' and 'big data analysis' have become the hottest research trends in the field; the scholars in the fields are not closely linked, the authors of high influence are relatively stable, and few core teams form a complete cooperation model; the academic development difference between the domestic regions is relatively large, the national research cooperation network is low in density and geographically concentrated. Based on the above issues, the article gives a corresponding summary and reflections, with a view to providing reference for the development of research in the field of education technology. © 2018 IEEE.","17","Probability distributions","Educational technology","Citespace5 - Education technology - Hot trends - Spatial and temporal distribution - Visual analysis","901.2 Education - 922.1 Probability Theory","Number: 0100060502006, Acronym: -, Sponsor: Doctoral Scientific Research Start-up Foundation from Henan University of Technology; Number: 41661080, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Supported by National Natural Science Foundation of China (41661080); Doctoral Scientific Research Foundation of Yunnan Normal University (01000205020503065); College Students’ Scientific Research Training Project of Yunnan Normal University (0100060502006).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Two luminescent lanthanide-organic frameworks containing bithiophene groups for the selective detection of nitrobenzene and Fe3+","20182705388530","","Dou, Ai-Na (1); Yang, Li-Bo (1); Fang, Xiao-Dan (1); Yin, Qi (1); Li, Mao-Dong (1); Li, Ju (1); Wang, Mei-Yan (1); Zhu, Ai-Xin (1); Xu, Quan-Qing (1) ","(1) Faculty of Chemistry and Chemical Engineering, Yunnan Normal University, Kunming; 650500, China ","Zhu, Ai-Xin(zaxchem@126.com) ","CrystEngComm","Crystengcomm","","Royal Society of Chemistry","20","25","3609-3619","2018","","","","2018","English","","14668033","","10.1039/c8ce00530c","","","","","","CRECF4","Journal article (JA)","Two lanthanide-organic frameworks formulated as [Eu2(DMTDC)3(DEF)4]·DEF·6H2O (1) and [Tb2(DMTDC)3(DEF)4]·DEF·6H2O (2) (H2DMTDC = 3,4-dimethylthieno[2,3-b]thiophene-2,5-dicarboxylic acid and DEF = N,N-diethylformamide) have been synthesized under solvothermal conditions by using a bithiophene dicarboxylate organic ligand, H2DMTDC. Compounds 1 and 2 are isomorphous and feature 3D frameworks with uninodal six-connected pcu α-Po topology structures. The systematic luminescence experiments reveal that 1 and 2 can be used as fast-response fluorescence sensors for the sensitive detection of nitrobenzene and Fe3+ions with favorable recyclability through fluorescence quenching. © The Royal Society of Chemistry 2018.","130","Nitrobenzene","Carboxylation - Fluorescence quenching - Rare earth elements","Fluorescence sensors - Lanthanide-organic frameworks - Organic ligands - Selective detection - Sensitive detection - Solvothermal conditions - Thiophene-2 ,5-dicarboxylic acids - Topology structure","547.2 Rare Earth Metals - 802.2 Chemical Reactions - 804.1 Organic Compounds","Number: -, Acronym: NWU, Sponsor: Northwest University; Number: 201708530008, Acronym: CSC, Sponsor: China Scholarship Council; Number: 21162043, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21261028, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21661035, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is financially supported by the National Natural Science Foundation of China (No. 21661035, 21261028 and 21162043) as well as a scholarship provided by the China Scholarship Council (No. 201708530008). We also thank Prof. Lei Hou of Northwest University for conducting the gas absorption tests.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Thermodynamics of Cu/ZnO/Al2O3 water-gas shift catalyst poisoning on yellow phosphorus off-gas","20190206363788","","Jiang, Ming (1); Li, Bo (1); Li, Tao (1); Liu, Hong-Pan (2); Zhan, Fang-Dong (1); Ning, Ping (3) ","(1) College of Resources and Environment, Yunnan Agricultural University, Kunming; 650201, China (2) College of Materials and Chemical Engineering, Chongqing University of Arts and Sciences, Chongqing; 402160, China (3) Faculty of Environmental Science and Engineering, Kunming University of Science and Technology, Kunming; 650500, China ","Zhan, Fang-Dong(zfd97@ynau.edu.cn) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","199","3","","December 19, 2018","2018 1st International Conference on Environment Prevention and Pollution Control Technology, EPPCT 2018 - Industrialization and Technology Impacts on the Environment","","3 of 5","2018","English","17551307","17551315","","10.1088/1755-1315/199/3/032075","032075","2018 1st International Conference on Environment Prevention and Pollution Control Technology, EPPCT 2018","November 9, 2018 - November 11, 2018","Tokyo, Japan","143764","","Conference article (CA)","The thermodynamics of copper-based water-gas shift catalyst for yellow phosphorus off-gas have been calculated according to the thermodynamic theory of heterogeneous reaction systems. The possible chemical reactions and products were analyzed and are discussed here. The results show that AsH3 and S-containing gaseous impurities (H2S, COS, CS2, and SO2) in the yellow phosphorus off-gas can preferentially lead to active CuO poisoning of the catalyst, and the poisoning products are Cu3As and Cu2S. Small amounts of PH3 and P4 were the main cause of the inactivation of the anti-toxic component (ZnO) and the support (Al2O3) in the catalyst. The inactive products were Zn3(PO4)2 and AlPO4, respectively. If yellow phosphorus off-gas is used as the raw material gas for water-gas shift reaction, the As-, S- and P-containing gaseous impurities should be removed to avoid catalyst poisoning. © Published under licence by IOP Publishing Ltd.","11","Water gas shift","Alumina - Aluminum oxide - Catalyst poisoning - Chemical analysis - Chemical shift - Copper oxides - Gases - II-VI semiconductors - Phosphorus - Pollution control - Thermodynamics - Zinc oxide","Copper-based - Gaseous impurities - Heterogeneous reaction systems - Thermodynamic theory - Toxic components - Water gas shift (WGS) reaction - Water gas shift catalysts - Yellow phosphorus","641.1 Thermodynamics - 802.2 Chemical Reactions - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 931.3 Atomic and Molecular Physics","Number: 51768074, Acronym: -, Sponsor: National Natural Science Foundation of China; ","The authors gratefully acknowledge the financial support from the National Natural Science Foundation of China (No. 51768074), and the Scientific Research Foundation of Yunnan Agricultural University (No. A2002350).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of Data Mining Based on Object Oriented Analysis Method","20183805838791","","Sun, Jing (1); Sun, Yu. (1) ","(1) Department of Information, Yunnan Normal University of China, China ","","Journal of Physics: Conference Series","J. Phys. Conf. Ser.","","Institute of Physics Publishing","1069","1","","August 30, 2018","3rd Annual International Conference on Information System and Artificial Intelligence, ISAI 2018","","1 of 1","2018","English","17426588","17426596","","10.1088/1742-6596/1069/1/012041","012041","3rd Annual International Conference on Information System and Artificial Intelligence, ISAI 2018","June 22, 2018 - June 24, 2018","Suzhou, Jiangsu, China","139531","","Conference article (CA)","Object oriented analysis is used to analyze the discipline of data mining. The subject of data mining is considered as a system, combining the concepts of class, attribute, method and relation between class and class in object oriented analysis method, and summarize the main task flow, pattern method, and some algorithm used in data mining. A systematic understanding of the content of data mining. © 2018 Institute of Physics Publishing. All rights reserved.","4","Data mining","Artificial intelligence - Information systems - Information use","Analysis of data - Main tasks - Object-oriented analysis","723.2 Data Processing and Image Processing - 723.4 Artificial Intelligence - 903.3 Information Retrieval and Use",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analog Ultra-High Speed Thyristor Design Based on Baker Anti-Saturation Circuit","20191306703344","","Xie, Hongling (1); Li, Juan (1); Niu, Lin (1); Cai, Qun (1) ","(1) Honghe University, Mengzi City of Yunnan Province; 661100, China ","Li, Juan(32549071@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","452","4","","December 13, 2018","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering - Electrical Engineering and Automation","","4 of 4","2018","English","17578981","1757899X","","10.1088/1757-899X/452/4/042032","042032","2018 3rd International Conference on Insulating Materials, Material Application and Electrical Engineering, IMMAEE 2018","September 15, 2018 - September 16, 2018","Melbourne, VIC, Australia","146105","","Conference article (CA)","The turn-on time of ordinary thyristors is affected by the distribution parameters and the positive feedback process, and the turn-on time is longer. At the same time, due to the saturation of the internal transistors, the carriers in the three conductive regions accumulate, which results in a long carrier recombination time during turn-off, so the thyristor turn-off time is also very long. In order to solve the problem of slow speed of common thyristor switch, this paper designs an analog ultra-high-speed thyristor with thyristor characteristics. The analog ultra-high-speed thyristor is composed of fully discrete devices, using symmetric Baker anti-saturation clamp. The circuit clamps the tube voltage drop of both transistors to about 1.4V, and the transistor does not enter saturation, which greatly increases the switching time. The measured results show that the analog ultra-high-speed thyristor has an on-time of less than 30 ns and a turn-off time of less than 50 ns. The switching speed is about two orders of magnitude higher than that of the high-frequency thyristor, and provides an idea for the design of high speed power devices and the tube drop clamp of transistors. © 2018 Published under licence by IOP Publishing Ltd.","5","Thyristors","Feedback - Insulating materials - Speed - Timing circuits - Transistors","Anti saturations - Carrier recombination time - Distribution parameters - High frequency HF - Measured results - Orders of magnitude - Thyristor switch - Ultra high speed","413 Insulating Materials - 713.4 Pulse Circuits - 714.2 Semiconductor Devices and Integrated Circuits - 731.1 Control Systems","Number: 61463013, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Fund Project: Uncertain Dynamic Optimization Algorithm for Nonferrous Metallurgical Process Systems (National Natural Science Foundation of China 61463013); Microgrid Operation and Energy Optimization Research with Multi-energy Complementary Wind and Light Storage (Yunnan Science and Technology Department Youth Project 2015FD049).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Changes of Wetlands in Southwest of China based on Remote Sensing Image and Statistical Data Recognition Technologies: From 1990 to 2016","20183405734352","","Lü, Dongpeng (1); Wu, Zhaolu (1) ","(1) Institute of Ecology and Geobotany, Yunnan University, Yunnan Province, Kunming; 650500, China ","Wu, Zhaolu(zhaolu199@126.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","170","2","","July 17, 2018","2nd International Symposium on Resource Exploration and Environmental Science - 1. Resource Exploration and Utilization, Geography and Geological Engineering","","2 of 5","2018","English","17551307","17551315","","10.1088/1755-1315/170/2/022059","022059","2018 2nd International Symposium on Resource Exploration and Environmental Science, REES 2018","April 28, 2018 - April 29, 2018","Ordos, China","138565","","Conference article (CA)","Wetlands play a significant role in the sustainable development of ecological environment. Nevertheless, the ecosystem of many wetlands has been disturbed and even undermined by recent urbanization and human productive activities. Especially, impact on wetland landscape will affect its ecological function. In this paper, we analyze the changes of wetlands in Southwest China, and have produced the following four results: (1) the area of wetland waters in the study area has been decreasing year by year. From 1990 to 2010 this tendency was particularly prominent; (2) The changes of the international, national and provincial important lake wetlands, which are represented by Lashi Sea, Dianchi Lake and Fuxian Lake, are not obvious in four periods; (3) The sum of the other lake watersheds changed significantly in four periods, slightly higher in 2000 than in 1990, and then decreased rapidly year after year; (4) The changes of the important large reservoirs are more obvious than other lakes; (5) Other reservoir, bottomland and marsh declined sharply by 44.79% from 375.47 km2 in 1990 to 201.07 km2 in 2016;(6) Natural, societal, and economic, as well as human, activities are the major factors of the changes of the wetland landscape in the southwest China.Results suggest that the ecological environment of wetlands should be protected to maximize the function of wetland ecosystems in southwest China. © Published under licence by IOP Publishing Ltd.","16","Wetlands","Ecosystems - Lakes - Natural resources exploration - Remote sensing - Reservoirs (water) - Sustainable development","Ecological environments - Ecological functions - Lake watersheds - Remote sensing images - Southwest China - Statistical datas - Wetland ecosystem - Wetland landscapes","441.2 Reservoirs - 454.3 Ecology and Ecosystems","Number: -, Acronym: NSF, Sponsor: National Science Foundation; Number: -, Acronym: City, Sponsor: City, University of London; Number: 41471149, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31670472, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","From the Lash Lake satellite image contrast (Figure 9) it can be seen that in 1990, Lash Lake was occupied for human activities. From 2000 to 2016, the water area of Lash Lake is increasing year by year. And "Management Measures of Provincial Nature Reserves in Lashihai Wetland of lining City, Yunnan Province" was just passed by the Standing Committee of Young County People's Congress in Lining in 1999. At the same year, Lash Lake was funded by the National Science Foundation, United States Unlike the important international, national and provincial lake wetlands, the research results show that the water area of reservoirs and other lake wetlands has changed significantly in the four periods, especially between 2000 and 2016, for this there are two reasons: 1) Reservoirs and other small lakes, bottomland and marsh wetlands do not have as much social attention as unimportant wetlands.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design and implementation of modified DDS based on FPGA","20190706493928","","Wang, Pu (1); Zhang, Yuming (1); Yang, Jun (1) ","(1) School of Information Science and Engineering, Yunnan University, KunMing; 650091, China ","Yang, Jun(junyang@ynu.edu.cn) ","Procedia Computer Science","Procedia Comput. Sci.","","Elsevier B.V.","131","","261-266","2018","Recent Advancement in Information and Communication Technology: Proceedings of the International Conference of Information and Communication Technology, ICICT 2018","","1 of 1","2018","English","","18770509","","10.1016/j.procs.2018.04.212","","8th International Congress of Information and Communication Technology, ICICT 2018","January 27, 2018 - January 28, 2018","Xiamen, China","144692","","Conference article (CA)","Frequency synthesizer is known as the 'heart' of electronic systems, direct digital frequency synthesizer (DDS) relative to the first two generation of frequency synthesis technology has obvious advantages, but also existing traditional structure of the DDS output stray too, shortage of output frequency is limited. Aiming at these two problems, the overall structure of DDS is improved by compression algorithm, phase jitter and balanced DAC structure. The parallel phase accumulator is designed with parallel and flow technology, and the output frequency of the system is improved. At the same time, using the FPGA technology, the various modules were implemented by Verilog HDL language design, and finally the modified DDS model was completed based on FPGA design. © 2018 The Authors. Published by Elsevier Ltd.","6","Structural design","Computer hardware description languages - Field programmable gate arrays (FPGA) - Frequency synthesizers - Integrated circuit design - Jitter - Parallel flow","Compression algorithms - Design and implementations - Direct digital frequency synthesizer - Electronic systems - Frequency synthesis - Output frequency - Phase accumulators - Traditional structures","408.1 Structural Design, General - 631.1 Fluid Flow, General - 713.2 Oscillators - 714.2 Semiconductor Devices and Integrated Circuits - 721.2 Logic Elements - 723.1.1 Computer Programming Languages","Number: 2015FB115, Acronym: -, Sponsor: Applied Basic Research Key Project of Yunnan; ","The author, Pu Wang, thanks the Application of basic research project in yunnan province, "key technology research of automatic real-time detection of solar radio explosion based on video treatment" (No. 2015FB115).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Experimental Study on Mechanical Properties of Red Sandstone Under Low Temperatures and Impact","20192206986448","","Yang, Yang (1); Yang, Ren-Shu (2); Wang, Jian-Guo (1); Fang, Shi-Zheng (2); Dai, Qi-Liang (1); Zhang, Nian-Nian (2) ","(1) College of Water Conservancy, Yunnan Agricultural University, Kunming; Yunnan; 650201, China (2) School of Mechanics and Civil Engineering, China University of Mining and Technology(Beijing), Beijing; 100083, China ","Wang, Jian-Guo(badtuoer@163.com) ","Beijing Ligong Daxue Xuebao/Transaction of Beijing Institute of Technology","Beijing Ligong Daxue Xuebao","","Beijing Institute of Technology","38","","1-6 and 13","December 1, 2018","","","","2018","Chinese","10010645","","","10.15918/j.tbit1001-0645.2018.s2.001","","","","","","BLXUEV","Journal article (JA)","The dynamic mechanical properties of red sandstone at negative temperature were studied by the dynamic impact test of Hopkinson pressure bar (SHPB), and the effects of different degrees of negative temperature on strength, damage variables and energy dissipation of rock were analyzed. Based on the microscopic fracture morphology obtained by SEM scanning, the reasons for the deterioration of dynamic mechanical properties of rock under low negative temperature were revealed. The study shows that low negative temperature will lead to frostbite of red sandstone, which will lose bearing capacity rapidly under high strain rate loading, and the dynamic mechanical strength will drop sharply; The negative temperature is equivalent to applying precompressive stress to the red sandstone, the whole rock tends to be brittle, but the ability to resist tensile stress is enhanced. According to the fracture morphology analysis, red sandstone appears strength degradation after -30. © 2018, Editorial Department of Transaction of Beijing Institute of Technology. All right reserved.","4","Dynamics","Bearings (machine parts) - Deterioration - Energy dissipation - Fracture - Lasers - Masers - Mechanical properties - Mechanical testing - Morphology - Sandstone - Strain rate - Stress analysis - Temperature","Damage variables - Dissipation energy - Dynamic mechanical property - Fracture morphology - Hopkinson pressure bar - Negative temperatures - SHPB - Strength degradation","482.2 Minerals - 525.4 Energy Losses (industrial and residential) - 601.2 Machine Components - 641.1 Thermodynamics - 714 Electronic Components and Tubes - 744.1 Lasers, General - 943.2 Mechanical Variables Measurements - 951 Materials Science",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Intelligent digital alarm clock","20192807156772","","Yin, Meisu (1); Yin, Qun (1); Gu, Ji (1); Luo, Rui (1) ","(1) Kunming University of Science and Technology College, Kunming, Yunnan, China ","Yin, Qun ","Proceedings of 2018 IEEE 4th Information Technology and Mechatronics Engineering Conference, ITOEC 2018","Proc. IEEE Inf. Technol. Mechatronics Eng. Conf., ITOEC","Chongqing Geeks Education Technology Co., Ltd; Chongqing Global Union Academy of Science and Technology; Global Union Academy of Science and Technology; IEEE Harbin Section","Institute of Electrical and Electronics Engineers Inc.","","","1924-1928","December 2018","Proceedings of 2018 IEEE 4th Information Technology and Mechatronics Engineering Conference, ITOEC 2018","","1 of 1","2018","English","","","9781538653739","10.1109/ITOEC.2018.8740479","8740479","4th IEEE Information Technology and Mechatronics Engineering Conference, ITOEC 2018","December 14, 2018 - December 16, 2018","Chongqing, China","148925","","Conference article (CA)","There are many design methods for digital clock, but this paper designed a single chip microcomputer STC89C52, DS1302 clock chip, DS18B20 temperature sensor and LCD1602 liquid crystal display are the main components, adopting microcontroller C language programming, which has the intelligent digital alarm clock with time and temperature display, alarm setting, time of the hour on the hour and lunar viewing. © 2018 IEEE.","8","Clocks","Alarm systems - C (programming language) - Liquid crystal displays - Microcomputers","Alarm clock - Design method - Digital - Digital clocks - DS18B20 temperature sensors - Intelligent - Single chip microcomputers - Temperature displays","722.4 Digital Computers and Systems - 723.1.1 Computer Programming Languages - 943.3 Special Purpose Instruments",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On-orbit space camera self-calibration based on the orthogonal vanishing points obtained from solar panels","20182105237290","","Zhang, Gaopeng (1, 2); Zhao, Hong (1); Hong, Yang (3); Ma, Yueyang (1); Li, Jing (1); Guo, Huinan (2) ","(1) State Key Laboratory for Manufacturing Systems Engineering, Xi'An Jiaotong University, Xi'an, Shaanxi; 710049, China (2) Xi'An Institute of Optics and Precision Mechanics, CAS, Xi'an; 710119, China (3) Troops 95703 PLA, Qujing, Yunnan; 655601, China ","","Measurement Science and Technology","Meas. Sci. Technol.","","Institute of Physics Publishing","29","6","","May 4, 2018","","","","2018","English","09570233","13616501","","10.1088/1361-6501/aab4d6","065013","","","","","MSTCEP","Journal article (JA)","As one of the key steps of machine visual investigation, camera calibration is indispensable for obtaining an accurate 3D profile of measured objects and positioning the target. However, it is almost impossible to calibrate a camera on-orbit in real time, for the feature points in space are irregular. To self-calibrate camera parameters in orbit, we propose a method to calibrate the camera using the orthogonal vanishing points obtained from a solar panel, which is a common component of most man-made space satellites. Using two sets of images of orthogonal parallel ribs of a solar panel under any two positions, four vanishing points are achieved. Based on the geometrical property of the orthogonal vanishing point and the infinite homography relationship between the corresponding vanishing points under different camera positions, a camera self-calibration method is proposed, and constraint equations are established to calibrate the intrinsic parameters of the camera linearly. Aiming at restraining the influence of the noise on the calibration result, an objective function based on the inverse point characteristics of rectangular imaging is proposed, and the Levenberg-Marquardt optimization algorithm is used to nonlinearly optimize the intrinsic parameters. Simulated and experimental results show that the 2D reprojection error is 0.86 pixels. This method, therefore, has better applicability in some significant space and national defense missions, such as space rendezvous and docking, attack-defense, and on-orbit servicing. The optimization algorithm shows good anti-noise interference performance, therefore the robustness of the calibration algorithm is improved. © 2018 IOP Publishing Ltd.","24","Cameras","Calibration - Computer vision - Image retrieval - Inverse problems - Manned space flight - Network security - Optimization - Orbits - Solar cell arrays - Solar concentrators - Space rendezvous","Anti-noise interference - Camera self calibration - Levenberg Marquardt optimizations - On orbit - Optimization algorithms - Orthogonal vanishing points - Self calibration - Vanishing point","656.1 Space Flight - 657.1 Solar Energy and Phenomena - 702.3 Solar Cells - 723 Computer Software, Data Handling and Applications - 723.5 Computer Applications - 742.2 Photographic Equipment - 921.5 Optimization Techniques","Number: 61575157, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research is supported by the National Natural Science Foundation of China (No. 61575157).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Visual Persons Behavior Diary Generation Model based on Trajectories and Pose Estimation","20181705111225","","Gang, Chen (1, 2); Bin, Chen (2, 3); Yuming, Liu (4); Hui, Li (4) ","(1) Chengdu Institute of Computer Application, Chinese Academy of Sciences, Chengdu; 610041, China (2) University of Chinese Academy of Sciences, Beijing; 100049, China (3) Guangzhou Institute of Electric Technology, Chinese Academy of Science, Guangzhou; 510070, China (4) Electronic Dispatch Control Center of Yunnan Power Grid Group Co. LTD, China ","Gang, Chen(chengangfzu@foxmail.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","China University of Petroleum; Sun Yat-sen University","Institute of Physics Publishing","322","6","","March 29, 2018","2017 International Symposium on Application of Materials Science and Energy Materials, SAMSE 2017 - Chapter 5 Artificial Intelligence","","6 of 7","2018","English","17578981","1757899X","","10.1088/1757-899X/322/6/062020","062020","2017 International Symposium on Application of Materials Science and Energy Materials, SAMSE 2017","December 28, 2017 - December 29, 2017","Shanghai, China","135775","","Conference article (CA)","The behavior pattern of persons was the important output of the surveillance analysis. This paper focus on the generation model of visual person behavior diary. The pipeline includes the person detection, tracking, and the person behavior classify. This paper adopts the deep convolutional neural model YOLO (You Only Look Once)V2 for person detection module. Multi person tracking was based on the detection framework. The Hungarian assignment algorithm was used to the matching. The person appearance model was integrated by HSV color model and Hash code model. The person object motion was estimated by the Kalman Filter. The multi objects were matching with exist tracklets through the appearance and motion location distance by the Hungarian assignment method. A long continuous trajectory for one person was get by the spatial-temporal continual linking algorithm. And the face recognition information was used to identify the trajectory. The trajectories with identification information can be used to generate the visual diary of person behavior based on the scene context information and person action estimation. The relevant modules are tested in public data sets and our own capture video sets. The test results show that the method can be used to generate the visual person behavior pattern diary with certain accuracy. © Published under licence by IOP Publishing Ltd.","8","Face recognition","Hash functions - Trajectories","Appearance modeling - Assignment algorithms - Behavior patterns - Context information - Detection framework - Linking algorithms - Multi-person tracking - Surveillance analysis",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Techno-economic evaluation of biomass-to-synthesis gas (BtS) based on gasification","20175104563156","","Gao, Wei (1); Wang, Shaohui (2); Li, De-Xun (3); Liu, Jia-Bao (4); Farahini, Mohammad Reza (5); Huo, Yuhong (6); Imran, Muhammad (7, 8); Doranehgard, Mohammad (9) ","(1) School of Information Science and Technology, Yunnan Normal University, Kunming, China (2) Department of Mathematics, Savannah State University, Savannah; GA, United States (3) Department of Economics and Management, Anhui University of China Medicine, Hefei, China (4) School of Mathematics and Physics, Anhui Jianzhu University, Hefei, China (5) Department of Applied Mathematics, Iran University of Science and Technology (IUST), Narmak Tehran, Iran (6) School of Finance, Huainan Normal University, Huainan, China (7) Department of Mathematical Sciences, United Arab Emirates, Al Ain, United Arab Emirates (8) Department of Mathematics, School of Natural Sciences (SNS), Natural University of Science and Technology, Islamabad, Pakistan (9) Laboratory of Sustainable Technologies, Institute for Green Energy Development, Tehran, Iran ","Gao, Wei(gaoyun@ynnu.edu.cn) ","Energy Sources, Part B: Economics, Planning and Policy","Energy Sources Econ. Plann. Policy","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","13","2","83-90","February 1, 2018","","","","2018","English","15567249","15567257","","10.1080/15567249.2016.1241839","","","","","","","Journal article (JA)","Gasification is a thermochemical process to produce a clean syngas with low emissions and high caloric value (4.0–22.0 MJ/N m3) compared to other thermal processes. In this research work, an Aspen Plus/Icarus model used to evaluate the techno-economic aspects of gasification process to convert the biomass particles into syngas. Results showed as the plant size increases the DCFROR and ROI increases; however, a reverse impact obtained for PBP. It is also found the gasification of small-size particles plays a major role in the process; smaller particle size is affordable compared to the larger particle size. Although the present model used for techno-economic evaluation of biomass gasification, it can be used as a general model to study the economic aspects of gasification process for other feedstocks such as oil, coal, and municipal solid wastes. © 2016 Taylor & Francis.","14","Economic analysis","Biomass - Gasification - Municipal solid waste - Particle size - Synthesis gas","ASPEN PLUS - Biomass Gasification - DCFROR - Gasification process - Larger particle sizes - Small size particles - Techno-economic evaluation - Thermo chemical process","452 Municipal and Industrial Wastes; Waste Treatment and Disposal - 802.3 Chemical Operations - 911.2 Industrial Economics",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
