Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Research on Products Quality Stability Based on Near Infrared Spectroscopy and Feature Extraction of PCA Radar Chart","20185206314405","","Qin, Yu-Hua (1); Zhang, Hai-Tao (2); Gao, Rui (2); Zhang, Lei (3) ","(1) College of Information Science and Technology, Qingdao University of Science and Technology, Qingdao; 266061, China (2) Technical Research Center, China Tobacco Yunnan Industrial Co., Ltd., Kunming; 650024, China (3) College of Information Science and Engineering, China Ocean University, Qingdao; 266100, China ","Qin, Yu-Hua(yuu71@163.com) ","Faguang Xuebao/Chinese Journal of Luminescence","Faguang Xuebao","","Chines Academy of Sciences","39","11","1627-1632","November 1, 2018","","","","2018","Chinese","10007032","","","10.3788/fgxb20183911.1627","","","","","","FAXUEW","Journal article (JA)","Due to the low efficiency, long detection time, and lack of visual results show of the quality monitoring of cigarette products, the near infrared spectroscopy analysis techniques were applied to the process of product stability control and a new feature extraction method of the fingerprint spectrum was presented. Firstly, the principal component analysis method was used for the dimension reduction of the near infrared (NIR) spectra, and the radar chart was employed for the visual description of the quality stability trends of the products. This ensures the unification of integrity and fuzziness of the spectra data. And then, the barycentre features of the radar chart were extracted, which realized the demonstration of the internal structure of the samples. Also the model of the quality stability and the abnormal type was established. The study shows that this feature extraction method achieves desired result and can be used in the quality monitoring and counterfeit identification of the cigarette products. © 2018, Science Press. All right reserved.","13","Quality control","Extraction - Feature extraction - Infrared devices - Near infrared spectroscopy - Principal component analysis - Radar - Spectrum analysis - Stability - Tobacco","Dimension reduction - Feature extraction methods - Fingerprint spectra - Near infrared spectra - Near-infrared spectroscopy analysis - Principal component analysis method - Products quality - Radar chart","716.2 Radar Systems and Equipment - 802.3 Chemical Operations - 821.4 Agricultural Products - 913.3 Quality Assurance and Control - 922.2 Mathematical Statistics","","Supported by National Science and Technology Support Project(2015BAF12B01); Project of Yunnan China Tobacco Industry Co., Ltd. (2017XX02, 2018JC01).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A hybrid proline-rich cell-wall protein gene JsPRP1 from Juglans sigillata Dode confers both biotic and abiotic stresses in transgenic tobacco plants","20181905178006","","Liu, D.Q. (1); Han, Q. (1); Shah, T. (1); Chen, C.Y. (1); Wang, Q. (1); Tang, B.F. (1); Ge, F. (1) ","(1) Faculty of Life Science and Technology, Kunming University of Science and Technology, Kunming; Yunnan; 650500, China ","Liu, D.Q.(Diqiuliu@126.com) ","Trees - Structure and Function","Trees Struct. Funct.","","Springer Verlag","32","5","1199-1209","October 1, 2018","","","","2018","English","09311890","","","10.1007/s00468-018-1702-3","","","","","","TRESEY","Journal article (JA)","Key message: Walnut hybrid proline-rich protein gene JsPRP1 was induced by Colletotrichum gloeosporioides and signaling molecules. JsPRP1 protein inhibited pathogenic fungi. JsPRP1 overexpression in tobacco conferred strong resistance to abiotic and biotic stresses. Abstract: Walnut (Juglans sigillata Dode) is one of the important sources of nuts and timbers in the world. With the expansion of walnut cultivation area, its disease hazards have become a serious problem. In this study, a novel hybrid proline-rich cell-wall protein gene JsPRP1 was investigated and isolated from Juglans sigillata Dode induced by Colletotrichum gloeosporioides. qRT-PCR (quantitative reverse transcription-PCR) analysis showed that JsPRP1 transcriptional level was up-regulated in J. sigillata Dode following jasmonic acid, salicylic acid, ethylene, and hydrogen peroxide treatments, and C. gloeosporioides inoculation. The JsPRP1 gene was further fused with green fluorescent protein (GFP) gene in a plant expression vector and transferred into onion (Allium cepa) epidermal cells. Laser scanning confocal microscope confirmed that JsPRP1 was expressed in the cell wall. Moreover, the JsPRP1 protein was expressed in Escherichia coli, and the recombinant protein purified by Ni–NTA column showed in vitro antifungal activity to C. gloeosporioides, Gibberella moniliformis, Botryosphaeria dothidea, and Fusarium solani. Furthermore, the plant overexpression vector of JsPRP1 was constructed and transferred into tobacco. The T2 transgenic tobacco showed high tolerance to drought, CdCl2, and C. gloeosporioides infection, meanwhile the accumulation of reactive oxygen species (ROS) in transgenic tobacco was significantly lower than wild-type plant under stress. The above results indicate that JsPRP1 is an important defense gene in J. sigillata Dode against drought, CdCl2 stress, and C. gloeosporioides infection. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","27","Recombinant proteins","Cadmium chloride - Chlorine compounds - Cytology - Drought - Escherichia coli - Ethylene - Fungi - Salicylic acid - Tobacco - Transcription","Colletotrichum gloeosporioides - Juglans sigillata dode - Proline-rich proteins - Stress tolerance - Transgenic tobacco",,"Number: 2011BAD46B00, Acronym: MOST, Sponsor: Ministry of Science and Technology of the People's Republic of China; ","This study appreciates the fund from Supporting Plan Issue of the Ministry of Science and Technology of China (2011BAD46B00). The authors declare that they have no conflict of interest.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Reinforcement online learning for emotion prediction by using physiological signals","20172603810094","","Liu, Weifeng (1); Zhang, Lianbo (1); Tao, Dapeng (2); Cheng, Jun (3) ","(1) China University of Petroleum (East China), Qingdao 266580, China (2) Yunnan University, Kunming 650091, China (3) Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen 518055, China ","Liu, Weifeng(liuwfxy@gmail.com) ","","","","Elsevier B.V.","107","","123-130","1 May 2018","","Video Surveillance-oriented Biometrics","","2018","English","01678655","","","10.1016/j.patrec.2017.06.004","","","","","","","Journal article (JA)","Physiological signals generated from human internal organs can objectively and truly reflect the real-time variations of human emotion and monitor body situation. Recently, with the accessibility of a massive number of physiological signal data, emotion analysis by using physiological signals is attracting an increasing attention and many methods have been reported by using electroencephalogram (EEG) or peripheral physiological signals. Although the prominent online learning methods can predict the emotion status with time varying physiological signals, it does not consider the reward of current operation in each iteration. To tackle this problem, in this paper, we propose a reinforcement online learning (ROL) method for real-time emotion state prediction by exploiting the reward to modify the predictor during the online training iterations. In each iteration, we evaluate the reward and then select some specific instances into predictor learning. It gains both significant time reduction and prominent performance. We apply the reinforcement online learning to least squares (LS) and support vector regression (SVR) for Emotion Prediction, respectively. Extensive experiments are conducted on artificial dataset and real-world physiological signal dataset (DEAP dataset) and the experimental results validate the effectiveness of the proposed method. © 2017 Elsevier B.V.","37","E-learning","Electroencephalography - Forecasting - Iterative methods - Physiology - Reinforcement learning","41A05 - 41A10 - 65D05 - 65D17 - Emotion predictions - Online learning","461.6 Medicine and Pharmacology - 461.9 Biology - 723.4 Artificial Intelligence - 921.6 Numerical Methods","Number: 14CX02203A, Acronym: CUPB, Sponsor: China University of Petroleum, Beijing; Number: 61572486, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61671480, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was supported by the National Natural Science Foundation of China under Grants 61671480, 61572486; the Fundamental Research Funds for the Central Universities, China University of Petroleum (East China), under Grants 14CX02203A.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of a Waste Carbon Material as the Carbonaceous Reductant During Silicon Production","20182005182698","","Liu, Junru (1, 2); Chen, Zhengjie (1, 2); Ma, Wenhui (1, 2); Wei, Kuixian (1, 2); Ding, Weimin (3) ","(1) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; 650093, China (2) State Key Laboratory of Complex Nonferrous Metal Resources Cleaning Utilization in Yunnan Province, Kunming University of Science and Technology, Kunming; 650093, China (3) Nujiang Hongsheng Kam Silicon Limited, Nujiang; 673201, China ","Chen, Zhengjie(czjkmust@126.com) ","Silicon","Silicon","","Springer Netherlands","10","6","2409-2417","November 1, 2018","","","","2018","English","1876990X","18769918","","10.1007/s12633-018-9772-9","","","","","","","Journal article (JA)","It is important to study the application of alternative carbon reductants for industrial silicon smelting to reduce consumption of carbonaceous reducing agents, electricity, and CO2 emissions during silicon production. In this study, an industrial experiment was carried out in an 8 MVA submerged arc furnace using waste carbon material in place of approximately 20% partial reducing agents. The system was analyzed for silicon yield, power consumption, overall energy efficiency, CO2 emissions, and the utilization rate of carbonaceous materials. The system improved the efficiency of carbonaceous materials and decreased power consumption using alternative carbon reductants. The results have showed that use of waste carbon materials reduced carbon emissions per ton silicon by more than 19.14% and specific CO2 emissions decreased to 0.865 t. © 2018, Springer Science+Business Media B.V., part of Springer Nature.","34","Reducing agents","Carbon - Carbon dioxide - Electric power utilization - Energy efficiency - Industrial emissions - Silicon","Carbon emissions - Carbon material - Carbonaceous materials - CO2 emissions - Industrial experiments - Overall energy efficiency - Submerged arc furnace - Utilization rates",,"Number: 51334002, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors are grateful for financial support from the NSFC (No.51334002) and the Program for Innovative Research Team in University of Ministry of Education of China (No. IRT_17R48)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Microcalorimetry combined with chemometics for antibacterial evaluation of Sophora alopecuroides on Staphylococcus aureus","20182105227962","","Ma, Zhi-jie (1, 2); Zhang, Cong-en (1, 2); Wang, Rui-lin (2); Zang, Qing-ce (2); Yu, Xiao-hong (2); Wang, Jia-bo (2); Sun, Cheng-zhong (3); Zhao, Kui-jun (1); Pu, Shi-biao (2, 4); Xiao, Xiao-he (2) ","(1) Beijing Friendship Hospital, Capital Medical University, No. 95 Yongan, Beijing; 100050, China (2) China Military Institute of Chinese Medicine, 302 Military Hospital of China, No. 100 Xisihuan, Beijing; 100039, China (3) Chinese Academy of Surveying and Mapping, Beijing; 100830, China (4) Yunnan University of TCM, No. 1076 Yuhua, Kunming; 650200, China ","Zhao, Kui-jun(zhao1959@163.com) ","Journal of Thermal Analysis and Calorimetry","J Therm Anal Calor","","Springer Netherlands","134","3","1883-1891","December 1, 2018","","","","2018","English","13886150","15882926","","10.1007/s10973-018-7358-9","","","","","","JTACF7","Journal article (JA)","This study aimed to evaluate the antibacterial activities of Sophora alopecuroides from various production regions of China on Staphylococcus aureus by microcalorimetry and chemometics. From the heat-flow power–time curves of S. aureus growth affected by the extracts of S. alopecuroides, some vital thermokinetic parameters, such as the growth rate constant (k), the maximum heat-production rate (Pm), the appearance time (tm) and the total heat-production (Q), were obtained and were analyzed by principal component analysis and hierarchical cluster analysis. The results showed that all the S. alopecuroides samples expressed strong antibacterial activities to S. aureus, but the activities varied evidently on their production regions. The samples from Xinjiang (northwest region of China) showed the strongest antibacterial activities with inhibitory ratio (I) of 81.3%, while those from Inner Mongolia (North region of China) gave the contrast results with I of 9.2%. The findings indicated that the anti-S. aureus activities of S. alopecuroides had close relationship with the production regions. This study has provided a combined model of microcalorimetry and chemometrics to evaluate the antibacterial activities of medicinal herbs on bacteria. © 2018, Akadémiai Kiadó, Budapest, Hungary.","31","Principal component analysis","Bacteria - Calorimeters - Cluster analysis - Hierarchical systems - Rate constants","Antibacterial evaluation - Chemometics - Micro-calorimetry - Sophora alopecuroides - Staphylococcus aureus",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An object-based hierarchical classification method for nature reserve land cover classification","20183105629706","","Zhuo, Fu (1); Xiaolong, Liu (2); Rulin, Xiao (1); Xiaoman, Liu (1); Ruihong, Wen (1); Rui, Xu (2) ","(1) Satellite Environment Center, Ministry of Environmental Protection, Beijing, China (2) College of Tourism and Geography Science, Yunnan Normal University, Kunming, Yunnan, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","153","6","","June 1, 2018","2018 2nd International Workshop on Renewable Energy and Development, IWRED 2018 - 5.Sustainable Energy and Environment","","6 of 6","2018","English","17551307","17551315","","10.1088/1755-1315/153/6/062026","062026","2018 2nd International Workshop on Renewable Energy and Development, IWRED 2018","April 20, 2018 - April 22, 2018","Guilin, China","136890","","Conference article (CA)","This study presents an object-based hierarchical classification method for nature reserve land cover classification using hyperspectral and multi-spectral data. The method firstly extracts several indices to identify non-vegetation land covers that are distinguishable with these indices, and then classify vegetation into grass land and crop. The classified land covers were finally assigned to image objects. In this study we obtained an overall classification accuracy of 95.05, with a Kappa of 0.89, which indicates the potential of this method in nature reserve change monitoring and management. © Published under licence by IOP Publishing Ltd.","21","Classification (of information)","Vegetation","Classification accuracy - Hierarchical classification - HyperSpectral - Image objects - Land cover classification - Monitoring and management - Multi-spectral data - Nature reserves","716.1 Information Theory and Signal Processing",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Microstructure of the LPSO Phase in Mg98.5Zn0.5Y1 Alloy Prepared by Directional Solidification and Its Effect on Electromagnetic Shielding Performance","20184305970605","","Xu, Zhichao (1); Feng, Zhongxue (1); Shi, Qingnan (1); Yang, Yingxiang (2); Wang, Xiaoqi (2); Qi, Huarong (2) ","(1) School of Material Science and Engineering, Kunming University of Science and Technology, Kunming; 650093, China (2) Key Laboratory of Advances Materials of Yunnan Province, Kunming; 650093, China ","Feng, Zhongxue(fzxue@163.com) ","Cailiao Daobao/Materials Review","Cailiao Daobao/Mater. Rev.","","Cailiao Daobaoshe/ Materials Review","32","3","865-869","March 25, 2018","","","","2018","Chinese","1005023X","","","10.11896/j.issn.1005-023X.2018.06.003","","","","","","","Journal article (JA)","The microstructure of the LPSO phase in Mg98.5Zn0.5Y1 alloy prepared by directional solidification and its effect on electromagnetic shielding performance were investigated. The formation of 14H-type LPSO was observed. For the directional solidification polycrystals, the LPSO exhibited a lamellar shape. By comparing the electromagnetic shielding properties of ordinary cast and directional solidified Mg98.5Zn0.5Y1 alloy, it was found that the ordered LPSO phase could increase the electromagnetic shielding performance. The theoretical model of multi-layer uniform planar and the relationship between electromagnetic shielding performance and orientation of LPSO in magnesium were discussed. By adding the element Zr, the effect of the LPSO width on the electromagne-tic shielding performance was investigated. The result showed that the electromagnetic shielding performance was improved in high frequency due to the addition of Zr. © 2018, Materials Review Magazine. All right reserved.","17","Electromagnetic shielding","Chromium alloys - Crystal structure - Magnesium alloys - Microstructure - Shielding - Solidification - Ternary alloys - Zinc alloys - Zirconium","14H-LPSO - High frequency HF - Lpso phase - Shielding performance - Theoretical modeling","543.1 Chromium and Alloys - 546.3 Zinc and Alloys - 549.2 Alkaline Earth Metals - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 802.3 Chemical Operations - 933.1.1 Crystal Lattice - 951 Materials Science",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Dielectric characterizations and heating behavior of siderite in microwave field","20191306682739","","Zhou, Baocheng (1, 2, 3); Zhou, Junwen (1, 2, 3); Zhang, Zimu (4); Hu, Tu (1, 2, 3); Yang, Li (1, 2, 3); Lin, Guo (1, 2, 3) ","(1) Yunnan Provincial Key Laboratory of Intensification Metallurgy, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (2) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (3) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (4) Key Laboratory for Ecological Metallurgy of Multimetallic Mineral, Ministry of Education Northeastern University, Shenyang; 110819, China ","Hu, Tu(hutu1219@126.com) ","Materials Research Express","Mater. Res. Express","","Institute of Physics Publishing","5","10","","October 2018","","","","2018","English","","20531591","","10.1088/2053-1591/aad9b2","105502","","","","","","Journal article (JA)","Microwave absorption capabilities of siderite, Fe3O4 and Fe2O3 were investigated by measuring the dielectric characterization (dielectric constant, loss factor and loss tangent) from room temperature to 900 °C using the microwave cylindrical resonant cavity technique at 2450 MHz. There was little change in the microwave absorption capabilities of siderite before 600 °C. As the temperature increasing, the microwave absorption capabilities of siderite increased sharply due to the generation of Fe3O4. However, the microwave absorption capabilities of siderite decreased when temperature higher than 900 °C, which was attributed to the formation of Fe2O3 by the oxidation of Fe3O4. The microwave heating behavior of siderite was studied and the result showed that the heating rate of siderite became slower when temperature higher than 550 °C, this was because amount of decomposition reaction of siderite occurred in this stage which consuming large amounts of heat. © 2018 IOP Publishing Ltd.","24","Iron ores","Cavity resonators - Consumer behavior - Hematite - Magnetite - Microwave heating - Microwaves - Perturbation techniques","Cavity perturbation method - Cylindrical resonant cavities - Decomposition reaction - Dielectric characterization - Large amounts - Microwave absorption - Microwave field - siderite","482.2 Minerals - 504.3 Heavy Metal Mines - 711 Electromagnetic Waves - 711.1 Electromagnetic Waves in Different Media - 921 Mathematics - 931.3 Atomic and Molecular Physics","Number: 51764034, Acronym: -, Sponsor: National Natural Science Foundation of China; ","The authors are grateful for the financial support by the National Natural Science Foundation of China (51764034), the National Natural Science Foundation of China (51504113) and the ‘Open Project of Key Laboratory for Ecological Metallurgy of Multimetallic Mineral (Ministry of Education, Northeastern University)’ (No. NEMM2017002).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Refining Word Embeddings Using Intensity Scores for Sentiment Analysis","20180204628916","","Yu, Liang-Chih (1); Wang, Jin (2, 3); Robert Lai, K. (2); Zhang, Xuejie (3) ","(1) Department of Information Management, Yuan Ze University, Taoyuan; 32003, Taiwan (2) Department of Computer Science and Engineering, Yuan Ze University, Taoyuan; 32003, Taiwan (3) School of Information Science and Engineering, Yunnan University, Kunming; 650000, China ","Yu, Liang-Chih(lcyu@saturn.yzu.edu.tw) ","IEEE/ACM Transactions on Audio Speech and Language Processing","IEEE ACM Trans. Audio Speech Lang. Process.","","Institute of Electrical and Electronics Engineers Inc.","26","3","671-681","March 2018","","","","2018","English","23299290","","","10.1109/TASLP.2017.2788182","8241844","","","","","","Journal article (JA)","Word embeddings that provide continuous low-dimensional vector representations of words have been extensively used for various natural language processing tasks. However, existing context-based word embeddings such as Word2vec and GloVe typically fail to capture sufficient sentiment information, which may result in words with similar vector representations having an opposite sentiment polarity (e.g., good and bad), thus degrading sentiment analysis performance. To tackle this problem, recent studies have suggested learning sentiment embeddings to incorporate the sentiment polarity (positive and negative) information from labeled corpora. This study adopts another strategy to learn sentiment embeddings. Instead of creating a new word embedding from labeled corpora, we propose a word vector refinement model to refine existing pretrained word vectors using real-valued sentiment intensity scores provided by sentiment lexicons. The idea of the refinement model is to improve each word vector such that it can be closer in the lexicon to both semantically and sentimentally similar words (i.e., those with similar intensity scores) and further away from sentimentally dissimilar words (i.e., those with dissimilar intensity scores). An obvious advantage of the proposed method is that it can be applied to any pretrained word embeddings. In addition, the intensity scores can provide more fine-grained (real-valued) sentiment information than binary polarity labels to guide the refinement process. Experimental results show that the proposed refinement model can improve both conventional word embeddings and previously proposed sentiment embeddings for binary, ternary, and fine-grained sentiment classification on the SemEval and Stanford Sentiment Treebank datasets. © 2014 IEEE.","71","Natural language processing systems","Binary trees - Classification (of information) - Data mining - Linguistics - Sentiment analysis - Vectors","Embeddings - Intensity scores - Low dimensional - Refinement process - Sentiment classification - Sentiment lexicons - Vector representations - Word vectors","716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing - 921.1 Algebra","Number: 105-2221-E-155-059-MY2, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Ministry of Science and Technology, Taiwan; Number: 105-2218-E-006-028, Acronym: -, Sponsor: -; ","Manuscript received September 12, 2017; revised December 11, 2017; accepted December 11, 2017. Date of publication December 29, 2017; date of current version January 25, 2018. This work was supported by the Ministry of Science and Technology, Taiwan, under Grants MOST 105-2221-E-155-059-MY2 and MOST 105-2218-E-006-028. This paper was presented in part at the Conference on Empirical Methods in Natural Language Processing, Copenhagen, Denmark, Sep. 2017 [1]. The associate editor coordinating the review of this manuscript and approving it for publication was Dr. Ani Nenkova. (Corresponding author: Liang-Chih Yu.) L. C. Yu is with the Department of Information Management, Yuan Ze University, Taoyuan 32003, Taiwan (e-mail: lcyu@saturn.yzu.edu.tw).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Valid evaluation of volatile flavor composition of fresh and dehydrated Tuber indicum with different drying methods","20182005198093","Evaluación válida de la composición de sabores volátiles detectados en la Tuber indicum fresca y deshidratada con distintos métodos de secado","Ma, Ning (1, 2); Pei, Fei (1); Yu, Jie (1); Wang, Siyu (3); Ho, Chi-Tang (3); Su, Kaimei (4); Hu, Qiuhui (1, 2) ","(1) College of Food Science and Engineering, Collaborative Innovation Center for Modern Grain Circulation and Safety, Nanjing University of Finance and Economics, Nanjing, China (2) College of Food Science and Technology, Key Laboratory of Edible Mushroom Processing, Ministry of Agriculture, Nanjing Agricultural University, Nanjing, China (3) Department of Food Science, Rutgers University, New Brunswick; NJ, United States (4) Biotechnology and Genetic Germplasm Institute, Yunnan Academy of Agricultural Sciences, Kunming, China ","Hu, Qiuhui(qiuhuihu@njue.edu.cn) ","CYTA - Journal of Food","CYTA J. Food","","Taylor and Francis Ltd.","16","1","413-421","January 1, 2018","","","","2018","English","19476337","19476345","","10.1080/19476337.2017.1413011","","","","","","","Journal article (JA)","The effects of three drying methods on volatile flavor components of Tuber indicum were studied. After hot air drying (AD), vacuumdrying (VD), and vacuum-freeze drying (FD), flavor components were analyzed by headspace solid phase microextraction GC-MS and electronic nose (E-nose). The results from GC-MS showed that aldehydes (54.8%) and alcohols (31.4%) are the two dominant chemical species in fresh T. indicum and eight carbon (C8) compounds including 1-octen-3-ol, 3-octanol, n-octanol, 3-octanone. After dehydrating, C8 compounds, aldehyde, and ester components reduced, while alkanes, heterocyclic, and sulfur components were produced. Multivariate statistical analysis of the GC-MS revealed the components responsible for the chemical differences between fresh and three drying samples. In addition, E-nose could discriminate fresh and three drying samples. The result obtained by E-nose showed good identity compared with GC–MS. Therefore, FD was the optimal dehydrating method to preserve Tuberaceae with the most retained fresh flavor. © 2018 The Author(s).","24","Electronic nose","Aldehydes - Chemical analysis - Drying - Extraction - Finite difference method - Flavor compounds - Flavors - Multivariant analysis - Tubes (components) - Volatile organic compounds","Electronic nose (e-nose) - GC-MS - Head-space solid-phase microextraction - Multivariate statistical analysis - Sulfur component - Tuber indicum - Vacuum-freeze drying - Volatile compounds","619.1 Pipe, Piping and Pipelines - 801 Chemistry - 802.3 Chemical Operations - 804.1 Organic Compounds - 822.3 Food Products - 921.6 Numerical Methods - 922 Statistical Methods","Number: CARS-20, Acronym: -, Sponsor: Agriculture Research System of China; Number: -, Acronym: -, Sponsor: Agriculture Research System of China; ","The authors acknowledge financial support from China Agriculture Research System (CARS-20) and the Priority Academic Program Development of Jiangsu Higher Education Institutions (PAPD).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Evidence for Highly Complex Redox Conditions and Strong Water-Column Stratification in an Early Cambrian Continental-Margin Sea","20183605766992","","Zhang, Zihu (1, 2); Li, Chao (1); Cheng, Meng (1); Algeo, Thomas J. (1, 3, 4); Jin, Chengsheng (5); Tang, Feng (6); Huang, Junhua (3) ","(1) State Key Laboratory of Biogeology and Environmental Geology, China University of Geosciences, Wuhan, China (2) School of Earth Sciences, China University of Geosciences, Wuhan, China (3) State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences, Wuhan, China (4) Department of Geology, University of Cincinnati, Cincinnati; OH, United States (5) Yunnan Key Laboratory for Palaeobiology, Yunnan University, Kunming, China (6) Institute of Geology, Chinese Academy of Geological Sciences, Beijing, China ","Li, Chao(chaoli@cug.edu.cn) ","Geochemistry, Geophysics, Geosystems","Geochem. Geophys. Geosyst.","","Blackwell Publishing Ltd","19","8","2397-2410","August 2018","","","","2018","English","","15252027","","10.1029/2018GC007666","","","","","","","Journal article (JA)","Although oxic surface, ferruginous deep, and euxinic intermediate waters have been documented, the redox heterogeneity of early Cambrian oceans remains largely unclear, precluding our understanding of the relationship between marine redox evolution and early animal diversification. In this study, we analyzed iron species, redox-sensitive trace elements, and S-N-C isotopes of deepwater black shales in the Silikou section in the continental-margin Nanhua Basin (South China), which represent extensive clastic input mainly from the Cathaysia Block during the early Cambrian (~541–509 Ma). Integrated data reveal a continuous shift in bottom-water redox conditions at Silikou from euxinic in the lowermost black-shale interval (BS1, 0–37.4 m) to oxic in the uppermost black-shale interval (BS4, 296–372.9 m) accompanying a progressive movement of the O2/H2S redoxcline into the sediment. In between, most importantly, the BS2 interval (91–154 m) accumulated under manganous-ferruginous conditions (i.e., Fe-Mn reduction zone) characterized by an active Fe-Mn particulate shuttle, and the BS3 interval (204–260 m) under nitrogenous conditions (i.e., nitrate reduction zone) characterized by strong denitrification processes, suggesting highly complex redox conditions in early Cambrian oceans. The observed sequence of redox conditions supports a strong lateral and depth-related redox stratification in the early Cambrian ocean, including (from surface to deep and from nearshore to offshore) oxic, nitrate reduction, Fe-Mn reduction, and euxinic zones, which were sequentially recorded at Silikou likely due to secular expansion of the oxic surface layer and/or long-term relative sea level fall. Our study highlights the need for continued paleo-redox studies to explore the redox heterogeneity of early Cambrian oceans. ©2018. American Geophysical Union. All Rights Reserved.","83","Iron compounds","Binary alloys - Manganese compounds - Nitrates - Oil shale - Oxic sediments - Sea level - Shale - Trace elements","Continental margin - Denitrification process - Early cambrians - Intermediate waters - Nitrate reduction - Redox condition - Redox-sensitive trace elements - Relative sea level",,"Number: 2016YFA0601100, Acronym: -, Sponsor: -; Number: YYWF201602, Acronym: CAAS, Sponsor: Chinese Academy of Agricultural Sciences; Number: GPMR201705, Acronym: CUGB, Sponsor: China University of Geosciences, Beijing; Number: 41572024, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41703008, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41661134048, Acronym: -, Sponsor: -; ","The data used in this paper are listed in Tables S1 and S2. We thank Timothy W. Lyons, Xuelei Chu, and Graham Shields-Zhou for helpful discussions on the topic of stratified ocean and Hao Cui, Genming Luo, and Junhua Huang’s group for field sample collection and Biao Chang for laboratory assistance. This study is supported by National Key R&D Program of China (grant 2016YFA0601100), NSFC-RCUK-NERC Program (grant 41661134048), and China University of Geosciences GPMR Program (grant GPMR201705). Meng Cheng acknowledges the support from NSFC grant 41703008, and Feng Tang acknowledges the support from NSFC grant 41572024 and the research fund of the Chinese Academy of Geological Sciences (YYWF201602).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
