Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Controllable synthesis, crystal structure and magnetic properties of Monoer-Dimer Cocrystallized MnIIISalen-type composite material","20180204621160","Wu, Qiong (1, 4); Wu, Wei (2); Wu, Yongmei (3); Li, Weili (1, 4); Qiao, Yongfeng (1); Wang, Ying (1); Wang, Baoling (1, 4) ","(1) Department of Chemical Science and Technology, Kunming University, Kunming; Yunnan; 65214, China (2) Department of Physics and Astronomy and London Centre for Nanotechnology, University College London, London, United Kingdom (3) School of International Cultures and Education, Yunnan University of Finance and Economics, Kunming, China (4) Yunnan Engineering Technology Research Center for Plastic Films, Kunming University, Kunming, China ","Wu, Wei(ucapwwu@ucl.ac.uk) ","Journal of Molecular Structure","J. Mol. Struct.","","Elsevier B.V.","1157","","616-620","April 5, 2018","","","2018","English","00222860","","","10.1016/j.molstruc.2017.12.082","","","","","","JMOSB4","Journal article (JA)","By the reaction of manganese-Schiff-base complexes with penta-anionic Anderson heteropolyanion, a new supramolecular architecture [Mn2(Salen)2(H2O)2][Mn(Salen)(H2O)2]2Na[IMo6O24]·8H2O (1) (salen = N,N′-ethylene-bis (salicylideneiminate) has been isolated. Compound 1 was characterized by the single-crystal X-ray diffraction, elemental, IR and thermal gravimetric analyses. Structural analysis reveals that the unit cell simultaneously contains MnIII-Salen dimer and monomer cation fragments, for which the Anderson-type polyanions serve as counter anions. In the packing arrangement, all the MnIIIdimers are well separated by polyoxometalate units and form tertiary structure together with MnIIImonomers. Interestingly, different from the previous work, in the exact same reaction conditions, we are able to template MnIII-Salen complexes into different configurations by varying the charge state of polyanions. Besides, the magnetic properties of 1 were also examined by using both dc and ac magnetic field of the superconducting quantum interference devices. Most importantly, our fitting of the experimental data to a Heisenberg-type spin model shows that there exists a ferromagnetic exchange interaction ∼5 K between the spins (S = 2) on MnIIIin the dimer, while antiferromagnetic ones exist among monomers and dimer (∼2 K). This meta-magnetic state could induce a slight spin frustration at low temperature, which would in turn affect the magnetic behavior. In addition, our ac field measurement of the susceptibilities suggests a typical signature for a single-molecule magnet. © 2017 Elsevier B.V.","33","Dimers","Crystal structure - Ethylene - Magnetic properties - Magnetism - Magnets - Manganese compounds - Molecules - Monomers - Negative ions - Quantum interference devices - Single crystals - SQUIDs - Superconducting devices - Temperature - X ray diffraction","Controllable synthesis - Ferromagnetic exchange interaction - Magnetic analysis - Mn-Salen - Single crystal x-ray diffraction - Single-molecule magnet - Supramolecular architectures - Thermal gravimetric analysis","641.1 Thermodynamics - 701.2 Magnetism: Basic Concepts and Phenomena - 714.2 Semiconductor Devices and Integrated Circuits - 804 Chemical Products Generally - 804.1 Organic Compounds - 815.1.1 Organic Polymers - 931.3 Atomic and Molecular Physics - 933.1 Crystalline Solids - 933.1.1 Crystal Lattice","Number: YNG2017006, Acronym: -, Sponsor: -; Number: · DH1606, Acronym: -, Sponsor: -; Number: 31760257, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11564023, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21761017, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Science Foundation of China (No. 31760257 , No. 21761017 , No. 11564023 ), the agricultural plastic film and products research and development of Plateau area (No· DH1606 ), and Yunnan Province Foreign Expert project ( YNG2017006 ). Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Correlation Characteristics Between Partial Discharge Quantity and SF6Decomposition Process Under Negative DC Condition","20182005202058","Tang, Ju (1); She, Xin (1); Wan, Lingyun (2); Xu, Xiaoqing (3); Zhu, Ning (3); Yang, Xu (1); Zeng, Fuping (1) ","(1) School of Electrical Engineering, Wuhan University, Wuhan; Hubei Province; 430072, China (2) Chongqing Electric Power Research Institute, Chongqing Power Company, Yubei District, Chongqing; 401123, China (3) Kunming Electric Power Supply Bureau, Yunnan Power Grid Company, Kunming; Yunnan Province; 650011, China ","","Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering","Zhongguo Dianji Gongcheng Xuebao","","Chinese Society for Electrical Engineering","38","2","628-636","January 20, 2018","","","2018","Chinese","02588013","","","10.13334/j.0258-8013.pcsee.161225","","","","","","ZDGXER","Journal article (JA)","In order to study the relationship between SF6gas decomposition components and the strength of Partial Discharge(PD) inside the DC gas insulated electrical equipment, the DC SF6PD decomposition experiment was carried out under different discharge quantities in this paper, using the needle plate electrode to simulate the metal protrusion defect. The decomposition components of SF6under DC PD was quantitatively detected by Gas Chromatography- mass Spectrometry (GC/MS). The paper explored the relevance properties of the mean discharge quantity per second (Qsec) and SF6decomposition component. The results show that the stable decomposition components such as CF4, CO2, SO2F2, SOF2and SO2are produced. The concentration of CO2, SO2F2, SOF2and (SO2F2+SOF2+SO2) correlates well with Qsec. The generation speed RRMSof SO2F2, SOF2and (SO2F2+SOF2+SO2) linearly increases with Qsecroughly, which can be the characteristics of DC PD quantity. Meanwhile, the ratio SO2F2/SOF2is approximately linear to the Qsec. So it can be the characteristic ratio to determine the DC PD quantity. © 2018 Chin. Soc. for Elec. Eng.","29","SF6 insulation","Carbon dioxide - Gas chromatography - Mass spectrometry - Partial discharges - Plate metal - Sulfur hexafluoride","Characteristic ratio - Correlation characteristics - DC conditions - Decomposition components - Decomposition process - Electrical equipment - Gas chromatography-mass spectrometry - Needle plate electrodes","701.1 Electricity: Basic Concepts and Phenomena - 801 Chemistry - 802.3 Chemical Operations - 804.2 Inorganic Compounds","Number: 2016T90723, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 51537009, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 51607127, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Project Supported by National Natural Science Foundation of China(51607127, 51537009); China Postdoctoral Science Foundation (2016T90723).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Polycatenar bent-shaped liquid crystals with columnar and cubic phases: Synthesis multi-responsive organogels and chemosensors","20174704448632","Cheng, Huifang (1); Gao, Hongfei (1); Wang, Tingyan (1, 2); Xia, Meng (1); Cheng, Xiaohong (1) ","(1) Key Laboratory of Medicinal Chemistry for Natural Resources, Chemistry School of Chemical Science and Technology, Yunnan University, Kunming; Yunnan; 650091, China (2) College of Science, Beijing University of Chemical Technology, Beijing; 100029, China ","Cheng, Xiaohong(xhcheng@ynu.edu.cn) ","Journal of Molecular Liquids","J Mol Liq","","Elsevier B.V.","249","","723-731","January 2018","","","2018","English","01677322","","","10.1016/j.molliq.2017.11.041","","","","","","JMLIDT","Journal article (JA)","Series of novel triazole polycatenar bent-shaped molecules comprising a carbonyl central core with two 1,2,3-triazole dendritic wings have been firstly synthesized via the copper(I)-catalyzed azide-alkyne cycloaddition (CuAAC) reaction. The effect of variation of the number and length of the terminal alkyl chains as well as the dendritic generation, linkage group on their properties have been investigated by polarizing optical microscopy (POM), differential scanning calorimetry (DSC), X-ray diffraction (XRD), scanning electron microscope (SEM) and photoluminescence measurements. It is found that these compounds can self-assemble into hexagonal columnar and micellar cubic phases in their pure states, as well as organogels in organic solvents. In addition, fluorescence spectroscopic studies demonstrate that they can act as chemosensor of metal ions. The ester compounds exhibit dual selectivity for Fe3+and Hg2+, while the ether compounds show exclusive selectivity for Fe3+ion. © 2017 Elsevier B.V.","99","Synthesis (chemical)","Copper compounds - Differential scanning calorimetry - Liquid crystals - Metal ions - Metals - Physiology - Scanning electron microscopy - Self assembly - Spectroscopic analysis - X ray diffraction","Bent shaped liquid crystal - Bent-shaped molecules - Chemosensor - Copper(i) catalyzed azide alkyne cycloaddition (CuAAC) - Organogels - Photoluminescence measurements - Polarizing optical microscopy - Spectroscopic studies","461.9 Biology - 531.1 Metallurgy - 801 Chemistry - 802.2 Chemical Reactions - 944.6 Temperature Measurements - 951 Materials Science","Number: 2016FD008, Acronym: -, Sponsor: Yunnan Provincial Department of Education; Number: ZD2015001, Acronym: -, Sponsor: Yunnan Provincial Department of Education; Number: -, Acronym: YNU, Sponsor: Yunnan University; Number: 21364017, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21602195, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21274119, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21664015, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China [No. 21664015 , 21364017 , 21274119 and 21602195 ] and the Yunnan Provincial Department of Education Foundation [No. ZD2015001 , 2016FD008 ]. We thank beamline 1W2A at Beijing Accelerator Laboratory and beamline BL16B1 at Shanghai Synchrotron Radiation Facility (SSRF), China. The calculations were performed with the support of the Yunnan University Supercomputer Center. Appendix A",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Non-aqueous phase cold vapor generation and determination of trace cadmium by atomic fluorescence spectrometry","20182505343270","Lei, Zirong (1); Chen, Luqiong (1); Hu, Kan (1); Yang, Shengchun (1); Wen, Xiaodong (1) ","(1) College of Pharmacy and Chemistry, Dali University, Dali; Yunnan; 671000, China ","Wen, Xiaodong(wenxdong129@163.com) ","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","Spectrochim. Acta Part A Mol. Biomol. Spectrosc.","","Elsevier B.V.","203","","522-527","5 October 2018","","","2018","English","13861425","","","10.1016/j.saa.2018.06.020","","","","","","SAMCAS","Journal article (JA)","Cold vapor generation (CVG) of cadmium was firstly accomplished in non-aqueous media by using solid reductant of potassium borohydride (KBH4) as a derivation reagent. The mixture of surfactant Triton X-114 micelle and octanol was innovatively used as the non-aqueous media for the CVG and atomic fluorescence spectrometry (AFS) was used for the elemental determination. The analyte ions were firstly extracted into the non-aqueous media from the bulk aqueous phase of analyte/sample solution via a novelly established ultrasound-assisted rapidly synergistic cloud point extraction (UARS-CPE) process and then directly mixed with the solid redcutant KBH4to generate volatile elemental state cadmium in a specially designed reactor, which was then rapidly transported to a commercial atomic fluorescence spectrometer for detection. Under the optimal conditions, the limit of detection (LOD) for cadmium was 0.004 μg L−1. Compared to conventional hydride generation (HG)-AFS, the efficiency of non-aqueous phase CVG and the analytical performance of the developed system was considerably improved. © 2018 Elsevier B.V.","29","Chemicals removal (water treatment)","Atoms - Cadmium - Extraction - Fluorescence - Fluorescence spectroscopy - Potassium compounds - Spectrometry - Ultrasonic applications","Analytical performance - Atomic fluorescence spectrometers - Atomic fluorescence spectrometry - Cloud point extractions - Cold vapor generation - Hydride generations - Media - Surfactant Triton-x","549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 741.1 Light/Optics - 753.3 Ultrasonic Applications - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 931.3 Atomic and Molecular Physics - 941.4 Optical Variables Measurements","Number: 21465001, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Xiaodong Wen gratefully acknowledges the financial support for this project from the National Natural Science Foundation of China [No. 21465001 ].",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fire Test and Numerical Analysis of Large Size Seismic Rubber Bearings with Fire Protection Used in Beijing New International Airport","20185106253528","Wang, Lan (1, 2); Guan, Qingsong (3); Wang, Guohui (2); Pan, Yanchong (2); Zhan, Wangyu (4); Liu, Hongbo (4) ","(1) School of Architecture, Tianjin University, Tianjin; 300072, China (2) Tianjin Fire Research Institute of MPS, Tianjin; 300381, China (3) Yunnan Quakesafe Seismic Isolation Technologies Co., Ltd, Kunming; 650217, China (4) School of Civil Engineering, Tianjin University, Tianjin; 300072, China ","Liu, Hongbo(hbliu@tju.edu.cn) ","Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology","Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)","","Tianjin University","51","","119-126","July 15, 2018","","","2018","Chinese","04932137","","","10.11784/tdxbz201804054","","","","","","TCHHA9","Journal article (JA)","In this paper, fire response of the fire protected seismic rubber bearings with a large diameter of 1 500 mm in the new airport of Beijing was analyzed by fire test and numerical simulation. The test was carried out according to GB9978.1-2008 fire resistance test method and lasted for three hours. The seismic rubber bearings with fire protection were analyzed by ABAQUS finite element thermal analysis method. The results of fire resistance test and numerical simulation were compared. The results show that fire resistance limit of the seismic rubber bearings with fire protection is longer than three hours. The fire resistance limit meets the requirements of the GB50016-2014 code for fire protection design of buildings. And the system of fire protection allows a free movement of 150 mm of the bearings. The comparisons between numerical results and those of fire test show that the numerical simulation of thermal analysis can well analyze the thermo-physical field of the seismic rubber bearings. The numerical model in this paper can be used for subsequent numerical simulation analysis of different sizes and different fire protection methods, and save time and costs of tests. © 2018, Editorial Board of Journal of Tianjin University(Science and Technology). All right reserved.","17","Fire protection","ABAQUS - Bearings (structural) - Computer simulation - Fire extinguishers - Fire resistance - Nonmetallic bearings - Numerical methods - Numerical models - Rubber - Seismology - Thermoanalysis","Finite element thermal analysis - Fire resistance test - International airport - Numerical simulation analysis - Physical field - Protection designs - Protection methods - Rubber bearing","401.1 Bridges - 484.1 Earthquake Measurements and Analysis - 601.2 Machine Components - 723.5 Computer Applications - 801 Chemistry - 818.1 Natural Rubber - 914.2 Fires and Fire Protection - 921 Mathematics - 921.6 Numerical Methods",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A Forecast Method of Icing Flashover Fault Based on Partial Mutual Information Method and Support Vector Machine","20181304958799","Yu, Chen (1, 2); Lyu, Youjie (3); Duan, Ronghua (4); Cheng, Song (5); Huang, Wei (4); Chen, Bin (6) ","(1) NARI Group Corporation, State Grid Electric Power Research Institute, Nanjing; 211106, China (2) State Key Laboratory of Smart Grid Protection and Control, Nanjing; 211106, China (3) School of Automation, Nanjing University of Science and Technology, Nanjing; 210094, China (4) Yunnan Electric Power Dispatching and Control Center, Kunming; 650011, China (5) Northwest China Branch of State Grid Corporation of China, Xi'an; 710048, China (6) Electric Power Research Institute of State Grid Fujian Electric Power Corporation, Fuzhou; 350007, China ","Lyu, Youjie(847105786@qq.com) ","Dianli Xitong Zidonghua/Automation of Electric Power Systems","Dianli Xitong Zidonghue","","Automation of Electric Power Systems Press","42","2","92-98","January 25, 2018","","","2018","Chinese","10001026","","","10.7500/AEPS20170612014","","","","","","DXZIE9","Journal article (JA)","Icing flashover fault of transmission line is one of important reasons leading to power grid failure. Current icing flashover researches mainly focus on the model study of flashover voltage of iced insulators. On one hand, the model of flashover voltage cannot fully reflect the insulator flashover voltage under the combined effects of all factors. On the other hand, due to the data acquisition error in the information of the transmission lines, the current characteristics model of icing flashover is difficult to be directly used in the forecasting of icing flashover fault. Considering the development of data mining technology, the partial mutual information (PMI) and support vector machine (SVM) are proposed to predict the icing flashover fault. Firstly, PMI is adopted to select the key factors for input variables. Secondly, SVM forecast model of icing flashover is established to train and predict the sample data. The simulation results show that the forecast method based on the PMI and SVM can predict the icing flashover more effectively, which can act as a reference for the ice defense of power grid. © 2018 Automation of Electric Power Systems Press.","23","Flashover","Data acquisition - Data mining - Electric lines - Electric power transmission networks - Forecasting - Insulator contamination - Support vector machines","Current characteristic - Data mining technology - Flashover faults - Flashover voltage - Iced insulators - Insulator flashover - Partial mutual informations - Variable selection","701.1 Electricity: Basic Concepts and Phenomena - 706.1.1 Electric Power Transmission - 706.2 Electric Power Lines and Equipment - 723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing","Number: 51307078, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is supported by National Natural Science Foundation of China (No. 51307078), State Grid Corporation of China and State Key Laboratory of Smart Grid Protection and Control.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Transition from abstract thermodynamic concepts to perceivable ecological indicators","20180604773743","Lin, Hua (1, 3); Zhang, Houlei (2); Song, Qinghai (1, 4) ","(1) Key Laboratory of Tropical Forest EcologyXishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Mengla; Yunnan; 666303, China (2) School of Energy and Power EngineeringNanjing University of Science and Technology, Nanjing; Jiangsu; 210094, China (3) Ailaoshan Station for Subtropical Forest Ecosystem Studies, China (4) Xishuangbanna Station for Tropical Rainforest Ecosystem Studies, China ","Zhang, Houlei(zhanghl@njust.edu.cn) ","Ecological Indicators","Ecol. Indic.","","Elsevier B.V.","88","","37-42","May 2018","","","2018","English","1470160X","","","10.1016/j.ecolind.2018.01.001","","","","","","","Journal article (JA)","Entropy and exergy are the central concepts in thermodynamics, and many researchers have used them to characterize ecosystem development. However, these concepts are very abstract to outsiders. Direct measurements of the indicators related to entropy and exergy are difficult and involve large errors. Schneider and Kay (1994) bridged thermodynamic concepts, i.e., entropy and exergy, with perceivable ecological indicators, i.e., canopy surface temperature (Tsurf) and net radiation (Rn) in their maximum exergy destruction principle. However, the connection between entropy and exergy with Tsurfand Rnwas based on the similarity between the ecosystem and the Bénard cell, and not on thermodynamic reasoning. Considering the coherence of entropy production and exergy destruction, we analyzed the relationship between entropy production and Tsurfand Rn, based on the first and second laws of thermodynamics, and verified it using long-term monitoring data of a tropical seasonal rain forest. We demonstrated that total entropy production (exergy destruction) linearly increased with increasing Rnand decreasing Tsurftheoretically. Empirical data showed that the total entropy production increased, whereas specific entropy production decreased during the growing season. This indicates that plant growth can enhance exergy conversion efficiency. Rn, Tsurf, and related indicators can be used as surrogates for thermodynamic indicators to measure ecosystem status and development. The bridge between thermodynamic concepts and measurable ecological indicators will improve the application of thermodynamics in ecology studies and the understanding of thermodynamic processes in ecosystem. © 2018 Elsevier Ltd","57","Entropy","Atmospheric temperature - Ecosystems - Exergy - Surface properties - Thermodynamics","Ecosystem development - Exergy destructions - Specific entropy - Surface temperatures - Total entropy","443.1 Atmospheric Properties - 454.3 Ecology and Ecosystems - 641.1 Thermodynamics - 951 Materials Science","Number: 31200307, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2013FB078, Acronym: -, Sponsor: Applied Basic Research Foundation of Yunnan Province; Number: 2017XTBG-F01, Acronym: -, Sponsor: -; ","This study was funded by the Applied Fundamental Research Program of Yunnan Province ( 2013FB078 ), National Natural Science Foundation of China (NSFC, 31200307 ) and the CAS 135 Program (No. 2017XTBG-F01 ). We thank Xishuangbanna Station for Tropical Rain Forest Ecosystem Studies (XSTRE) and Chinaflux for data management.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Isolation of nanocrystalline cellulose from rice straw and preparation of its biocomposites with chitosan: Physicochemical characterization and evaluation of interfacial compatibility","20174704415366","Xu, Kaimeng (1, 2); Liu, Can (1); Kang, Kunyong (1); Zheng, Zhifeng (1); Wang, Siqun (2); Tang, Zhenguan (3); Yang, Wenxiu (1) ","(1) University Key Laboratory of Biomass Chemical Refinery & Synthesis of Yunnan Province, College of Materials Engineering, Southwest Forestry University, Kunming; 650224, China (2) Center for Renewable Carbon, Institute of Agriculture, The University of Tennessee, Knoxville; TN; 37996, United States (3) School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, Atlanta; GA; 30332, United States ","Zheng, Zhifeng(zhengzhifeng666@163.com) ","Composites Science and Technology","Compos. Sci. Technol.","","Elsevier Ltd","154","","8-17","January 18, 2018","","","2018","English","02663538","","","10.1016/j.compscitech.2017.10.022","","","","","","CSTCEH","Journal article (JA)","In order to develop high value-added rice straw residue biocomposites, nanocrystalline cellulose (NCC) from rice straw and chitosan (CS) were used as two main raw materials, the CS/NCC biocomposites were prepared by an acid hydrolysis-ultrasonic treatment and blending casting. The physicochemical properties and evaluation of interfacial compatibility on CS/NCC biocomposites were characterized by TEM, ZP analyzer, UV-vis, FTIR, SEM, XRD, TG, DSC, electron mechanical instrument and water absorption testing. The results reveal that a uniform rod-like or filamentary structure of NCC from rice straw, with the width distribution concentrated on the range of 10–15 nm and several hundred nanometers in length, can be effectively obtained by a relatively high ultrasonic power treatment with the same acid hydrolysis conditions. The superior interfacial compatibility of CS/NCC biocomposites with excellent tensile strength can be achieved at 5% NCC addition level due to optimal dispersion of NCC, strong hydrogen bonding and potential electrostatic interactions between CS and NCC. Additionally the thermal stability and water absorption of biocomposites increase, while the transparency rate, elongation at break decrease as the increase of NCC addition amount from 0% to 20%. © 2017 Elsevier Ltd","49","Cellulose","Blending - Casting - Cellulose derivatives - Chitosan - Composite materials - Hydrogen bonds - Hydrolysis - Instrument testing - Nanocellulose - Nanocrystalline materials - Nanocrystals - Tensile strength - Water absorption","Bio-composites - Filamentary structures - Interfacial compatibility - Mechanical instruments - Nanocrystalline cellulose(NCC) - Physico-chemical characterization - Physicochemical property - Rice straws","534.2 Foundry Practice - 761 Nanotechnology - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804.1 Organic Compounds - 811.3 Cellulose, Lignin and Derivatives - 951 Materials Science","Number: 2017C17022, Acronym: SWUST, Sponsor: Southwest University of Science and Technology; Number: 2015Y292, Acronym: -, Sponsor: -; Number: 31560190, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2015FD024, Acronym: -, Sponsor: -; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors sincerely acknowledge the financial support from the Scientific Research Funds of Educational Committee of Yunnan Province ( 2015Y292 ), the Science and Technology Plan Project Funds of Yunnan Province ( 2015FD024 ), the National Natural Science Foundation of China (NSFC) (No. 31560190 ), and the Innovation Project of Science and Technology at Southwest Forestry University ( 2017C17022 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A random dot stereoacuity test for different colors using 3D displays","20190106346152","Chen, Kai (1, 2); Chen, Zaiqing (1, 2); Shi, Junsheng (2); Yun, Lijun (1, 2); Huang, Xiaoqiao (2) ","(1) School of Information Science and Technology, Yunnan Normal University, Kunming, China (2) Yunnan Key Laboratory of Optoelectronic Information Technology, Kunming, China ","Chen, Zaiqing(zaiqingchen@ynnu.edu.cn) ","Proceedings of SPIE - The International Society for Optical Engineering","Proc SPIE Int Soc Opt Eng","Chinese Optical Society (COS); Society of Photo-Optical Instrumentation Engineers (SPIE)","SPIE","10818","","","2018","Holography, Diffractive Optics, and Applications VIII","1 of 1","2018","English","0277786X","1996756X","9781510622340","10.1117/12.2502265","1081828","Holography, Diffractive Optics, and Applications VIII 2018","October 11, 2018 - October 13, 2018","Beijing, China","143513","PSISDG","Conference article (CA)","Stereoacuity, or named stereoscopic acuity, is the minimum disparity that can be perceived by someone with two eyes and normal brain functions. It is extremely relevant to human stereopsis and considerable individual variability. Due to the contribution of color information to stereopsis is controversial, this study is focused on designing and conducting a stereoacuity test for different colors. In particular, the effect of color variations on stereoacuity was evaluated by using 3D displays to present color random-dot stereogram (RDS) stimuli. Seventeen color points sampled from the CIELAB color space were selected for the test. All sample color points are averagely distributed in red-green and yellow-blue directions at isoluminance. The stimuli had the same dot density of 50% and black background, with different colors and disparities. Then the minimum disparity was obtained as the stereoacuity of subject. The results of experiment show that the stereoacuities are not significantly different in red-green direction and blue-yellow directions. These results support the view that color does not contribute to the stereoacuity. © 2018 SPIE.","18","Three dimensional displays","Color - Color vision - Holography - Stereo image processing","Brain functions - Color information - Color points - Color variations - Disparity - Individual variability - Random dot stereograms - Stereoacuity","723.2 Data Processing and Image Processing - 741.1 Light/Optics - 741.2 Vision - 743 Holography - 746 Imaging Techniques","Number: 2018FA033, Acronym: -, Sponsor: -; Number: 61741516, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is funded by grants from the National Science Foundation of China (grant number: 61741516) and Key Program of the Yunnan Education Commission of China(grant number: 2018FA033).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Bayesian analysis for multivariate skew-normal reproductive dispersion random effects models","20182905556894","Zhao, Yuan-Ying (1); Duan, Xing-De (2); Li, De-Wang (3) ","(1) College of Mathematics and Information Science, Guiyang University, Guizhou, China (2) Department of Mathematics and Statistics, Chuxiong Normal University, Yunnan, China (3) School of Mathematics and Big Data Science, Huizhou University, Guangdong, China ","","ACM International Conference Proceeding Series","ACM Int. Conf. Proc. Ser.","","Association for Computing Machinery","","","15-20","April 20, 2018","ICMAI 2018 - Proceedings of 2018 International Conference on Mathematics and Artificial Intelligence","1 of 1","2018","English","","","9781450364201","10.1145/3208788.3208805","","2018 International Conference on Mathematics and Artificial Intelligence, ICMAI 2018","April 20, 2018 - April 22, 2018","Chengdu, China","137307","","Conference article (CA)","Normality assumption of the random errors and the random effects is a routinely used technique in data analysis. However, this assumption might be unreasonable in many practical cases. In this paper the limitation is relaxed by assuming that the random error follows a reproductive dispersion model and the random effect is distributed as a skew-normal distribution, which is termed as a multivariate skew-normal reproductive dispersion random effects model. We propose a Bayesian procedure to simultaneously estimate the random effects and the unknown parameters on the basis of the Gibbs sampler and Metropolis- Hastings algorithm. In the end, the Framingham cholesterol data example is employed to demonstrate the preceding proposed Bayesian methodologies. © 2018 Association for Computing Machinery.","30","Random errors","Artificial intelligence - Bayesian networks - Dispersions - Estimation - Multivariant analysis - Normal distribution - Random processes","Bayesian estimate - Bayesian methodology - Bayesian procedures - Gibbs samplers - Metropolis-Hastings algorithm - Random effects model - Reproductive dispersion models - Skew-normal distribution","723.4 Artificial Intelligence - 921 Mathematics - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 922 Statistical Methods - 922.1 Probability Theory - 951 Materials Science","Number: 11501073, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: 11761016, Acronym: -, Sponsor: National Natural Science Foundation of China; ","The authors would like to thank ICMAI 2018 Conference Committee and the referees for helpful comments, which lead to improvement of an earlier version of the paper. The research is fully supported by grants from the National Natural Science Foundation of China (11761016, 11501073), Guizhou Provincial Science and Technology Foundation of China (LH[2014]7164, LH[2014]7176, LH[2014]7204), the Natural Science Foundation of the Education Department of Guizhou province in China (KY[2014]249), the Scientific Research Project for Introduced Talents of Guiyang University (2013), as well as Yunnan Provincial Applied Basic Research Project of China (2014FD051) .",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
