Abbreviated source title,Abstract,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume
Int. J. Heat Technol.,"Geothermal gradient is one of the most important parameters for geothermal exploration and exploitation. Mud is generally used as a drilling fluid in geothermal wells. According to energy conservation law, when the drilling penetrates through an aquifuge or aquitard, its temperature can be used to establish the mathematical analysis model for estimating the geothermal gradient. The recorded mud temperatures in some practical drilling cases in southwest China have been applied to study the influence radius of geotherm that is conducted by surrounding rock into the derived formula. The fitting calculation results show that the absolute error is generally very low, being less than 10%, which indicates that the proposed formula can be used to effectively predict the geothermal gradient. The calculation indicates that it is only when the rock conductive influencing radius is very small (around 0.25m) that it is possible to have a reasonable solution.",Open Access,20162902614095,,"Xu, Shiguang Xu (1, 2); Ba, Junjie (1); Chen, Xianfeng (3); Zheng, Ting (4); Yang, Yaochi (5); Guo, Liang (6) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming; 650093, China (2) Yunnan Geologic and Mineral Bureau of Exploration and Exploitation, Kunming; 650051, China (3) Yunnan Lan and Resources Vocational College, Kunming; 652501, China (4) Kunming Prospecting Design Institute of China Nonferrous Metals Industry, Kunming; 650011, China (5) Yunnan Tonghui Resource Exploration Company(Ltd), Kunming; 650011, China (6) Yunnan Geotechnical Engineering Investigation Design Research Institute, Kunming; 650051, China ",HETEEE,"444.2 Groundwater - 481.3.1 Geothermal Phenomena - 525.2 Energy Conservation - 641.1 Thermodynamics - 931.2 Physical Properties of Gases, Liquids and Solids",,,,,Aquifers - Drilling fluids - Energy conservation - Geothermal energy - Geothermal prospecting - Geothermal wells - Physical properties - Temperature,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Ba, Junjie(bajunjie@kmust.edu.cn) ",10.18280/ijht.340227,Engineering Village,Compendex,Journal article (JA),,,,,03928764,2,2016,English,Rock drilling,,39.0,345-350,,2016,Edizioni ETS,International Journal of Heat and Technology,,Predicting strata temperature distribution from drilling fluid temperature,,Calculation results - Derived formulae - Energy conservation law - Fluid temperatures - Geothermal exploration - Geothermal gradients - Influencing radius - Mathematical analysis,34
Sensors,"In this paper, the multi-walled carbon nanotubes modified screen-printed electrode (MWCNTs/SPE) was prepared and the MWCNTs/SPE was employed for the electrochemical determination of the antioxidant substance chlorogenic acids (CGAs). A pair of well-defined redox peaks of CGA was observed at the MWCNTs/SPE in 0.10 mol/L acetic acid-sodium acetate buffer (pH 6.2) and the electrode process was adsorption-controlled. Cyclic voltammetry (CV) and differential pulse voltammetry (DPV) methods for the determination of CGA were proposed based on the MWCNTs/SPE. Under the optimal conditions, the proposed method exhibited linear ranges from 0.17 to 15.8 µg/mL, and the linear regression equation was Ipa (µA) = 4.1993 C (×10−5mol/L) + 1.1039 (r = 0.9976) and the detection limit for CGA could reach 0.12 µg/mL. The recovery of matrine was 94.74%–106.65% (RSD = 2.92%) in coffee beans. The proposed method is quick, sensitive, reliable, and can be used for the determination of CGA. © 2016 by the authors; licensee MDPI, Basel, Switzerland.",Open Access,20164603024419,1797,"Ma, Xiaoyan (1, 2); Yang, Hongqiao (1, 2); Xiong, Huabin (1, 2); Li, Xiaofen (1, 2); Gao, Jinting (1, 2); Gao, Yuntao (1, 2) ","(1) The Engineering Laboratory of Polylactic Acid-Based Functional Materials of Yunnan, School of Chemistry and Environment, Yunnan Minzu University, Kunming; 650500, China (2) Key Laboratory of Chemistry in Ethnic Medicinal Resources, State Ethnic Affairs Commission & Ministry of Education, Yunnan Minzu University, Kunming; 650500, China ",,761 Nanotechnology - 801 Chemistry - 801.4.1 Electrochemistry - 819.4 Fiber Products,,,,,Chemical detection - Cyclic voltammetry - Electrochemical electrodes - Sodium compounds - Yarn,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Gao, Yuntao(gaoyuntao@ynni.edu.cn) ",10.3390/s16111797,Engineering Village,Compendex,Journal article (JA),,"Number: 21367025, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2014YNZ012, Acronym: -, Sponsor: -; Number: 2011HC008, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Guangdong Innovative Research Team Program; Number: MZY1302, Acronym: -, Sponsor: -; Number: 2011UYN09, Acronym: -, Sponsor: -; Number: 2010UY08, Acronym: -, Sponsor: -; ","This work was supported by the National Natural Science Fundation of China (21367025), Program for Innovative Research Team (in Science and Technology) in University of Yunnan Province (2010UY08, 2011UYN09), Program for Yunnan Provincial Innovation Team (2011HC008), Program for State Ethnic Affairs Commission of the China (2014YNZ012) and Key Laboratory of Ethnic Medicine Resource Chemistry of State Ethnic Affairs Commission & Ministry of Education (MZY1302).",,14248220,11,November 2016,English,Multiwalled carbon nanotubes (MWCN),,35.0,,,2016,"MDPI AG, Postfach, Basel, CH-4005, Switzerland",Sensors (Switzerland),,Electrochemical behavior and determination of chlorogenic acid based on multi-walled carbon nanotubes modified screen-printed electrode,,Chlorogenic acids - Differential pulse voltammetry - Electrochemical behaviors - Electrochemical determination - Linear regression equation - Optimal conditions - Screen printed electrodes - Sodium-acetate buffer,16
Telkomnika Telecomun. Compt. Electr. Control,"Describing and representing multi-source and heterogeneous knowledge is a popular research topic in recent years. After investigating knowledge forming process based on multi-source heterogeneous information resources, we present a new approach in which different information resources are put into a mutual RDF(S) data model, and semantic reasoning of RDF(S) is conducted. Moreover, a knowledge base construction framework for multi-source heterogeneous information source with combination of Ontology knowledge model is put forward, and an algorithm of knowledge base construction is also proposed, in which the core issues are knowledge inclusion and updating. Then the time complexity of our algorithm is analyzed. Finally, in order to solve the heterogeneous, and uneven horizontal of geographical distribution of ethnic minority information resources in Yunnan Province, we use the proposed method to construct a domain knowledge base for ethnic minority information resources, and use this model to evaluate the efficiency for the knowledge inclusion algorithm in responding time and indexing responding time for different data resources in our experiments. © 2016 Universitas Ahmad Dahlan.",Open Access,20170803381799,,"Gan, Jianhou (1); Xie, Gang (1, 2); Yan, Yongzheng (3); Liu, Wanquan (4) ","(1) Key Laboratory of Educational Informatization, Nationalities Ministry of Education, Yunnan Normal University, Kunming, China (2) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Yunnan, Kumming, China (3) School of Electrical Information and Engineering, North China University of Technology, Beijing, China (4) Department of Computing, Curtin University, Perth; WA; 6102, Australia ",,"405.3 Surveying - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723 Computer Software, Data Handling and Applications - 723.4.1 Expert Systems - 903 Information Science",,,,,Geographical distribution - Knowledge based systems - Ontology - Semantic Web - Semantics,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Liu, Wanquan(w.liu@curtin.edu.au) ",10.12928/TELKOMNIKA.v14i4.4787,Engineering Village,Compendex,Journal article (JA),23029293,,,,16936930,4,December 2016,English,Computational complexity,,45.0,1617-1628,,2016,Universitas Ahmad Dahlan,Telkomnika (Telecommunication Computing Electronics and Control),,Heterogeneous information knowledge construction based on Ontology,,Domain knowledge base - Heterogeneous information - Heterogeneous information sources - Heterogeneous Knowledge - Information resource - Knowledge construction - Knowledge-base construction - RDF(S),14
"Pac. Asia Conf. Inf. Syst., PACIS - Proc.","Numerous benefits of cloud computing for middle and small-sized enterprises (SMEs) have been documented in the literature. However, existing research often focuses on cost saving, it is still not clear whether and how cloud computing creates value for SMEs. This study investigates the mechanism through which cloud computing creates value for SMEs based on multiple cases of Internet-based SMEs from China. More specifically, we suggest that three cloud computing related capabilities (i.e., flexibility, integration, and ubiquity capability) are most critical for SMEs to generate value from cloud computing and cloud computing enhances SMEs' performance by facilitating their organizational agility.",,20170603322767,,"Liu, Sen (1); Yang, Yang (2); Ran, Wenxue (1) ","(1) School of Logistics, Yunnan University of Finance and Economics, Kunming, China (2) School of Management, Zhejiang University, Hangzhou, China ",,461.4 Ergonomics and Human Factors Engineering - 722.4 Digital Computers and Systems - 903.3 Information Retrieval and Use,125137.0,"June 27, 2016 - July 1, 2016","Chiayi, Taiwan","20th Pacific Asia Conference on Information Systems, PACIS 2016",Cloud computing - Information systems - Information use,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,,Engineering Village,Compendex,Conference article (CA),,,,9789860491029.0,,,2016,English,Ubiquitous computing,"Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings",32.0,,1 of 1,2016,Pacific Asia Conference on Information Systems,"Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings",,The value of cloud computing to internet-based SMEs: A multiple case study from China,,Cost saving - Entrepreneurial performance - Internet based - Multiple-case study - Organizational agility - Small sized enterprise,
Signal Process,"In multiscale transform (MST)-based multifocus image fusion, the fusion rules of different subbands are a significant factor that affects the fusion performance. However, dependence only on new fusion rule will see no significant performance gain for a MST-based method. To address this problem, this paper proposes two novel multifocus image fusion techniques based on multi-scale and multi-direction neighbor distance (MMND), in which the improvements of the fusion performance are respectively achieved by two new developed updating schemes. These two schemes are constructed according to the fact that the difference between a low quality fused result and the source image in the focused region is sharper than those generated by a high quality fused result. Based on this fact, the pixels of the source images are classified into three types in the updating mechanism, namely, pixels of focused significant regions, pixels of smooth regions, pixels of transition area between the focused and defocused regions. According to the categories of source images pixels, we can update the fused result produced by the MMND method in spatial and the MMND domain. Extensive experimental results validate that the proposed two fusion schemes can achieve better results than some state-of-the art algorithms. © 2016 Elsevier B.V. All rights reserved.",,20162402485940,,"Li, Huafeng (1); Liu, Xinkun (1); Yu, Zhengtao (1); Zhang, Yafei (1) ","(1) Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Yunnan, Kunming; 650500, China ",SPRODR,723.2 Data Processing and Image Processing,,,,,Image enhancement - Pixels,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yu, Zhengtao(ztyu@hotmail.com) ",10.1016/j.sigpro.2016.05.015,Engineering Village,Compendex,Journal article (JA),,"Number: 2014Z022, Acronym: -, Sponsor: -; Number: 2013FD011, Acronym: -, Sponsor: Yunnan Provincial Science and Technology Department; Number: KKSY201403116, Acronym: KUST, Sponsor: Kunming University of Science and Technology; Number: 61562053, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61302041, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61363043, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","We thank Dr. Zheng Liu, Dr. Yu Liu, and Dr. Hengjun Zhao for providing the Matlab codes for their methods [52,43,7] . This research was supported by the National Natural Science Foundation of China (Nos. 61302041 , 61562053 and 61363043 ), the Applied Basic Research Foundation of Yunnan Provincial Science and Technology Department (No. 2013FD011 ), the Major Project of Education Department of Yunnan Province (No. 2014Z022 ), the Talent Development Project of Kunming University of Science and Technology (No. KKSY201403116 ).",,01651684,,"November 1, 2016",English,Image fusion,,59.0,474-493,,2016,Elsevier B.V.,Signal Processing,,Performance improvement scheme of multifocus image fusion derived by difference images,,Difference images - Fusion performance - Multifocus image fusion - Multiscale transforms - Performance Gain - Performance improvements - Smooth regions - State-of-the-art algorithms,128
"IEEE Int. Conf. Signal Image Process., ICSIP","With the development of optical character recognition research, many techniques for printed character recognition have been developed. But the character recognition study for the New Tai Lue has lagged behind. As a result, the digital processes of New Tai Lue have been in troubles. To solve this problem, this paper proposed a printed New Tai Lue character recognition method based on the Back Propagation (BP) Neural Network. Firstly, some image preprocessing including skew image correction, binarization are performed on the New Tai Lue images obtained by a scanner. Secondly, the character segmentation is carried out after the text line segmentation and the word segmentation processes. Thirdly, the feature vectors are built by using the local gray feature, the centroid coordinate and the original size of the image; Lastly, A BP neural network is trained with a training set contained 51740 samples. Then a test set contained 4917 samples is applied to test the performance of the proposed method. The experiment results show that 98.04% recognition rate has been obtained by the proposed method, which proved that this method is effective for the recognition of printed New Tai Lue characters. © 2016 IEEE.",,20171803614083,7888280,"Li, Dengfeng (1); Yu, PengFei (1); Li, Haiyan (1); Peng, Ge (1) ","(1) School of Information, Yunnan University, Kunming, China ",,723.2 Data Processing and Image Processing - 723.4 Artificial Intelligence - 741.1 Light/Optics,127096.0,"August 13, 2016 - August 15, 2016","Beijing, China","2016 IEEE International Conference on Signal and Image Processing, ICSIP 2016",Backpropagation - Feature extraction - Neural networks - Optical character recognition - Optical data processing,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/SIPROCESS.2016.7888280,Engineering Village,Compendex,Conference article (CA),,"Number: 61561050, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61462094, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by National Natural Science Foundation of China (Grant No. 61462094, 61561050).",9781509023769.0,,,"March 27, 2017",English,Image processing,"2016 IEEE International Conference on Signal and Image Processing, ICSIP 2016",10.0,339-342,1 of 1,2016,Institute of Electrical and Electronics Engineers Inc.,"2016 IEEE International Conference on Signal and Image Processing, ICSIP 2016",,Printed New Tai Lue character recognition based on BP neural network,,Back propagation neural networks - BP neural networks - Centroid coordinates - Character segmentation - Image preprocessing - Recognition rates - Text line segmentation - Word segmentation,
"ICALIP - Int. Conf. Audio, Lang. Image Process. - Proc.","The text line segmentation process is a key step in an optical character recognition (OCR) system. Several common approaches, such as projection-based methods and stochastic methods, have been put forward to fulfill this task. However, most of existing methods cannot be directly applied to process the palm leaf manuscripts of Dai which the images have poor quality and include smudges, creases, stroke deformation and character touching. To solve this problem, an improved Viterbi algorithm based on Hidden Markov Model (HMM) is proposed to find all possible segmentation paths firstly. And then, a path filtering method is used to detect the optimal paths for the segmented text blocks. The performance of the method is compared with relevant methods and the experimental results demonstrate the effectiveness of the proposed method. © 2016 IEEE.",,20171303501047,7846561,"Peng, Ge (1); Yu, Pengfei (1); Li, Haiyan (1); He, Lesheng (1) ","(1) School of Information Science and Engineering, Yunnan University, Yunnan, China ",,723.2 Data Processing and Image Processing - 741.1 Light/Optics - 922 Statistical Methods - 922.1 Probability Theory - 961 Systems Science,126427.0,"July 11, 2016 - July 12, 2016","Shanghai, China","5th International Conference on Audio, Language and Image Processing, ICALIP 2016",Hidden Markov models - Image segmentation - Optical character recognition - Optical data processing - Stochastic systems,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/ICALIP.2016.7846561,Engineering Village,Compendex,Conference article (CA),,"Number: 61561050, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61462094, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2015FB116, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; ","The authors would like to thank the financial supports by National Natural Science Foundation of China (Grant No.61462094, 61561050) and Natural Science Foundation of Yunnan Province of China (Grant No. 2015FB116)",9781509006533.0,,,"February 7, 2017",English,Viterbi algorithm,"ICALIP 2016 - 2016 International Conference on Audio, Language and Image Processing - Proceedings",14.0,336-340,1 of 1,2016,Institute of Electrical and Electronics Engineers Inc.,"ICALIP 2016 - 2016 International Conference on Audio, Language and Image Processing - Proceedings",,Text line segmentation using Viterbi algorithm for the palm leaf manuscripts of Dai,,Filtering method - OCR systems - Optical character recognition (OCR) - Palm leaf manuscripts of Dai - Segmentation paths - Stochastic methods - Stroke deformation - Text line segmentation,
RSC Adv.,This study describes the synthesis and solution properties of the novel linear-dendritic block copolymers (LDBCs) based on thermoresponsive poly(N-vinylcaprolactam) (PNVCL) chains and pH-responsive poly(benzyl ether) dendrons. The peripherally methyl ester-functionalized LDBCs (CH3OOC-Gn-b-PNVCL) were first synthesized via atom transfer radical polymerization (ATRP) of N-vinylcaprolactam (NVCL) using first- and second-generation dendritic poly(benzyl ether) chlorides with methyl ester peripheries as initiators. Their peripheral methyl ester groups were then hydrolyzed to afford the target thermoresponsive and pH-responsive poly(N-vinylcaprolactam)-based LDBCs (NaOOC-Gn-b-PNVCL). The results of1H NMR and GPC analysis showed that the synthesized LDBCs have controlled molecular weight and narrow polydispersity. The results of turbidity and dynamic light scattering (DLS) measurements demonstrated that the lower critical solution temperature (LCST) values of synthesized LDBCs decrease with increase in the generation of the dendritic poly(benzyl ethers) and the concentrations of the LDBCs solutions. The thermoresponsive behavior of NaOOC-Gn-b-PNVCL was also influenced by the pH value of the copolymer solutions. The self-assembly behavior of the LDBCs in an aqueous solution was investigated by fluorescence spectroscopy and transmission electron microscopy (TEM). The results indicated that the morphology of the amphiphilic CH3OOC-Gn-b-PNVCL in an aqueous phase changed from rod-like dendritic structure to a microrectangle shape with increase in the generation of the dendritic poly(benzyl ethers). CH3OOC-Gn-b-PNVCL form more well-defined aggregates. Second critical micelle concentration of NaOOC-G1-b-PNVCL has been observed. © The Royal Society of Chemistry 2016.,,20162102409585,,"Tang, Gang (1); Hu, Minqi (1); Ma, Yongcui (1); You, Dan (1); Bi, Yunmei (1) ","(1) College of Chemistry and Chemical Engineering, Yunnan Normal University, Kunming; 650500, China ",RSCACL,502.1 Mine and Quarry Operations - 741.1 Light/Optics - 741.3 Optical Devices and Systems - 801.3 Colloid Chemistry - 802.2 Chemical Reactions - 804.1 Organic Compounds - 815.1 Polymeric Materials - 815.2 Polymerization - 951 Materials Science,,,,,Atom transfer radical polymerization - Block copolymers - Chlorine compounds - Critical micelle concentration - Dynamic light scattering - Esters - Ethers - Fluorescence spectroscopy - Free radical reactions - High resolution transmission electron microscopy - Self assembly - Solutions - Transmission electron microscopy,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Bi, Yunmei(yunmeibi@hotmail.com) ",10.1039/c6ra04327e,Engineering Village,Compendex,Journal article (JA),20462069,"Number: 21564017, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 21264017, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ",The authors gratefully acknowledge support for this study from the National Natural Science Foundation of China (21264017 and 21564017).,,,49,2016,English,Solution mining,,54.0,42786-42793,,2016,Royal Society of Chemistry,RSC Advances,,Synthesis and solution properties of novel thermo- and pH-responsive poly (N-vinylcaprolactam)-based linear-dendritic block copolymers,,Controlled molecular weight - Copolymer solution - Dendritic structures - Linear-dendritic block copolymer (LDBCs) - Lower critical solution temperature - Poly(N-vinylcaprolactam) - Self-assembly behaviors - Thermo-responsive behaviors,6
Neurocomputing,"With the rapid advance of Internet technology and smart devices, users often need to manage large amounts of multimedia information using smart devices, such as personal image and video accessing and browsing. These requirements heavily rely on the success of image (video) annotation, and thus large scale image annotation through innovative machine learning methods has attracted intensive attention in recent years. One representative work is support vector machine (SVM). Although it works well in binary classification, SVM has a non-smooth loss function and can not naturally cover multi-class case. In this paper, we propose manifold regularized kernel logistic regression (KLR) for web image annotation. Compared to SVM, KLR has the following advantages: (1) the KLR has a smooth loss function; (2) the KLR produces an explicit estimate of the probability instead of class label; and (3) the KLR can naturally be generalized to the multi-class case. We carefully conduct experiments on MIR FLICKR dataset and demonstrate the effectiveness of manifold regularized kernel logistic regression for image annotation. © 2015 Elsevier B.V.",,20152200890766,,"Liu, Weifeng (1); Liu, Hongli (1); Tao, Dapeng (2); Wang, Yanjiang (1); Lu, Ke (3) ","(1) China University of Petroleum, China (2) Yunnan University, China (3) University of Chinese Academy of Sciences, China ",NRCGEO,"723 Computer Software, Data Handling and Applications - 922.2 Mathematical Statistics",,,,,Image analysis - Image retrieval - Learning algorithms - Regression analysis - Supervised learning - Support vector machines,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Tao, Dapeng(dapeng.tao@gmail.com) ",10.1016/j.neucom.2014.06.096,Engineering Village,Compendex,Journal article (JA),18728286,"Number: JCYJ20140901003939001, Acronym: -, Sponsor: -; Number: -, Acronym: CUPB, Sponsor: China University of Petroleum, Beijing; Number: 2014A030310252, Acronym: -, Sponsor: Natural Science Foundation of Guangdong Province; Number: 61271407, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61301242, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is partially supported by the National Natural Science Foundation of China (Grant No. 61301242, 61271407 ), the Guangdong Natural Science Funds (Grant No. 2014A030310252 ), the Shenzhen Technology Project (Grant No. JCYJ20140901003939001 ) and the Fundamental Research Funds for the Central Universities, China University of Petroleum (East China).",,09252312,,"January 8, 2016",English,Image annotation,,20.0,3-8,,2016,Elsevier B.V.,Neurocomputing,,Manifold regularized kernel logistic regression for web image annotation,,Binary classification - Kernel logistic regression - Laplacian eigenmaps - Machine learning methods - Manifold regularizations - Multimedia information - Semi- supervised learning - Web image annotations,172
"Int. Conf. Microw. Millim. Wave Technol., ICMMT - Proc.","In this paper, a novel comprehensive transmitter architecture has been proposed, which enables the concurrent transmission of two separate frequency bands by carrier aggregation. For different frequencies, the proposed transmitter can simultaneously employ 1-bit Low-pass and Band-pass delta-sigma modulators structures, or employ hybrid structures. Carrier frequencies are equal to oversampling frequencies of modulators. Besides, signals on two carriers are not interfered with each other to ensure transmission dual-band signal. Performance analysis is simulated by using Matlab/Simulink. The simulation results achieve high signal-to-noise radio and show the effectiveness of the proposed architecture. © 2016 IEEE.",,20170303265712,7762377,"He, Jiqin (1); Ren, Wenping (1); Shen, Dongya (1); Zeng, Jie (1); Zhang, Xiupu (1); Yuan, Hong (1) ","(1) Yunnan Eng. Lab. of Cloud Wireless Access and Heterogeneous Network, Yunnan University, No.2, North Cuihu Road, Kunming; 650091, China ",,"703.2 Electric Filters - 711 Electromagnetic Waves - 713.3 Modulators, Demodulators, Limiters, Discriminators, Mixers - 716.1 Information Theory and Signal Processing - 921 Mathematics",125121.0,"June 5, 2016 - June 8, 2016","Beijing, China","9th International Conference on Microwave and Millimeter Wave Technology, ICMMT 2016",Bandpass filters - Delta sigma modulation - MATLAB - Millimeter waves - Signal to noise ratio - Transmitters,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/ICMMT.2016.7762377,Engineering Village,Compendex,Conference article (CA),,"Number: 61561052, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61561051, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2012HA005, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2013FA027, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; ","This work is supported by the key project of Yunnan natural science funds (2013FA027), the Yunnan high-tech toptalents recruitment project (2012HA005), and the National Natural Science Foundation of China (61561052 and 61561051) .",9781467389815.0,,,"November 29, 2016",English,Modulators,"9th International Conference on Microwave and Millimeter Wave Technology, ICMMT 2016 - Proceedings",5.0,590-592,2of2,2016,Institute of Electrical and Electronics Engineers Inc.,"9th International Conference on Microwave and Millimeter Wave Technology, ICMMT 2016 - Proceedings",Beijing Institute of Technology; Chinese Institute of Electronics (CIE); IEEE Beijing Chapter; Microwave Society of CIE; Science and Technology on Electronic Test and Measurement Laboratory; Xi'an HengDa Microwave Technology Development Company,Dual-band transmitters based on Lowpass and Bandpass delta-sigma modulators,,Bandpass delta sigma modulators - Carrier aggregations - Concurrent transmission - Delta sigma modulator - Dual band transmitter - Performance analysis - Proposed architectures - Transmitter architecture,2
"Prog. Electromagn. Res. Symp., PIERS - Proc.","We proposed a novel micro strip sensor based on Dual-D shaped Complementary Split Resonator (Dual-D CSR) in the microwave region. In this research, the distribution of the electric field and transmission response (S21) have been simulated. Besides, we also investigated the effect of the width between Dual-D on resonance characteristics. Furthermore, the process and the performance is illustrated when Dual-D CSR is used as a sensor. Simulation results show that the reflection spectrum moves to the lower frequency side with respect to a small change of sample permittivity, and the relation between resonant frequency and sample permittivity reveals a good linearity. Finally, the Dual-D CSR can increase the interaction area between electric field and sample. This feature making the sensor very sensitivity to surrounding sample substances. In addition, the simplicity of such sensing structure enables its utilization in a wide frequency range by simply varying the geometric parameter of resonator. Such device have potential applications in dielectric sensing, especially for the detection of liquid. © 2016 IEEE.",,20165203169787,7735639,"Li, Xi Ming (1); Xie, Zheng Peng (1); Yang, Mei Xia (1); Yang, Jing Jing (1); Huang, Ming (1) ","(1) Wireless Innovation Lab. of Yunnan University, School of Information Science and Engineering, Yunnan University, Kunming, Yunnan, China ",,701.1 Electricity: Basic Concepts and Phenomena - 714 Electronic Components and Tubes - 732.2 Control Instrumentation,124897.0,"August 8, 2016 - August 11, 2016","Shanghai, China","2016 Progress In Electromagnetics Research Symposium, PIERS 2016",Electric fields - Microwave resonators - Natural frequencies - Permittivity,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/PIERS.2016.7735639,Engineering Village,Compendex,Conference article (CA),,"Number: 20125301120009, Acronym: -, Sponsor: -; Number: 20135301110003, Acronym: -, Sponsor: -; Number: 2015FA015, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 2013FA006, Acronym: -, Sponsor: Natural Science Foundation of Yunnan Province; Number: 61461052, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61261002, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11564044, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Our work was funded by the National Natural Science Foundation of China (Grant Nos. 61261002, 61461052, 11564044), and was supported by the Specialized Research Fund for the Doctoral Program of Higher Education (Grant No. 20135301110003, 20125301120009), and the Key Program of Natural Science of Yunnan Province (Grant Nos. 2013FA006, 2015FA015).",9781509060931.0,,,"November 3, 2016",English,Microwave sensors,"2016 Progress In Electromagnetics Research Symposium, PIERS 2016 - Proceedings",11.0,4415-4418,1of1,2016,Institute of Electrical and Electronics Engineers Inc.,"2016 Progress In Electromagnetics Research Symposium, PIERS 2016 - Proceedings",,Simulation and analysis of a micro strip sensor based on Dual-D shaped Complementary Split Resonator,,Dielectric sensing - Lower frequencies - Microwave region - Reflection spectra - Resonance characteristic - Simulation and analysis - Transmission response - Wide frequency range,
