Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Study of the temperature dependence of the uniaxial creep property of similar material of new soft rock","20174804462854","Wang, Y.Y. (1); Wu, Y. (1); Fan, X.Y. (1); Zhang, J.L. (1); Guo, P. (1); Li, J.G. (1) ","(1) College of Electromechanical Engineering, Qingdao University of Science and Technology, Qingdao; 266061, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012022","012022","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Using the experimental method, the experimental research of creep properties were conducted under different temperature ranging from 10°C to 60°C. The similar material of new soft rock consists of paraffin, which can obtain that the deformation contains the instantaneous elastic deformation and creep deformation through the uniaxial creep experimental results. And thus the increase of temperature has great influence on the creep characteristics of similar soft rock according to the creep curve of similar soft rock at 10°C to 60°C. With the increase of temperature, the slope of the stress-strain curve of similar soft rock is increasing, while the average of the creep modulus is decreasing, which means that the capacity of resist deformation is reduced. Therefore, the creeps law of high-temperature and short-time can be shown the creep phenomenon of low-temperature and long-time, and further shorten the creep experimental cycle. © Published under licence by IOP Publishing Ltd.","14","Creep","Rocks - Stress-strain curves - Temperature distribution","Creep characteristics - Creep deformations - Experimental cycles - Experimental methods - Experimental research - High temperature and short time - Resist deformation - Temperature dependence","641.1 Thermodynamics - 951 Materials Science",,"Number: 51674149, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research was financially supported by the National Natural Science Foundation of "Research of theory and technology on rheological, creep and solid-fluid transformation of deep soft rock" (51674149).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A new type of coil structure called pan-shaped coil of wireless charging system based on magnetic resonance","20174804462749","Yue, Z.K. (1); Liu, Z.Z. (1); Hou, Y.J. (2); Zeng, H. (1); Liang, L.H. (1); Cui, S. (1) ","(1) School of Electrical Engineering, Shandong University, Shandong Province Jinan; 250061, China (2) Energy Research Institute, Shandong Academy of Sciences, Shandong Province Jinan; 250014, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012061","012061","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","The problem that misalignment between the transmitting coil and the receiving coil significantly impairs the transmission power and efficiency of the system has been attached more and more attention. In order to improve the uniformity of the magnetic field between the two coils to solve this problem, a new type of coil called pan-shaped coil is proposed. Three-dimension simulation models of the planar-core coil and the pan-shaped coil are established using Ansoft Maxwell software. The coupling coefficient between the transmitting coil and the receiving coil is obtained by simulating the magnetic field with the receiving coil misalignment or not. And the maximum percentage difference strength along the radial direction which is defined as the magnetic field uniformity factor is calculated. According to the simulation results of the two kinds of coil structures, it is found that the new type of coil structure can obviously improve the uniformity of the magnetic field, coupling coefficient and power transmission properties between the transmitting coil and the receiving coil. © Published under licence by IOP Publishing Ltd.","9","Magnetic resonance","Alignment - Computer software - Magnetic fields","Coil structures - Coupling coefficient - Magnetic field uniformities - Radial direction - Three dimension simulations - Transmission power - Transmitting coils - Wireless charging system","601.1 Mechanical Devices - 701.2 Magnetism: Basic Concepts and Phenomena - 723 Computer Software, Data Handling and Applications",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Almost periodic solutions for quaternion-valued shunting inhibitory cellular neural networks of neutral type with time delays in the leakage term","20183505742863","Li, Yongkun (1); Meng, Xiaofang (1) ","(1) Department of Mathematics, Yunnan University, Kunming; Yunnan, China ","Li, Yongkun(yklie@ynu.edu.cn) ","International Journal of Systems Science","Int. J. Syst. Sci.","","Taylor and Francis Ltd.","49","11","2490-2505","August 18, 2018","","","2018","English","00207721","14645319","","10.1080/00207721.2018.1505006","","","","","","IJSYA9","Journal article (JA)","In this paper, we propose a class of quaternion-valued shunting inhibitory cellular neural networks of neutral type with time delays in the leakage term. In order to overcome the difficulty of the non-commutativity of quaternion multiplication, we first decompose the system under consideration into four real-valued systems. Then by using the exponential dichotomy theory of linear differential equations and Banach's fixed point theorem, we establish sufficient conditions to ensure the existence and global exponential stability of almost periodic solutions for this class of neural networks. Finally, a numerical example is given to demonstrate the effectiveness of the obtained result. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","47","Cellular neural networks","Asymptotic stability - Differential equations - Fixed point arithmetic - Time delay","Almost periodic solutions - Leakage delays - Neutral type - quaternion - Shunting inhibitory cellular neural networks",,,"Number: 11361072, Acronym: -, Sponsor: -; Number: 2017YJS111, Acronym: -, Sponsor: -; ","This work is supported by the National Natural Sciences Foundation of People’s Republic of China [grant number 11361072] and the Science Research Fund of Education Department of Yunnan Province of China [grant number 2017YJS111.]",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on the electrical performance of underwater photovoltaic modules","20174804462739","Li, L. (1); He, Y.T. (1); Wang, S.H. (1); Zhang, C. (1, 2) ","(1) School of Physics and Electronic Science, Chu Xiong Normal University, Chu Xiong, Yunnan Province; 675000, China (2) Chuangyuan Fangda Electric Co. Ltd, Tang Shan, He Bei Province; 063000, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012051","012051","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Light intensity directly affects the output current of photovoltaic (PV) modules. The output characteristics of underwater photovoltaic modules are directly affected by light intensity. In this paper, utilizing the matrix simulation of light, and solar module analyzer (PROVA) test equipment, the electrical parameters of polycrystalline silicon PV modules are tested underwater. The relationship between the output characteristics of the PV module and water depth is analyzed. The results show that the output characteristics of PV modules is insensitive to increasing water depth. For the vertically irradiated photovoltaic module, the short-circuit current of the silicon photovoltaic module decreased by 2.39 A, the power decreased by 2.57 W, and the efficiency decreased by 5% when the water depth was increased by 1 cm. Similarly, the when the dip angle is 30 degrees, 45 degrees, 60 degrees, with an increase of water depth by 1cm, the PV module of short-circuit current, power and efficiency were decreased by 2.05 A, 2.1 W, 8%; 1.85 A, 2.07 W, 6.93%; 1.05 A, 0.74 W, 3.67%, respectively. Relative to the 0 degree angle, when the dip angle is 30 degrees, 45 degrees, 60 degrees angle, the percentage drop in PV module of short circuit current is14%, 23%, 56% and the power is 18.3%, 19.5%, 71.2% respectively. © Published under licence by IOP Publishing Ltd.","8","Photovoltaic cells","Energy conversion - Equipment testing - Short circuit currents","Electrical parameter - Electrical performance - Light intensity - Output characteristics - Output current - Photovoltaic modules - Silicon photovoltaic modules - Test equipments","525.5 Energy Conversion Issues - 701.1 Electricity: Basic Concepts and Phenomena",,"","This research was financially supported by research project of teaching reform in Chuxiong Normal University and Yunnan Applied Basic Research Projects.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Two-stage energy storage equalization system for lithium-ion battery pack","20174804462878","Chen, W. (1); Yang, Z.X. (1); Dong, G.Q. (1); Li, Y.B. (1); He, Q.Y. (1) ","(1) Institute of Systems Science and Engineering, Henan Engineering Laboratory of Wind Power Systems, Henan University of Science and Technology, No. 48 Xiyuan Road, Luoyang; 471003, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012046","012046","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","How to raise the efficiency of energy storage and maximize storage capacity is a core problem in current energy storage management. For that, two-stage energy storage equalization system which contains two-stage equalization topology and control strategy based on a symmetric multi-winding transformer and DC-DC (direct current-direct current) converter is proposed with bidirectional active equalization theory, in order to realize the objectives of consistent lithium-ion battery packs voltages and cells voltages inside packs by using a method of the Range. Modeling analysis demonstrates that the voltage dispersion of lithium-ion battery packs and cells inside packs can be kept within 2 percent during charging and discharging. Equalization time was 0.5 ms, which shortened equalization time of 33.3 percent compared with DC-DC converter. Therefore, the proposed two-stage lithium-ion battery equalization system can achieve maximum storage capacity between lithium-ion battery packs and cells inside packs, meanwhile efficiency of energy storage is significantly improved. © Published under licence by IOP Publishing Ltd.","18","Lithium-ion batteries","DC transformers - DC-DC converters - Electric inverters - Energy efficiency - Energy storage - Equalizers - Ions - Storage management","Control strategies - Core problems - Direct current - Model analysis - Multi-winding transformer - Storage capacity - Two-stage energy storages - Voltage dispersion","525.2 Energy Conservation - 525.7 Energy Storage - 704.1 Electric Components - 713.5 Electronic Circuits Other Than Amplifiers, Oscillators, Modulators, Limiters, Discriminators or Mixers - 723.3 Database Systems",,"Number: 70671035, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 71071078, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The financial support from the National Natural Science Foundation of China (NSFC) under the grant No. 70671035 and No. 71071078 is acknowledged gratefully.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A graph based technique of process partitioning","20181004862088","Xue, Gang (1); Liu, Jing (1); Wu, Liwen (1); Yao, Shaowen (1) ","(1) School of Software, Yunnan University, Kunming; Yunnan, China ","","Journal of Web Engineering","J. Web Eng.","","Rinton Press Inc.","17","1-2","121-140","March 2018","","","2018","English","15409589","","","","","","","","","","Journal article (JA)","Web service is an important technology for constructing distributed applications. In order to provide more complex functionalities, services can be reused by applying service composition. A service composition can be designed and implemented through a centralization or decentralization strategy. When observing the decentralized service composition, several researchers found out that this kind of compositions has its own advantages. These findings promote the development of approaches for designing, implementing and applying decentralized service compositions. Process partitioning is a topic about dividing a process into a collection of small parts. The technique is applicable to partitioning a process in a centralized service composition, and the result can provide support to constructing a decentralized service composition. This paper presents a technique of process partitioning. The technique can be used for constructing decentralized service compositions, and it provides a graph transformation based approach to reorganizing a process which is represented as a process structure graph. Compared to existing approaches, the technique can partition well-structured and unstructured processes. Some issues about decentralized service compositions and performance tests of service compositions are discussed in this paper. Experimental results show that, when compared with the centralized service composition, the decentralized service composition can have lower average response time and higher throughput in runtime environment. © River Publishers.","25","Web services","Directed graphs - Graph theory - Graphic methods - Quality of service","Distributed applications - Graph Transformation - Graph-based techniques - Lower average - Performance tests - Process structures - Runtime environments - Service compositions","921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,"Number: 61363084, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2015SE101, Acronym: -, Sponsor: -; ","This work is supported by the National Natural Science Foundation of China (No. 61363084) and the Open Foundation of Key Laboratory in Software Engineering of Yunnan Province (No. 2015SE101).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On the existence and stability of a unique almost periodic solution of Schoener's competition model with pure-delays and impulsive effects","20114014405601","Zhang, Tianwei (1, 2); Li, Yongkun (1); Ye, Yuan (3) ","(1) Department of Mathematics, Yunnan University Kunming, Yunnan 650091, China (2) Essential Department, City College Kunming, University of Science and Technology Kunming, Yunnan 650051, China (3) Graduate School of Yunnan University, Yunnan University Kunming, Yunnan 650091, China ","Ye, Y.(yye_yd@yahoo.com.cn) ","Communications in Nonlinear Science and Numerical Simulation","Comm. Nonlinear Sci. Numer. Simul.","","Elsevier B.V.","17","3","1408-1422","March 2012","","","2012","English","10075704","","","10.1016/j.cnsns.2011.08.008","","","","","","","Journal article (JA)","In this paper, we consider an almost periodic Schoener's competition model with delays and impulsive effects. Sufficient conditions which guarantee the permanence of the model and the existence of a unique uniformly asymptotically stable positive almost periodic solution are obtained. The result of this paper is completely new. An suitable example is employed to illustrate the feasibility of the main results. © 2011 Elsevier B.V.","22","Computer simulation","Numerical analysis","Almost periodic solutions - Asymptotically stable - Competition model - Existence and stability - Impulse - Impulsive effects - Positive almost periodic solutions - Pure delay","723.5 Computer Applications - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Infrared and visible image fusion based on convolutional neural network model and saliency detection via hybrid l 0- l 1 layer decomposition","20190206361812","Liu, Dong (1); Zhou, Dongming (1); Nie, Rencan (1); Hou, Ruichao (1) ","(1) Yunnan University, School of Information, Kunming, China ","Zhou, Dongming(zhoudm@ynu.edu.cn) ","Journal of Electronic Imaging","J. Electron. Imaging","","SPIE","27","6","","November 1, 2018","","","2018","English","10179909","1560229X","","10.1117/1.JEI.27.6.063036","063036","","","","","JEIME5","Journal article (JA)","In the past few years, a convolutional neural network (CNN) based deep learning model has been broadly applied in image processing and computer vision. And different from other multiscale decomposition methods in infrared and visible image fusion field, a hybrid l0-l1 layer decomposition model, which combines the superiority of l0 sparsity term and l1 sparsity term, is carried out to decompose the image into the base layer and the detail layer. Thus, a CNN model and visual saliency-based methods are utilized to fuse the detail layer and the base layer, respectively. Finally, the experiments show that this combination of CNN and saliency detection fusion rule has outperform some of the existing methods in infrared and visible image fusion both subjective and objective evaluations. © 2018 SPIE and IS&T.","29","Image fusion","Convolution - Deep learning - Image processing - Neural networks","Convolutional neural network - Convolutional Neural Networks (CNN) - Decomposition model - Image processing and computer vision - Infrared and visible image - Multi-scale Decomposition - Saliency detection - Subjective and objective evaluations","716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing",,"Number: 61365001, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors thank the editors and the anonymous reviewers for their careful works and valuable suggestions for this study. The authors’ work is supported by the National Natural Science Foundation of China (Grant Nos. 61463052 and 61365001).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Halbach array-based design and simulation of disc coreless permanen-magnet integrated starter generator","20174804462746","Li, Y.B. (1); Yang, Z.X. (1); Chen, W. (1); He, Q.Y. (1) ","(1) Institute of Systems Science and Engineering, Henan Engineering Laboratory of Wind Power Systems, Henan University of Science and Technology, No. 48 Xiyuan Road, Luoyang; 471003, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012058","012058","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","The functional performance, such as magnetic flux leakage, power density and efficiency, is related to the structural characteristics and design technique for the disc permanent magnet synchronous generators (PMSGs). Halbach array theory-based magnetic circuit structure is developed, and Maxwell3D simulation analysis approach of PMSG is proposed in this paper for integrated starter generator (ISG). The magnetization direction of adjacent permanent magnet is organized in difference of 45 degrees for focusing air gap side, and improving the performance of the generator. The magnetic field distribution and functional performance in load and/or unload conditions are simulated by Maxwell3D module. The proposed approach is verified by simulation analysis, the air gap flux density is 0.66T, and the phase voltage curve has the characteristics of a preferable sinusoidal wave and the voltage amplitude 335V can meet the design requirements while the disc coreless PMSG is operating at rated speed. And the developed magnetic circuit structure can be used for engineering design of the disc coreless PMSG to the integrated starter generator. © Published under licence by IOP Publishing Ltd.","17","Electric generators","AC generator motors - Design - Magnetic circuits - Magnetic leakage - Permanent magnets - Starters - Synchronous generators","Functional performance - Integrated starter generator - Magnetic circuit structures - Magnetic field distribution - Magnetic flux leakage - Magnetization direction - Permanent magnet synchronous generator - Structural characteristics","701.2 Magnetism: Basic Concepts and Phenomena - 704.1 Electric Components - 705.2 Electric Generators - 705.2.1 AC Generators",,"Number: 70671035, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 71071078, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The financial support from the National Natural Science Foundation of China (NSFC) under the grant No. 70671035 and No. 71071078 is acknowledged gratefully.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Review of the development of multi-terminal HVDC and DC power grid","20174804462876","Chen, Y.X. (1) ","(1) School of Electrical and Electronic Engineering, North China Electric Power University, Beijing; 102206, China ","Chen, Y.X.(cyx@ncepu.edu.cn) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012044","012044","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Traditional power equipment, power-grid structures, and operation technology are becoming increasingly powerless with the large-scale renewable energy access to the grid. Thus, we must adopt new technologies, new equipment, and new grid structure to satisfy future requirements in energy patterns. Accordingly, the multiterminal direct current (MTDC) transmission system is receiving increasing attention. This paper starts with a brief description of current developments in MTDC worldwide. The MTDC project, which has been placed into practical operation, is introduced by the Italian-Corsica-Sardinian three-terminal high-voltage DC (HVDC) project. We then describe the basic characteristics and regulations of multiterminal DC transmission. The current mainstream of several control methods are described. In the third chapter, the key to the development of MTDC system or hardware and software technology that restricts the development of multiterminal DC transmission is discussed. This chapter focuses on the comparison of double-ended HVDC and multiterminal HVDC in most aspects and subsequently elaborates the key and difficult point of MTDC development. Finally, this paper summarizes the prospect of a DC power grid. In a few decades, China can build a strong cross-strait AC-DC hybrid power grid. © Published under licence by IOP Publishing Ltd.","9","HVDC power transmission","Electric power measurement - Electric power transmission networks - Software engineering","Basic characteristics - Hardware and software - High voltage DC (HVDC) - Multi-terminal dc - Multi-terminal direct currents - Multi-terminal HVDC - Renewable energies - Transmission systems","706.1.1 Electric Power Transmission - 723.1 Computer Programming - 942.2 Electric Variables Measurements",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A review on prognostics approaches for remaining useful life of lithium-ion battery","20174804462872","Su, C. (1); Chen, H.J. (1) ","(1) School of Mechanical Engineering, Southeast University, Nanjing; 211189, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012040","012040","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Lithium-ion (Li-ion) battery is a core component for various industrial systems, including satellite, spacecraft and electric vehicle, etc. The mechanism of performance degradation and remaining useful life (RUL) estimation correlate closely to the operating state and reliability of the aforementioned systems. Furthermore, RUL prediction of Li-ion battery is crucial for the operation scheduling, spare parts management and maintenance decision for such kinds of systems. In recent years, performance degradation prognostics and RUL estimation approaches have become a focus of the research concerning with Li-ion battery. This paper summarizes the approaches used in Li-ion battery RUL estimation. Three categories are classified accordingly, i.e. model-based approach, data-based approach and hybrid approach. The key issues and future trends for battery RUL estimation are also discussed. © Published under licence by IOP Publishing Ltd.","35","Lithium-ion batteries","Ions - Scheduling - Systems engineering","Industrial systems - Maintenance decisions - Model based approach - Operation scheduling - Performance degradation - Remaining useful lives - Spare parts management - Three categories","912.2 Management - 961 Systems Science",,"Number: 71671035, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This research was supported by the National Natural Science Foundation of China under No. 71671035 and the Open Fund of Jiangsu Wind Power Engineering Technology Center, China under No. ZK15-03-01 and ZK16-03-07.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Strategy of investment in electricity sources - Market value of a power plant and the electricity market","20174804462842","Bartnik, R. (1); Hnydiuk-Stefan, A. (1); Buryn, Z. (1) ","(1) Opole University of Technology, Faculty of Production Engineering and Logistics, Department of Power Engineering Management, Poland ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012010","012010","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","This paper reports the results of the investment strategy analysis in different electricity sources. New methodology and theory of calculating the market value of the power plant and value of the electricity market supplied by it are presented. The financial gain forms the most important criteria in the assessment of an investment by an investor. An investment strategy has to involve a careful analysis of each considered project in order that the right decision and selection will be made while various components of the projects will be considered. The latter primarily includes the aspects of risk and uncertainty. Profitability of an investment in the electricity sources (as well as others) is offered by the measures applicable for the assessment of the economic effectiveness of an investment based on calculations e.g. power plant market value and the value of the electricity that is supplied by a power plant. The values of such measures decide on an investment strategy in the energy sources. This paper contains analysis of exemplary calculations results of power plant market value and the electricity market value supplied by it. © Published under licence by IOP Publishing Ltd.","4","Investments","Commerce - Electric industry - Power markets - Strategic planning","Economic effectiveness - Electricity source - Energy source - Financial gains - Investment strategy - Market values - Risk and uncertainty","912.2 Management",,"Number: -, Acronym: NCN, Sponsor: Narodowym Centrum Nauki; Number: -, Acronym: NCN, Sponsor: Narodowe Centrum Nauki; ","This research was financially supported by the scientific activity number 2017/01/X/ST8/00111 from the National Science Centre Poland (Polskie Narodowe Centrum Nauki - NCN).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The analysis of energy efficiency in water electrolysis under high temperature and high pressure","20174804462867","Hourng, L.W. (1); Tsai, T.T. (1); Lin, M.Y. (2) ","(1) Department of Mechanical Engineering, National Central University, Taoyuan, Taiwan (2) Department of Mechanical Engineering, Army Academy, Taoyuan, Taiwan ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012035","012035","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","This paper aims to analyze the energy efficiency of water electrolysis under high pressure and high temperature conditions. The effects of temperature and pressure on four different kinds of reaction mechanisms, namely, reversible voltage, activation polarization, ohmic polarization, and concentration polarization, are investigated in details. Results show that the ohmic and concentration over-potentials are increased as temperature is increased, however, the reversible and activation over-potentials are decreased as temperature is increased. Therefore, the net efficiency is enhanced as temperature is increased. The efficiency of water electrolysis at 350°C/100 bars is increased about 17%, compared with that at 80°C/1bar. © Published under licence by IOP Publishing Ltd.","9","Energy efficiency","Chemical activation - Electrolysis - Polarization - Temperature","Activation over potentials - Activation polarization - Concentration polarization - Effects of temperature - High Pressure and High Temperature conditions - High temperature and high pressure - Ohmic polarization - Reaction mechanism","525.2 Energy Conservation - 641.1 Thermodynamics - 801.4.1 Electrochemistry - 804 Chemical Products Generally",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on temperature control and influence of the vacuum tubes with inserted tubes solar heater","20174804462768","Xiao, L.X. (1); He, Y.T. (1); Hua, J.Q. (1) ","(1) Department of Physics and Electronic Science, Chuxiong Normal University, Chuxiong, Yunnan Province; 675000, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012080","012080","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","A novel snake-shape vacuum tube with inserted tubes solar collector is designed in this paper, the heat transfer characteristics of the collector are analyzed according to its structural characteristics, and the influence of different working temperature on thermal characteristics of the collector is studied. The solar water heater prototype consisting of 14 vacuum tubes with inserted tubes is prepared, and the hot water storage control subsystem is designed by hysteresis comparison algorithm. The heat characteristic of the prototype was experimentally studied under hot water output temperature of 40-45°C, 50-55°C and 60-65°C. The daily thermal efficiency was 64%, 50% and 46%, respectively. The experimental results are basically consistent with the theoretical analysis. © Published under licence by IOP Publishing Ltd.","10","Tubes (components)","Electron tubes - Heat transfer - Water","Heat characteristics - Heat transfer characteristics - Hot water storage - Structural characteristics - Thermal characteristics - Thermal efficiency - Tubes solar collectors - Working temperatures","619.1 Pipe, Piping and Pipelines - 641.2 Heat Transfer - 714.1 Electron Tubes",,"Number: ZD2014014, Acronym: -, Sponsor: -; Number: 51566001, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The authors thank National Natural Science Foundation of China (No. 51566001) and Education department Major Project Foundation of Yunnan province (No. ZD2014014) for their financial supply.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Stabilization of discrete-time networked control systems with nonlinear perturbation","20084011615913","Zhou, Lei (1); Zhang, Zhenjuan (2); Lu, Guoping (3); Xiao, Xiaoqing (1) ","(1) School of Science, Nantong University, Nantong, Jiangsu 226007, China (2) School of Electronics and Information, Nantong University, Nantong, Jiangsu 226007, China (3) College of Electrical Engineering, Nantong University, Nantong, Jiangsu 226007, China ","Zhang, Z.(zhang.zj@ntu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","266-270","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605058","4605058","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper discusses the stabilization controller design for a class of discrete-time nonlinear networked control systems under consideration of both the networked-induced delay and data packed dropout. Based on the Lypunov-Krasovskii function method and LMI technique, a state feedback controller is designed. The admissible bound of networked-induced delay and the packet loss is also presented in terms of LMI. A numerical example is provided to demonstrate the effectiveness of our approach.","17","Networked control systems","Controllers - Discrete time control systems - Linear matrix inequalities - Nonlinear control systems - Packet loss - Stabilization - State feedback","Discrete-time nonlinear networked control systems - Function methods - LMI techniques - Networked-induced delays - Nonlinear perturbations - Stabilization controllers - State feedback controller - Transmission delays","731.1 Control Systems - 732.1 Control Equipment - 921.1 Algebra",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
