Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Study on preparing fatty acid by hydrolyzing Jatropha Curcasl Oil with lipase","20113014187727","Wang, Changmei (1); Zhou, Xiaoqing (1); Zhang, Wudi (1); Chen, Yubao (1); Yin, Fang (1); Li, Jianchang (1); Xu, Rui (1); Liu, Shiqing (1) ","(1) Yunnan Normal University, Kunming 650092, China ","Zhang, W.(wooti@ynnu.edu.cn) ","ISWREP 2011 - Proceedings of 2011 International Symposium on Water Resource and Environmental Protection","ISWREP - Proc. -Int. Symp. Water Resour. Environ. Prot.","","IEEE Computer Society","4","","3017-3019","2011","ISWREP 2011 - Proceedings of 2011 International Symposium on Water Resource and Environmental Protection","","","2011","English","","","","9781612843377","10.1109/ISWREP.2011.5893513","5893513","","","","","","Conference article (CA)","Used tween-80 as emulsifier, industrial lipase as catalyst to hydrolyze Jatropha Curcasl Oil and make mixed fatty acid. We discussed the enzyme concentration, substrate concentration, temperature and time on hydrolysis. Through the experiment, we found that when we used emulsifier which contains 2% oil in the system, we could get the optimal parameter for hydrolysis of waste oil from restaurants as follows: concentration of catalyst 4% (W/W), weight ratio of oil to water 1:4 (W/W), temperature at 40°C, and hydrolysis time is 32h. Under these conditions, the AV(acid value) of hydrolyzed rapeseed oil reached 163.2 mg KOH/g, and hydrolytic rate arrived at 89.6%. © 2011 IEEE.","","13","Fatty acids","Catalysts - Emulsification - Hydrolysis - Lipases - Oilseeds - Potassium hydroxide - Vegetable oils - Water resources","Acid value - Enzyme concentrations - Industrial lipase - Optimal parameter - Rapeseed oil - Substrate concentrations - Waste oil - Weight ratios","444 Water Resources - 461.9 Biology - 802.2 Chemical Reactions - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 821.4 Agricultural Products",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research of trace equivalence relation on xtr","20091712050451","Yong, Li (1); Xiang-li, Zhang (1); Long, He (1); Zhi-heng, Xiez (1); Chong, Hu (1) ","(1) GUILIN University of Electronic Technology, Guilin 541004, China ","Yong, L.(lygxyl@hotmail.com) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","3","","380-384","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.189","4797281","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75846","","Conference article (CA)","The trace equivalence relation is analyzed and proved by the property of cyclic group, and the XTR security decreasing caused by the equivalence relation is discussed. To cope with this problem, an improved algorithm was proposed to eliminate the equivalence relation effectively. The improved algorithm is compatible with the old speedup algorithm. Furthermore, the algorithm is more effective to improve the degree of XTR security. In the last, the algorithm is used in an improved signature scheme with Message Recovery, and the computation and communication cost are analyzed. The results show that the computation cost is on average more half than the old, but the communication cost only need an additional parameter. © 2009 IEEE.","","10","Set theory","Mobile computing","Communication cost - Computation costs - Cyclic group - Equivalence relations - Signature scheme with message recovery - Trace equivalence","921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Algorithm for mining sequential pattern in time series data","20091712050430","Chong, Zhu (1); Xiangli, Zhang (1); Jingguo, Sun (1); Bin, Huang (1) ","(1) Guilin University of Electronic Technology, Guilin, 541004, China ","Chong, Z.(zhuch@mails.guet.edu.cn) ","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","Proc. - WRI Int. Conf. Commun. Mob. Comput., CMC","","IEEE Computer Society","3","","258-262","2009","Proceedings - 2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","","","2009","English","","","","9780769535012","10.1109/CMC.2009.208","4797258","2009 WRI International Conference on Communications and Mobile Computing, CMC 2009","January 6, 2009 - January 8, 2009","Kunming, Yunnan, China","75846","","Conference article (CA)","Mining sequential pattern in time series data is broadly used in a variety of areas in order to make a prediction, and an appropriate model should be established before the prediction can be done, therefore, the way how to mine out time series pattern from time series database becomes extremely important. Based on data of the time series database, this paper presents a new frequent time series pattern mining algorithm, which constructs a tree-projection at first, then uses priority depth strategy to traversal the tree-projection in order to mine out all the longest frequent patterns, the paper has descripted the new algorithm with pseudo code in detail. Experimental results demostrate that this algorithm has mined out the frequent series, which meets the real-time restraints successfully. Furthermore, under the same condition and different support situation, the new algorithm has obtained the same ruleset as the traditional AprioriAll method but more effective performance. © 2009 IEEE.","","9","Trees (mathematics)","Forestry - Mobile computing - Time series","Appropriate models - Effective performance - Mining sequential patterns - Pseudo codes - Time Series Database - Time series patterns - Time-series data - Tree projections","921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fault detection for rolling element bearing using an enhanced morphological-hat product filtering method","20183505756568","Yan, Xiaoan (1); Jia, Minping (1) ","(1) School of Mechanical Engineering, Southeast University, Nanjing; 211189, China ","Yan, Xiaoan(yanxiaoan89@sina.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032066","032066","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","A novel morphological filter (MF), named enhanced morphological-hat product filtering (EMHPF) is proposed for bearing fault detection. Within this method, a new morphological-hat product operation (MHPO) is firstly proposed based on two morphological-hat operators that are previously reported. Subsequently, an efficient evaluation index called fault feature ratio (FFR) is applied to select adaptively the length of structuring element (SE) for improving the precision of bearing fault diagnosis. The simulation and experimental results on rolling bearing fault illustrate that the proposed EMHPF method is capable of enhancing fault detection of rolling bearing, and its feature extraction capability is superior to that of some existing morphological filter methods. © Published under licence by IOP Publishing Ltd.","","8","Fault detection","Bridge decks - Composite materials - Feature extraction - Manufacture - Roller bearings","Bearing fault detection - Bearing fault diagnosis - Extraction capability - Filtering method - Morphological filters - Product operations - Rolling Element Bearing - Structuring element","401.1 Bridges - 537.1 Heat Treatment Processes - 601.2 Machine Components - 951 Materials Science",,"Number: 51675098, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: KYCX17_0059, Acronym: -, Sponsor: Basic Research Program of Jiangsu Province; ","This work was financially supported by the National Natural Science Foundation of China (Grant No. 51675098) and Postgraduate Research & Practice Innovation Program of Jiangsu Province, China (Project No. KYCX17_0059).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Power Quality Assessment for a Fluctuating Load Based on the Electrical Transient Analysis Program","20183505760461","Shen, Pengfei (1); Sun, Yuanyuan (1); Xie, Xiangmin (1); Zhang, Linghan (1) ","(1) School of Electrical Engineering, Shandong University, Ji'nan; 250061, China ","Shen, Pengfei(1477758543@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","4","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 3. Energy Materials","","4 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/4/042106","042106","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","Before a new power customer is connected into the power grid, it is an important task to assess the possible impact of this new load on the power quality. This paper proposes a method to analyze the voltage fluctuations and harmonics for the characteristics of many types and quantities of internal frequency conversion equipment and motors in the power consumer. First, the principles and methods for model establishment of voltage fluctuation analysis and harmonic analysis are introduced. Then, according to the actual operation of the loads, the simulation model is established in ETAP (Electrical Transient Analysis Program). The voltage fluctuation and the harmonics injected into the power grid caused by the operation of loads are obtained through simulation. Since the phenomenon that the harmonics exceed the standard in the extreme operating condition, this paper gives reasonable control measures based on the actual condition of the load, the simulation results and the allowable values prescribed by national standards. © Published under licence by IOP Publishing Ltd.","","7","Transient analysis","Bridge decks - Composite materials - Electric power transmission networks - Harmonic analysis - Power quality - Quality control","Actual conditions - Electrical transient analysis - Fluctuating loads - Internal frequency - National standard - Operating condition - Power quality assessment - Voltage fluctuations","401.1 Bridges - 706.1.1 Electric Power Transmission - 706.1.2 Electric Power Distribution - 913.3 Quality Assurance and Control - 921.6 Numerical Methods - 951 Materials Science",,"Number: 51577108, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This project has received financial support from the National Natural Science Foundation of China (51577108).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Thermal Analysis of a Certain Type of High Energy Propellant","20183505760523","Huang, Weijia (1); Chen, Minghua (1); Chen, Yongkang (1); Guo, Leju (1) ","(1) School of the Army Engineering University, Shijiazhuang; 050000, China ","Huang, Weijia(1156129944@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","4","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 3. Energy Materials","","4 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/4/042056","042056","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","In order to study the thermal decomposition characteristics of four component HTPB propellants, the thermo gravimetric analysis (TG) experiment was carried out. The TG curves of propellants at different temperatures, and the TG curves of different components of propellants at the same temperature were obtained, and the kinetic parameters at different heating rates were calculated. In general, the heat of the solid propellant was found. Decomposition is a continuous process with thermal stability and thermal safety. © Published under licence by IOP Publishing Ltd.","","4","HTPB propellants","Bridge decks - Composite materials - Decomposition - Gravimetric analysis - Manufacture - Thermoanalysis - Thermogravimetric analysis","Continuous process - Decomposition characteristics - High energy propellant - TG curves - Thermal safety","401.1 Bridges - 537.1 Heat Treatment Processes - 801 Chemistry - 802.2 Chemical Reactions - 804 Chemical Products Generally - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An On-Line Energy Acquisition Method for Transmission Lines Based on Impedance Matching","20183505760559","Lu, Xinxing (1); Yang, Jun (1); Fan, Shaosheng (1); Liu, Zheng (1); Zhang, Kang (1) ","(1) Changsha University of Science and Technology, Hunan Province, Changsha; 410114, China ","Lu, Xinxing(527956726@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","4","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 3. Energy Materials","","4 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/4/042092","042092","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","Aiming at the shortcomings of large starting current and small output power for induction energy acquisition methods of conventional current transformers, an online energy acquisition method for transmission lines based on impedance matching is proposed in this paper. In this method, parallel resonance is generated by matching the secondary winding of the open gap magnetic core with its excitation impedance, thus the equivalent impedance of the damping branch of the magnetic core is increased. So that the load can get more electric energy by more current separated by the other branch. The experiments show that the on-line energy acquisition method of power transmission line based on impedance matching can achieve more power than the conventional current transformer induction energy acquisition method at the same bus current and the same magnetic core. © Published under licence by IOP Publishing Ltd.","","7","Mergers and acquisitions","Bridge decks - Composite materials - Electric currents - Electric instrument transformers - Electric lines - Impedance matching (electric) - Magnetic cores - Magnetism - Manufacture - Transformer windings","Conventional currents - Electric energies - Energy acquisitions - Equivalent impedance - Excitation impedance - Induction energy - Parallel resonance - Secondary windings","401.1 Bridges - 537.1 Heat Treatment Processes - 701.1 Electricity: Basic Concepts and Phenomena - 701.2 Magnetism: Basic Concepts and Phenomena - 704.1 Electric Components - 706.2 Electric Power Lines and Equipment - 714 Electronic Components and Tubes - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Thermal expansion coefficient measured by single slit diffraction","20183505760542","Yang, Guijuan (1); Ren, Ziying (1); Wang, Jian (1) ","(1) School of Science, Dalian Ocean University, Dalian, China ","Ren, Ziying(mir2014@foxmail.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","4","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 3. Energy Materials","","4 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/4/042075","042075","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","The determination of thermal expansion coefficient of materials is a representative experiment in thermal experiments.With the application of modern computer methods to experiments,When measuring the material's thermal expansion coefficient, the thermal expansion coefficient of the material is calculated by measuring the distance between the diffraction stripes. However, there are significant errors in conventional methods, because of the limitation of the observation of diffraction stripes through human eyes. By improving the receiving device, the diffraction fringe is monitored in real time by using a CCD data acquisition system, which is not only easy to operate, but also reduces the coefficient of thermal expansion of the calculated material by computer programming, which is close to the real value. © Published under licence by IOP Publishing Ltd.","","8","Thermal expansion","Bridge decks - Composite materials - Computer systems programming - Data acquisition - Diffraction - Manufacture","Computer methods - Conventional methods - Data acquisition system - Human eye - Real time - Real values - Single slit diffraction - Thermal expansion coefficients","401.1 Bridges - 537.1 Heat Treatment Processes - 723.1 Computer Programming - 723.2 Data Processing and Image Processing - 951 Materials Science",,"Number: L201610158004, Acronym: -, Sponsor: -; ","This work was supported by the Undergraduate Innovation and Entrepreneurship Training Program under contract No (L201610158004).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design of Injection Mould for Ventilation Net Cover","20183505756654","Cai, Kaiwu (1) ","(1) Huali College Guangdong University of Technology, Guangzhou; 511325, China ","Cai, Kaiwu(171121932@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032001","032001","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","In some parts of ventilation net cover as the research object, the injection mold design of the parts, the general steps of injection mold design, product analysis, material selection, design calculation, parameter analysis and calculation, the characteristics of mold process, overall design, mold design, mold assembly drawing, part drawing, mold check etc. The practical production has proved that the mold work is stable, the actual production requirements are reached, and the production is carried out. The produced plastic parts are of good quality, it can be used as a reference for the design personnel of injection mold. © Published under licence by IOP Publishing Ltd.","","5","Molds","Bridge decks - Composite materials - Engineering research - Manufacture - Plastic parts - Product design","Assembly drawings - Design calculations - Injection-mold design - Material selection - Parameter analysis - Practical production - Product analysis - Production requirements","401.1 Bridges - 817.1 Polymer Products - 901.3 Engineering Research - 913.1 Production Engineering - 913.4 Manufacturing - 951 Materials Science",,"Number: 2017KQNCX254, Acronym: -, Sponsor: -; ","This project is supported by Foundation for The Youth Innovative general colleges and universities in 2017 (2017KQNCX254).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Crane Metal Structure Crack Monitoring Method","20183505756564","Xue, Feng (1); Xu, Zhouli (1); Weng, Feixiang (1) ","(1) Shanghai Maritime University, Logistics Engineering College, Shanghai; 200083, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032062","032062","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","It is well-known that metal cracking is a very bad thing. Its existence exacerbates the degree of damage of the instrument. We are not willing to see it. However, all large-scale heavy equipment has a certain degree of danger. For operators, there has been a lack of effective guidance methods for the monitoring of metal structure damage for a long time. The cranes involved in this article are even more bulky. If problems arise, they will not only endanger the life of the workers, but also cause some economic losses. Due to a variety of man-made uncontrollable and complicated factors, there are no concrete simple and feasible methods for engineering cracking of some metal cracks. Therefore, it is a very important topic to study the monitoring method of cracks in metal structures of cranes. In this paper, finite element analysis is used to monitor the cracks of metal structures to a certain extent. It is believed that the proposed method is applicable to the project implementation of crack monitoring. © Published under licence by IOP Publishing Ltd.","","16","Metals","Bridge decks - Composite materials - Cracks - Cranes - Losses - Manufacture - Monitoring","Crack monitoring - Degree of damages - Economic loss - Heavy equipment - Metal structures - Monitoring methods - Project implementation","401.1 Bridges - 537.1 Heat Treatment Processes - 693.1 Cranes - 911.2 Industrial Economics - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Output regulation of discrete-time nonlinear systems based on T-S fuzzy model","20084011616761","Chen, Cailian (1, 2); Ding, Zhengtao (2); Feng, Gang (3); Guan, Xinping (1, 4) ","(1) Institute of Electrical Engineering, Yanshan University, Qinhuangdao 066004, China (2) Control Systems Centre, School of Electrical and Electronic Engineering, University of Manchester, Manchester M60 1QD, United Kingdom (3) Department of Manufacturing Engineering and Engineering Management, City University of Hong Kong, Kowloon, Hong Kong (4) Department of Automation, School of Electronic, Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai 200030, China ","Chen, C.(clchen@ysu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","746-750","2008","Proceedings of the 27th Chinese Control Conference, CCC","","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605888","4605888","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The output regulation problem is discussed for a class of discrete-time nonlinear systems under periodic disturbances generated form the so-called exosystems. The system is represented by T-S fuzzy model. With the assumption that the subsystem in each fuzzy rule is of the controllable canonical form, the regulation equations are solvable if and only if the poles of the exosystem are different from those of the fuzzy system. By exploiting the structural information encoded in the fuzzy rules, a piecewise state-feedback and a piecewise error-feedback control laws are constructed to achieve asymptotic rejecting of the unwanted disturbances and/or tracking of the desired trajectories.","","15","Fuzzy inference","Feedback control - Fuzzy rules - Nonlinear systems - State feedback","Desired trajectories - Discrete-time nonlinear systems - Output regulation - Output regulation problem - Periodic disturbances - Piece-wise - Structural information - T-S fuzzy models","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 731.1 Control Systems - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of Different Treatment Methods on Seed Germination of Kiwifruit","20183505761365","Zhang, Yong (1); Zhang, Haoyue (1); Kong, Lingling (1); Tang, Haoru (1) ","(1) College of Horticulture, Sichuan Agricultural University, Chengdu; 611130, China ","Tang, Haoru(htang@sicau.edu.cn) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","2","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 1. Chemical Composed Materials and Biomaterials","","2 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/2/022034","022034","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","In order to break the dormancy of kiwifruit seed, accelerate the process of seed germination, to understan the effects of different treatment methods on the germination of kiwifruit seeds. Different treatment methods were set up in this study. The results showed that GA3 soaked for 18h can make seeds break the dormancy; when only the filter paper is placed on the petri dish, the germination rate is the highest: the most suitable disinfection time is 10min. After dark conditions, the seed germination rate was 73.3%, which was much higher than that under non-dark conditions. In certain range, the higher the concentration of GA3, the higher the germination rate of kiwifruit seeds. © Published under licence by IOP Publishing Ltd.","","13","Seed","Biomaterials - Bridge decks - Composite materials - Cultivation - Manufacture","Dark conditions - Different treatments - Filter papers - Germination rates - Kiwifruits - Petri dish - Seed germination","401.1 Bridges - 462.5 Biomaterials (including synthetics) - 537.1 Heat Treatment Processes - 821.3 Agricultural Methods - 821.4 Agricultural Products - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Review on Multi-scale Simulation Methods","20183505756641","Zhou, Xiaoxiang (1); Chen, Leilei (1) ","(1) Department of Civil Engineering, Santou University, Santou; 515063, China ","Zhou, Xiaoxiang(1551697721@qq.com) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032139","032139","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","It is by now widely recognized that not only natural but also synthetic materials are inherently of hierarchical, multi-scale character important properties and material responses can arise at a myriad of length scales ranging from atomic to microscopic to mesoscopic to macroscopic. In this article, several multi-scale research methods were introduced, focusing on the basic principles of some comparatively advanced ones. Then their advantages and disadvantages were discussed. Finally, the future development of this method was predicted. © Published under licence by IOP Publishing Ltd.","","19","Manufacture","Bridge decks - Composite materials","Basic principles - Length scale - Mesoscopics - Multi-scale - Multi-scale simulation method - Properties and materials - Synthetic materials","401.1 Bridges - 537.1 Heat Treatment Processes - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on mechanical precise positioning device based on PLC control","20183505756687","Zhang, Hongye (1); Zhang, Fengjia (1); Liu, Yongjun (1) ","(1) Qingdao University of Science and Technology, Qingdao; 266000, China ","","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","3","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 2. Engineering Materials and Manufacturing Engineering","","3 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/3/032034","032034","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","In large-scale automated production, the production process often requires the use of conveyor belts to smoothly transport the product to the appropriate location. However, during the entire transmission process, due to the long-term operation and wear of the machine, the condition of the conveyor belt is easily degraded, so that the required product cannot be accurately transported to the corresponding fixed position. In order to solve this problem, this paper uses the PLC which is often used in mechanical control to study the precise positioning of mechanical devices. Through the use of high-precision couplings, with the PLC electronic control part, optimize the structure of the precise positioning device. Practice has shown that the PLC-based mechanical precise positioning control device greatly improves positioning control accuracy and control stability than conventional devices. © Published under licence by IOP Publishing Ltd.","","14","Belt conveyors","Bridge decks - Composite materials - Control engineering - Manufacture - Programmable logic controllers - Stepping motors","Automated productions - Control stability - Electronic controls - Mechanical control - Mechanical device - Positioning control - Precise positioning - Production process","401.1 Bridges - 537.1 Heat Treatment Processes - 692.1 Conveyors - 705.3 Electric Motors - 732.1 Control Equipment - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Cadmium passivation by four Passivators: Isotherm adsorption, desorption and mechanisms","20183505753510","Zhu, Zhenhua (1); Pan, Xuejun (1); Peng, Zhenhua (1) ","(1) Kunming University of Science and Technology, Kunming; 650000, China ","Pan, Xuejun(xjpan@kmust.edu.cn) ","IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser. Mater. Sci. Eng.","","Institute of Physics Publishing","394","5","","August 8, 2018","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering - 4. Environmental Materials","","5 of 5","2018","English","17578981","1757899X","","","10.1088/1757-899X/394/5/052062","052062","2018 5th International Conference on Advanced Composite Materials and Manufacturing Engineering, ACMME 2018","June 16, 2018 - June 17, 2018","Xishuangbanna, Yunnan, China","138696","","Conference article (CA)","In order to select passivator that can effectively passivate bivalence cadmium (Cd2+) in combined soil, this study will firstly operate an outdoor research and preliminary experiment which have already selected steel slag, phosphate rock, palygorskite and charcoal as passivators. This paper will operate indoor isothermal experiments of adsorption and desorption, the specific surface area - pore radius distribution instrument to measure the phase composition, specific surface and the characteristics of pore radius of passivators. The main result shows that: (1) The results of indoor isothermal experiments of adsorption and desorption show that steel slag, palygorskite and phosphate rock all have a good adsorption of heavy metal ion bivalent cadmium; the adsorption isotherm is conforming to L equation and F equation. These four passivators' adsorption on Cd2+ tend to increase as the initial concentration increases. Under the condition of same initial concentration, these four passivators have different adsorption capacities on Cd2+. Under the condition of same equilibrium concentration, these four passivators' adsorptions on Cd2+ is steel slag phosphate rock≈palygorskite charcoal and under the condition of low concentration. (2) Experiments of adsorption and desorption show that steel slag has a relatively small desorption on heavy metal ion Cd2+, ground phosphate rock, charcoal and palygorskite have an increasing desorption on this heavy metal ion as the adsorptions increase. Specifically, when the adsorption reaches its peak, desorption on Cd2+ is charcoal palygorskite phosphate rock steel slag. After the comparisons we could find that among these four passivators, charcoal has a relatively huge desorption on Cd2+. (3) Among these four passivators, charcoal and palygorskite have relatively huge specific surfaces and pore volumes. The passivation mechanism of heavy metal is mainly physical adsorption and ion exchange adsorption. Though steel slag and phosphate rock have relatively smaller specific surfaces and pore volumes, they have higher pH values. The passivation mechanism of heavy metal is mainly chemical precipitation reaction. © 2018 Published under licence by IOP Publishing Ltd.","","26","Adsorption","Adsorption isotherms - Bridge decks - Charcoal - Composite materials - Desorption - Heavy metals - Ion exchange - Manufacture - Metal ions - Passivation - Phosphate deposits - Pollution - Precipitation (chemical) - Rocks - Slags","Adsorption and desorptions - Chemical precipitation - Equilibrium concentration - Ground phosphate rock - Initial concentration - Ion-exchange adsorption - Isothermal experiments - Pore radius distribution","401.1 Bridges - 505.1 Nonmetallic Mines - 524 Solid Fuels - 531 Metallurgy and Metallography - 531.1 Metallurgy - 537.1 Heat Treatment Processes - 539.2.1 Protection Methods - 802.2 Chemical Reactions - 802.3 Chemical Operations - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
