Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Derivation of dynamic model and simulation of guided munitions","20084011615850","","Liu, Zhiping (1); Yu, Fan (1) ","(1) College of Computer, Xi'an Technological University, Xi'an 710032, China ","Liu, Z.(lzp_leopard@sina.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","109-113","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4604936","4604936","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","In this paper, a six degree-of-freedom dynamic model of guided munitions is derived. On the assumption that it's a rigid body, the effects of wind are taken into consideration, both constant wind velocity and wind acceleration respectively. Compared with traditional models of guided munitions, the time change rates of angle of attack and angle of sideslip are explicitly expressed in this model. Uncontrolled simulation based on this model in the Matlab/Simulink environment is performed, the results show that this model is valid and practical.","7","MATLAB","Ammunition - Angle of attack - Degrees of freedom (mechanics) - Dynamic models - Wind","Dynamic model and simulation - Guided munitions - MATLAB/Simulink environment - Six degree-of-freedom - Six degrees of freedom - Traditional models - Uncontrolled simulation - Wind velocities","404.1 Military Engineering - 443.1 Atmospheric Properties - 651.1 Aerodynamics, General - 921 Mathematics - 931.1 Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A method for weakening the chattering of sliding mode controller","20084011616145","","Li, Yueming (1); Guo, Bingjie (1); Pang, Yongjie (1) ","(1) College of Shipbuilding Engineering, Harbin Engineering University, Harbin 150001, China ","Li, Y. ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","145-149","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605228","4605228","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","On the basis of approach-rate method, an assisted sliding surface was set, sliding region was defined, and equivalent control in sliding region was given. Sliding region was used to make the system get into sliding region in limited time and oscillate at low frequency near sliding region to take the place of high frequency oscillation at sliding region of traditional sliding mode controller. The chattering can be weakened in such way. The stability of system at sliding region was analyzed with stability theory. The advantage of sliding region method was introduced, compared with high-gain method and approach-rate method. Finally, the simulation experiments were done on the 'XX' autonomous underwater vehicle to validate this method.","10","Sliding mode control","Autonomous underwater vehicles - Controllers","Equivalent control - High frequency oscillations - Sliding mode controller - Sliding regions - Sliding surface - Stability theories - Underwater vehicles - Weakening chattering","731.1 Control Systems - 731.6 Robot Applications - 732.1 Control Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Simulation system of underwater vehicle using VC and Vega","20084011616140","","Zhang, He (1); Pang, Yongjie (1); Tang, Xudong (1); Qin, Zaibai (1) ","(1) College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China ","Zhang, H.(yihe0908@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","325-329","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605223","4605223","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Simulation System of Automatic Underwater Vehicle (AUV) is very important in the whole R&D (Research and Development) process because of the complexity and uncertainty of the real ocean environment. Accordingly, the six freedom motion simulation system is presented, which was established by Visual C++. Secondly, establishing AUV entity model in Multigen Creator and putting it into the vision simulation system that made by Vega. At last, combining two simulation systems into an integrity one. The integrity simulation system performed well in test.","6","Autonomous underwater vehicles","Control engineering","Motion simulation system - Ocean environment - Research and development - Simulation systems - Underwater vehicles - Vega - Vision simulation - Visual C","672.2 Noncombat Naval Vessels",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Performance assessment of the output probability density function control system","20084011616001","","Zhang, Jinfang (1); Zhang, Jianhua (1); Hou, Guolian (1) ","(1) Automation Department, North China Electric Power University, Beijing 102206, China ","Zhang, J.(jfzhang@ncepu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","759-763","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605052","4605052","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A performance assessment criteria is put forward for the performance assessment of the output probability density function (PDF) control of the bounded stochastic system. The model of the output PDF is set up firstly, then the controller is designed to make the output PDF to trace the given shape so as to make the system to be a closed-loop one. The operating data of the closed-loop system are used to assess the control performance with the performance assessment criteria. Both the modeling, controller design and the performance assessment of the output PDF are applied to the simulation study of the output molecular weight distribution (MWD) control in a polymerization process.","22","Probability density function","Closed loop systems - Controllers - Models - Molecular weight distribution - Probability distributions - Stochastic control systems - Stochastic systems","Control performance - Controller designs - Output probability density function controls (PDF) - Performance assessment - Polymerization process - Probability density function (pdf) - Simulation - Simulation studies","731.1 Control Systems - 732.1 Control Equipment - 922.1 Probability Theory - 931.3 Atomic and Molecular Physics - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"RobSim: A multi mobile robot simulation system","20084011616693","","Chaoliang, Zhong (1); Shirong, Liu (1); Qiang, Lv (1) ","(1) Research Institute of Automation, Hangzhou Dianzi University, Hangzhou, Zhejiang 310018, China ","Chaoliang, Z.(cpenet@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","481-485","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605803","4605803","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper describes a distributed multi-robot simulation system, named RobSim. RobSim is naturally organized into a set of plug-in modules, such as motion module, sensors module, communication module and map module, etc. It can be extended and combined easily by plunging-in new modules. RobSim is capable of simulating various types of sensors and which can be used for testing robot navigation, planning, multi-robot collaboration or network control, etc. A demonstration application has been developed to validate the RobSim's effectiveness and practicality.","7","Robot programming","Distributed parameter control systems - Industrial robots - Multipurpose robots","Communication modules - Demonstration application - Distributed control - Multi mobile robot - Multi-robot collaboration - Multi-robot systems - Robot navigation - Simulation","731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Optimal synchronizability of complex dynamical networks","20084011616459","","Kun, Dai (1); Xiaofan, Wang (1) ","(1) Department of Automation, Shanghai Jiao Tong University, Shanghai 200240, China ","Kun, D.(kdai@sjtu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","338-342","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605643","4605643","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","In this paper, we propose an eigenvector criterion for achieving optimal synchronizability in a dynamical network. Two synchronization-optimal small-world (SOSW) models are generated by adding or rewiring edges from a nearest-neighbor coupled regular network according to the eigenvector criterion. We find that networks having very similar topology characteristics may have different synchronizability which reveals the complexity of the relationship between synchronizability and structure topologies of complex networks.","27","Eigenvalues and eigenfunctions","Small-world networks - Topology","Complex dynamical networks - Dynamical networks - Nearest neighbors - Regular networks - Structure topology - Synchronizability - Synchronization-optimal - Topology characteristics","722 Computer Systems and Equipment - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A switched system approach to networked control systems with time-varying delays","20084011616130","","Zhang, Wen'an (1); Yu, Li (1); Song, Hongbo (1) ","(1) Department of Automation, Zhejiang University of Technology, Hangzhou 310032, China ","Zhang, W. ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","424-427","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605213","4605213","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The stabilization problem is studied for the networked control systems with time-varying delay that is smaller than one sampling period. State feedback controllers are considered and a new switched system model is proposed to describe the resulting closed-loop NCS as a discrete-time switched system. Criteria of exponential stability for the closed-loop NCS and design procedures for the stabilizing controllers are presented by using the average dwell time method. An illustrative example is given to show the effectiveness of the proposed method.","11","Networked control systems","Controllers - Multivariable control systems - Stability criteria - State feedback - Time delay - Time varying control systems - Time varying networks","Average dwell time - Design procedure - Discrete-time switched system - Stabilization problems - Stabilizing controllers - State feedback controller - Switched system - Time varying- delays","703.1 Electric Networks - 713 Electronic Circuits - 731.1 Control Systems - 732.1 Control Equipment - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis and quenching of limit cycles of electro-hydraulic servovalve control systems with friction and interval transport lag","20084011615895","","Wang, Yuanjay (1); Huang, Jianxie (1); Zhang, Yazhu (1); Zhuang, Fengkun (1) ","(1) Department of Electrical Engineering, Tung Nan University, Peishen Rd., Shenkeng Township, Taipei, 222, Taiwan ","Wang, Y.(yuanjaywang@mail.tnu.edu.tw) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","212-216","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4604902","4604902","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A systematic and straightforward methodology to analyze and quench the friction-induced limit cycle conditions in electro-hydraulic servovalve control systems with interval transport lag is developed in mis paper. The nonlinearity is linearized by its corresponding describing function. The delay time in transmission line is considered. The stability-equation method accompanied with parameter plane method provides a useful tool for the establishment of necessary conditions to sustain a limit cycle in the constructed limit cycle surface. The portrayed surface characterizes clear relationship among limit cycle amplitude, frequency, transport delay, and the controller coefficients to be designed. The asymptotic stability region, the unstable region, and the limit cycle region are identified in the parameter plane. The variation of the transport lag which could accelerate the generation of limit cycles is investigated. A feasible stable region is characterized in the parameter plane to allow flexible choice of controller gains. The quenching of limit cycle is achieved by selecting controller gains from the asymptotic stability region. It is seen that the friction-induced limit cycles can be effectively quenched via the tuning of the controller gains.","14","Controllers","Asymptotic stability - Control system analysis - Flight control systems - Friction - Nonlinear control systems - Quenching","Controller coefficient - Electro-hydraulics - Limit-cycle - Parameter plane - Stability equations - Transport delay - Transport lag - Unstable regions","537.1 Heat Treatment Processes - 731.1 Control Systems - 732.1 Control Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On the traffic control method for congested urban road based on synergetics theory","20084011616535","","Wang, Yuan (1); Yang, Zhaosheng (1); Guan, Qing (1) ","(1) ITS Research and Development Center, Jilin University, Changchun 130022, China ","Wang, Y.(sophiawy2003@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","576-580","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605639","4605639","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Traffic congestion of urban cities are becoming more and more serious. Dealing with congestion is becoming more and more indispensable. Firstly, this paper summarizes the research all over the world. After that, a traffic control method based on synergetics theory is proposed. Architecture, strategies and models are proposed. At last, a simulation based on VISSIM 4.2 using this method is done to evaluate its effect and validity. The results prove that this method is useful and better than traditional method.","8","Traffic congestion","Control engineering - Traffic control","Congestion - Synergetics theory - Urban cities - Urban road","431.5 Air Navigation and Traffic Control - 901.3 Engineering Research",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Voltage-control of centrifugal permanent-magnet generating set on vehicle","20084011616282","","Zhang, Xueyi (1); Shi, Liwei (1) ","(1) Vehicle Engineering Department, Shandong University of Technology, Shandong 255091, China ","Zhang, X. ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","90-93","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605371","4605371","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Several couples of permanent magnet material are alternately fixed on the inside surface of the centrifugal rotor with nonmagnetic bolts. Adjoined permanent magnet material's polarity is opposite. And N poles and S poles are side by side. When the rotor turns, the magnet field turns and the set generates electricity. With the permanent magnet material of high remnant magnetic induction and the optimized design of the generating set, the output voltage is improved at the low rotate speed. A parallel regulator with the function of zero current blockades is designed. So the output voltage is stabilized when the rotate speed is high. It solves the vehicle's problem of keeping the voltage steady on varied speed and load.","10","Permanent magnets","Centrifugation - Magnetic polarity - Voltage control","Generating set - Nonmagnetics - Optimized designs - Output voltages - Parallel regulators - Permanent magnet materials - Side by sides - Zero currents","701.2 Magnetism: Basic Concepts and Phenomena - 704.1 Electric Components - 731.3 Specific Variables Control - 802.3 Chemical Operations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Fast quality assessment of face images for face recognition","20084011616236","","Yang, Fei (1); Su, Jianbo (1); Dai, Jingwen (1) ","(1) Department of Automation, Shanghai Jiao Tong University, Shanghai 200240, China ","Yang, F.(yangfei@sjtu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","531-535","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605323","4605323","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The captured face images are of all kinds of quality in a face recognition system, some poor quality images, for example blurry images, could degrade the performance of the face recognition system. It is obliged to assess the quality of the acquired images in order to eliminate the bad effects result from poor quality images. The current techniques of image quality assessment are not suitable for the quality assessment of face images. This paper analyzes the characters of face recognition and then proposes a quantitative clarity assessment method in detail. The experimental results show that the proposed method can assess the quality of the face images accurately and quickly. The method manages to satisfy the real-time requirement and can be adopted as a preprocessing step in the automatic face recognition system conveniently.","13","Face recognition","Image quality","Automatic face recognition systems - Cepstrum - Clarity - Face recognition systems - Image quality assessment - Pre-processing step - Quality assessment - Real time requirement","716 Telecommunication; Radar, Radio and Television - 741 Light, Optics and Optical Devices",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Identifying the two sub-systems of macroeconomic fluctuations","20084011616061","","Gu, Yan (1); Guo, Lu (1) ","(1) School of Economics, Renmin University of China, Beijing 100872, China ","Gu, Y.(guyan@ruc.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","763-767","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605139","4605139","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper considers macroeconomic fluctuations as a system combining two sub-systems. One is demand shock and the other is supply shock. By virtue of wavelet denoising techniques, the authors identify demand shock as a Gaussian white noise from the series of real gross domestic production. Then supply shock is obtained by the cycle component from the Hodrick-Prescott filter minus demand shock. Thus demand and supply shocks identified can be featured as containing factors with transitory and permanent effects on economy, respectively. The identifying procedure is helpful for policy makers to judge whether the macroeconomic system is over-heating, as well as to take proper measures in order to regulate and control the demand shock.","30","White noise","Decomposition - Wavelet decomposition","Demand and supply - Gaussian white noise - Gross domestic productions - Hodrick-prescott filters - Macroeconomic fluctuations - Policy makers - Wavelet de-noising techniques - Wavelet denoising","802.2 Chemical Reactions - 921.3 Mathematical Transformations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis and application of quality management decision support system","20084011616479","","Li, Yibing (1); Guo, Shunsheng (1); Dong, Chengliang (1) ","(1) Coll. of Mech., Wuhan University of Technology, Hubei 430070, China ","Li, Y.(ahlyb@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","394-398","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605505","4605505","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The 21th century is a quality century. How to provide the high quality production for achieving the satisfaction of customers is the target of any enterprise. Along with the advancement of science and technology, the continuous improvement in quality has been made possible by the use of computer technology and advanced quality theory. The structure of quality management system is discussed in this paper, and how to scientifically and precisely manage and analyze the production quality is also discussed in this paper. This paper also gives the functional modules of quality management decision support system under the environment of CIM. Meanwhile, this paper studies statistical process control (SPC) technology and implements the combination of SPC and ERP according to an enterprise practice. Finally, this paper gives an example to illustrate by using C++ Builder6.0 program and SQL Server2000 database. And this system realizes the reasonable, effective and methodic management of quality data in favor of the statistical analysis of quality data.","24","Statistical process control","Artificial intelligence - C++ (programming language) - Computer software - Customer satisfaction - Decision making - Decision support systems - Enterprise resource planning - Information management - Quality control - Quality management","Computer technology - Continuous improvements - Decision supports - Management decisions - Management of qualities - Quality management systems - Science and Technology - Statistical process controls (SPC)","723 Computer Software, Data Handling and Applications - 731.1 Control Systems - 912.2 Management - 913.3 Quality Assurance and Control",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On a manipulator for xylophone-playing","20084011616166","","Tingjun, Wang (1); Ye, Wang (1); Jian, Wang (1) ","(1) School of Mechanical Engineering, Shanghai Dianji University, Shanghai 200245, China ","Tingjun, W.(wtingjun@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","243-247","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605250","4605250","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A xylophone-playing manipulator with control of two mallets is presented based on requires of playing xylophone. It consists of left mallet-driving device, right mallet-driving device and control system. Every mallet-driving device consists of a mallet-moving unit and a mallet-beating unit. By means of four servo motors being controlled respectively and encoders being used to detect positions of servo motors, the manipulator fulfills control movements of two mallets. Mallet-moving unit uses single linear motion guideway and slide seat dragging by synchronistic belt. Some performance parameters are analyzed and some factors effect on motion accuracy of the manipulator discussed. The mallet lies at an angle of 75 degrees with the linear guideway on the horizontal plane, and at an angle of 28 degrees with the linear guideway in the vertical plane. Control system and motion controller have also been introduced. It adopts host computer and slave computer control mode. Motion controller uses DSP as control chip and encoders for displacement detecting sensors. The results show that the xylophone-playing manipulator may preferably imitate two hands to play xylophone. It can play some music under the control of music programs in host computer. Synchronistic belt transmission and servo control system for position and velocity ensure accurate movement positioning. The linear motion guideway with ball bearing ensures high orientation precision and good anti-vibratility. DSP chip ensures the real time and rapid movements of a slide seat. The xylophone-playing manipulator has simple structure, agile motion and accurate playing positioning. Mallet-moving movement is quiet and smooth.","21","Controllers","Aircraft seats - Control systems - Guideways - Hammers - Manipulators - Motion control - Signal encoding","Belt transmissions - Detecting sensors - Mallet-beating unit - Mallet-moving unit - Motion controller - Performance parameters - Servo control systems - Simple structures","605.2 Small Tools, Unpowered - 652.3 Aircraft Instruments and Equipment - 716.1 Information Theory and Signal Processing - 731.1 Control Systems - 731.3 Specific Variables Control - 732.1 Control Equipment",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Synthesizing robust constrained model predictive controller based on parameter-dependent Lyapunov function","20084011616220","","Zheng, Pengyuan (1); Xi, Yugeng (1); Li, Dewei (1) ","(1) Institute of automation, Shanghai Jiao Tong University, Shanghai 200240, China ","Zheng, P.(pyzheng@sjtu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","712-717","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605306","4605306","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","An improved method of synthesizing constrained robust model predictive controller for systems with polytopic description is proposed. It off-line adopts parameter-dependent Lyapunov function reducing the conservativeness corresponding to unique Lyapunov function and constructs invariant sets guaranteeing the optimal performance cost for the worst-case, and on-line solves the min-max optimization problem with infinite horizon performance cost. Consequently, the initial feasible region could be enlarged and better performance is also achieved adopting the time varying terminal constraint set. The effectiveness of the proposed approach is verified by simulation examples.","12","Model predictive control","Controllers - Linear matrix inequalities - Lyapunov functions - Robust control","Constrained models - Invariant set - Min-max optimization - Optimal performance - Parameter dependent Lyapunov function - Polytopic description - Robust model predictive control - Time-varying terminal constraint set","731 Automatic Control Principles and Applications - 732.1 Control Equipment - 921 Mathematics - 921.1 Algebra",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Grey bilevel linear programming's particle swarm optimization algorithm","20084011616529","","Junliang, Li (1); Xinping, Xiao (1); Shuhua, Mao (1) ","(1) School of Science, Wuhan University of Technology, Wuhan 430063, China ","Junliang, L.(lijunliang01@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","567-572","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","","9787900719706","10.1109/CHICC.2008.4605552","4605552","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Grey bilevel linear programming (GBLP) is a generalization of the basic bilevel linear programming. In this paper the positioned intervals and a new method of calculating the pleased degree are put forward. This paper analyzes the basic properties of GBLP and introduces the particle swarm optimization algorithm (PSO) to solve GBLP. According to the properties of GBLP and PSO, we improve the methods of the particle population's initialization and the fitness value's calculation. An initial judgment of the GBLP's solutions is made. Finally one example shows that PSO can effectively solve GBLP.","22","Particle swarm optimization (PSO)","Linear programming","Bilevel linear programming - Fitness values - Particle population - Particle swarm optimization algorithm - Pleased degree - Positioned interval","723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A self-adaptive spectral clustering algorithm","20084011616516","","Cai, Xiaoyan (1); Dai, Guanzhong (1); Yang, Libin (1); Zhang, Guoqing (1) ","(1) School of Automatic Control, Northwestern Polytechnical University, Xi'an 710072, China ","Cai, X.(caixiaoyan1982@hotmail.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","551-553","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","","9787900719706","10.1109/CHICC.2008.4605517","4605517","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Most existing algorithms on spectral clustering are not able to determine the number of clusters. In this paper, we prove theoretically that the eigenvectors of the affinity matrix can be used directly to cluster the data points. And we suggest exploiting the structure of the eigenvectors to infer automatically the number of clusters. As a result, a self-adaptive spectral clustering algorithm based on affinity matrix is proposed. The experimental results on the UCI data sets show that the algorithm is more effective than previous algorithms.","16","Clustering algorithms","Eigenvalues and eigenfunctions - Matrix algebra","Affinity matrix - Data points - Number of clusters - Number of the clusters - Self-adaptive - Spectral clustering - Spectral clustering algorithms","903.1 Information Sources and Analysis - 921.1 Algebra",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
