Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"The significance of analyzing the soil above the Gejiu copper deposits, Yunnan with near infrared spectral","20134316893791","","Wu, Zheng-Quan (1, 2); Cao, Jian-Jin (1, 2); Wei, Xiao-Jun (1); Ke, Hong-Ling (1); Liu, Chang (1) ","(1) Department of Earth Sciences, Sun Yat-Sen University, Guangzhou 510275, China (2) Guangdong Key Laboratory of Geological Process and Mineral Resources Exploration, Guangzhou 510275, China ","Cao, J.-J.(eescjj@mail.sysu.edu.cn) ","Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","Guang Pu Xue Yu Guang Pu Fen Xi","","Science Press, 18,Shuangqing Street,Haidian, Beijing, 100085, China","33","10","2666-2670","October 2013","","","2013","Chinese","10000593","","","10.3964/j.issn.1000-0593(2013)10-2666-05","","","","","","GYGFED","Journal article (JA)","The authros collected the soil samples uniformly above the target ore district and analyzed them with the near infrared spectrum. The results show that the NIR could identify the minerals in the soil well, including the combination of altered minerals roughly. Contrasting these mineral combination with the characteristics of orebody, we found that there was a certain degree of correlation between the soil and the concealed orebody, especially the altered minerals which was consistent with the altered conditions of this deposit. Therefore, we thought that any mineral composition of soil could be used to indicate some information from deep orebody and provide some basis for finding this type of copper. In addition, we also thought that the NIR information contained in the soil above the oreboday could serve as an effective research method inproviding some basis for prospecting. And we can use it for other deposits, especially for the deeply concealed orebody and some regions with a fragile geological environment.","","24","Soils","Copper deposits - Deposits - Infrared devices - Minerals - Near infrared spectroscopy","Degree of correlations - Geological environment - Mineral composition - Near infrared spectra - Near infrared spectral - Ore-forming - Surface soil - Tin-copper","741.3 Optical Devices and Systems - 617 Turbines and Steam Turbines - 612 Engines - 544.1 Copper - 532 Metallurgical Furnaces - 483.1 Soils and Soil Mechanics - 482.2 Minerals",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The metallogenic environment of the Dounan manganese deposit, Southeast Yunnan, China: evidence from geochemistry and Mössbauer spectroscopic","20184506039761","","Duan, Jianbing (1, 3); Fu, Yazhou (1); Zhang, Zhengwei (1); Ma, Xiangxian (2); Xiao, Jiafei (1) ","(1) State Key Laboratory of Ore Deposit Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang; 550081, China (2) Key Laboratory of Petroleum Resources, Gansu Province; Key Laboratory of Petroleum Resources Research, Institute of Geology and Geophysics, Chinese Academy of Sciences, Lanzhou; 730000, China (3) University of Chinese Academy of Sciences, Beijing; 101408, China ","Fu, Yazhou(fuyazhou@mail.gyig.ac.cn) ","Acta Geochimica","Acta Geochim.","","Science Press","38","1","78-94","February 7, 2019","","","2019","English","20960956","23657499","","10.1007/s11631-018-0301-8","","","","","","","Journal article (JA)","The Dounan manganese deposit is a typical large-scale marine sedimentary manganese deposit of the Middle Triassic in China. The metallogenic environment and change process directly dictate the migration, enrichment, and precipitation of Mn. To better understand its metallogenetic environment, a detailed study was undertaken involving field observation, mineralogical and geochemical and Mössbauer spectroscopic analyses. The major findings are as follows: (1) Lithofacies paleogeography, sedimentary structural characteristics, and geochemical indexes indicate that the deposits were formed in an epicontinental marine sedimentary basin environment of normal salinity; (2) there were three ore phases including Mn oxides, Mn carbonates, and mixed Mn ores. The ore minerals found were braunite, manganite, Ca-rhodochrosite, manganocalcite, and kutnahorite. Petrographic and mineralogical information indicates that the metallogenic environment was a weakly alkaline and weakly oxidized to weakly reduced environment, and the mineralization occurred near the redox interface; (3) the V/(V + Ni) ratios, δCe and Fe2+/Fe3+ found in profiles of Baigu and Gake ore sections show that the redox conditions of the ore-forming environment were continuously changing; and (4) three Fe species, α-Fe2O3, para-Fe3+, and para-Fe2+, were found in hematite and clay mineral samples using Mössbauer spectrum analysis. The presence and distribution of these Fe species indicate that the deposit was formed in a typical sedimentary environment during the mineralization process. In summary, our study showed that redox was a key factor controlling the mineralization of the Dounan manganese deposit. Our results have led us to the conclusion that transgression and regression caused fluctuations in sea level, which in turn caused the change of the redox environment. Mössbauer spectroscopy is an effective tool for studying the redox conditions of the paleoenvironment in which sedimentary manganese deposits were formed. © 2018, Science Press, Institute of Geochemistry, CAS and Springer-Verlag GmbH Germany, part of Springer Nature.","","51","Ores","Deposits - Geochemistry - Hematite - Iron - Manganese deposits - Manganites - Mineralogy - Ore analysis - Sea level - Sedimentology - Spectroscopic analysis - Spectrum analysis","Field observations - Marine sedimentary basin - Metallogenetic environment - Mineralization process - Sedimentary environment - Ssbauer spectroscopies - Structural characteristics - Transgression and regression",,,"Number: SKLODG-ZY125-08, Acronym: -, Sponsor: Chinese Academy of Sciences; Number: 41376080, Acronym: -, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: -, Sponsor: State Key Laboratory of Environmental Geochemistry; Number: -, Acronym: -, Sponsor: National Natural Science Foundation of China; ","Acknowledgements The authors are grateful to Engineer Li Chao (Yunnan Wenshan Dounan Manganese Industry Co., Ltd.) for his help toward collecting field geological samples, and Professor Zheng Guodong (Key Laboratory of Petroleum Resources Research, Institute of Geology and Geophysics, Chinese Academy of Sciences) for testing and analyzing these samples. This research was financially supported by the Natural Science Foundation of China (NSFC No. 41376080) and the 12th Five-Year Plan project of the State Key Laboratory of Ore-deposit Geochemistry, Chinese Academy of Sciences (SKLODG-ZY125-08).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The origins of the Mengye potash deposit in the Lanping-Simao Basin, Yunnan Province, Western China","20152200888300","","Li, Minghui (1, 2); Yan, Maodu (1, 3); Wang, Zhengrong (4); Liu, Xiaoming (1, 3); Fang, Xiaomin (1, 3); Li, Jiao (1, 5) ","(1) Institute of Tibetan Plateau Research, Chinese Academy of Sciences (CAS), Beijing; 100085, China (2) Key Laboratory of Tibetan Environment Changes and Land Surface Processes, CAS, Beijing; 100085, China (3) Key Laboratory of Continental Collision and Plateau Uplift, CAS, Beijing; 100085, China (4) Department of Earth and Atmospheric Sciences, City College of New York, CUNY, New York; NY; 10031, United States (5) University of Chinese Academy of Sciences, Beijing; 100049, China ","Li, Minghui(liminghui@itpcas.ac.cn) ","Ore Geology Reviews","Ore Geol. Rev.","","Elsevier B.V.","69","","174-186","September 1, 2015","","","2015","English","01691368","","","10.1016/j.oregeorev.2015.02.003","","","","","","","Journal article (JA)","The Lanping-Simao Basin (LSB) is a Mesozoic-Cenozoic continental margin rift basin in Western China. It formed during the opening and closing of the Tethys Ocean. This basin is also known as a 'metal belt' as it hosts several metal deposits, besides, the Mengye potash deposit. However, the exact dates of the formation either in the Paleocene or the Cretaceous, and thus the origins of the marine, continental or mixed origins of the Mengye deposits, remain disputed. Based on the basin's evolution, materials of marine origin and/or remnant seawater should be present, but instead the salt layers of the Mengye potash deposit present typically continental lithological features. This study examines and reviews evaporative minerals, Br/Cl and I/Cl molar ratios, and isotopes of S, B, and Sr.I and I/Cl data for this area has not been previously reported. The basin's evaporative minerals are dominated by halite and sylvite. The amounts of anhydrite, chlorocalcite, langbeinite, glaserite, tachyhydrite and glauberite are small. All of these form in both marine and continental environments. The values of I and the I/Cl molar ratios of halite and sylvite are from 0.07 to 0.27ppm, and from 0.03 to 0.11×10-6, respectively, dependent on organic substances. Br and molar Br/Cl values are from 89.08 to 555.45ppm and from 0.06×10-3to 0.38×10-3, respectively. All of the Br/Cl molar ratios are lower than those of seawater, and most of them are 34S, δ11B and87Sr/86Sr values for evaporative minerals indicate a continental origin for the Mengye potash deposit. However, materials of hydrothermal origin are widely distributed in the basin and may have played an active role for the formation of the potash deposit. Thus the Mengye potash deposit could be of continental origin, with a remnant seawater trace. © 2015 Elsevier B.V.","","111","Deposits","Chloride minerals - Isotopes - Lithology - Potash - Potash deposits - Potassium chloride - Seawater - Sodium chloride","Boron isotopes - Continental environments - Continental margin - Continental origin - Lithological features - Organic substances - Strontium isotopes - Sulfur isotope","471.4 Seawater, Tides and Waves - 481.1 Geology - 482.2 Minerals - 505.1 Nonmetallic Mines - 804.2 Inorganic Compounds",,"Number: XDB03020400, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: 2013CB956401, Acronym: -, Sponsor: -; Number: 2011CB403006, Acronym: -, Sponsor: -; Number: 41271100, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This study was supported by the National Basic Research Program of China ( 2011CB403006 ; 2013CB956401 ), the "Strategic Priority Research Program" of the Chinese Academy of Sciences ( XDB03020400 ), and the National Natural Science Foundation of China ( 41271100 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Petrological and rock chemical characteristics of ore-bearing rock of Xinshan Area in Kafang, Gejiu, Yunnan","20122315085058","","Zhao, Jingjing (1, 2, 3); Fang, Weixuan (1, 2, 3); Ma, Mingjia (4); Guo, Yuqian (1, 2, 3) ","(1) Sinotech Minerals Exploration Co., Ltd., Beijing 100012, China (2) Beijing Technology Center of Resource Exploration, China Non-Ferrous Metals Resource Geological Survey, Beijing 100012, China (3) Kunming Sinotech Minerals Exploration Co., Ltd., Kunming, 650224, China (4) Kunming University of Science and Technology, Kunming, 650093, China ","Zhao, J.(zjj_983@hotmail.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","524-527","","166-179","2012","Natural Resources and Sustainable Development II","","2012","English","10226680","","9783037854174","10.4028/www.scientific.net/AMR.524-527.166","","1st International Conference on Energy and Environmental Protection, ICEEP 2012","June 23, 2012 - June 24, 2012","Hohhot, China","89966","","Conference article (CA)","The paper studies on the geochemical characteristics of major element, trace element and REE of granite, marble and skarn in Xinshan Area in Kafang. The studies have shown that the granite in Xinshan Area is high-potassium calc-alkalic granite. The distribution plots of REE in different lithological rocks have obvious differences, but all three different lithological rocks have the characteristic of LREE enrichment. The ratio of LREE to HREE of Marble and skarn is larger, while that ratio of granite is smaller. The variation of LREE and HREE of Skarn is large, indicating that REE occurs significantly different in the migration process and the extent of wall rock material exchange. © (2012) Trans Tech Publications.","","20","Rocks","Geochemistry - Granite - Lithology - Marble - Potassium - Rare earth elements","Chemical characteristic - Gejiu - Geochemical characteristic - Major elements - Migration process - Rock materials - Xinshan","414 Masonry Materials - 481.1 Geology - 481.2 Geochemistry - 547.2 Rare Earth Metals - 549.1 Alkali Metals",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Palaeophytochemical constituents from the miocene-fossil wood of Picea likiangensis in Xun-dian of Yunnan, China","20083611518536","","Zhao, You-Xing ; Luo, Jian-Rong ; Li, Cheng-Sen ; Yi, Tie-Mei ; Zhou, Jun ","(1) State Key Laboratory of Phytochemistry and Plant Resources in West China, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming 650204, China (2) Department of Pharmacology, Dali University, Dali 671000, China (3) Institute of Botany, Chinese Academy of Sciences, Beijing 100093, China ","Zhao, Y.-X. ","Bulletin of the Korean Chemical Society","Bull. Korean Chem. Soc.","","Korean Chemical Society, Seoul, 135-703, South Korea","29","8","1613-1616","Aug 20 2008","","","2008","English","02532964","12295949","","10.5012/bkcs.2008.29.8.1613","","","","","","BKCSDE","Journal article (JA)","No abstract available","","24",,,,,,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Exploring the reason for the dynamic problem of earthquake swarm in the Simao-Puer Region, southwest Yunnan","20174804461213","","Li, Tieming (1); Bai, Yuzhu (1); Shao, Desheng (2); Chen, Gang (3) ","(1) Key Laboratory of Active Fault and Volcano, Insititue of Geology, China Earthquake Administration, Beijing, China (2) Earthquake Administration of Yunnan Province, Kunming, China (3) China University of Geoscience, Wuhan, China ","","Risk Analysis and Management - Trends, Challenges and Emerging Issues - Proceedings of the 6th International Conference on Risk Analysis and Crisis Response, RACR 2017","Risk Anal. Manag. - Trends Chall. Emerg. Issues - Proc. Int. Conf. Risk Anal. Crisis Response","","CRC Press/Balkem","","","73-79","2017","Risk Analysis and Management - Trends, Challenges and Emerging Issues - Proceedings of the 6th International Conference on Risk Analysis and Crisis Response, RACR 2017","1 of 1","2017","English","","","9781138033597","","","6th International Conference on Risk Analysis and Crisis Response, RACR 2017","June 5, 2017 - June 9, 2017","Ostrava, Prague, Czech republic","191349","","Conference article (CA)","There is a special structure combination and the concentration of a strong earthquake in the Simao-Puer block. The geological phenomena of motion and deformation caused by the motion of the active fault and the sub-block have attracted the attention of researchers in this field. Based on past research achievements, we constructed the 3-dimension finite element model of Simao-Puer region containing the active fault. Applying the velocity of block per year measured by GPS data and the researches on geology and geomorphology as the boundary conditions of the finite element model, we then computed the spatial distribution of deformation in the Simao-Puer region and simulated the deformation displacement along the NEE and NNW direction. Lastly, we analyzed the characteristic of the horizontal and vertical displacement field in the Simao-Puer region. The numerical result shows that extension motion of the southeastern margin of the Tibetan Plateau makes the movement of slump due to gravity. In the research area, the motion of fault with NEE strike draws the fault having NNW strike to move in a conjugate direction. The vertical deformation caused by the uplifting movement is consistent with the result of 60 years of larger regional standard measure and the deformation along the NNW direction distributed irregularly, which is possibly made by regional stress accumulation and readjustment after the earthquake. The deformation field along the NEE direction is larger in the west of Simao-Puer region than in the eastern part, especially the northwest part of the region corresponding to the 6.6 Jinggu earthquake that occurred recently. Lastly, we preliminarily analyzed the dynamic problems in the research area. © 2017 Taylor & Francis Group, London.","","18","Finite element method","Deformation - Earthquakes - Faulting - Risk analysis - Risk assessment","Conjugate directions - Deformation displacements - Horizontal and vertical displacement - Motion and deformations - Research achievements - Stress accumulation - Strong earthquakes - Vertical deformation","484 Seismology - 484.1 Earthquake Measurements and Analysis - 914.1 Accidents and Accident Prevention - 921.6 Numerical Methods - 922 Statistical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Deep-seated structure and metallogenic dynamics of the Ailaoshan polymetallic mineralization concentration area, Yunnan Province, China","20100712707283","","Ge, LiangSheng (1, 2); Deng, Jun (3); Guo, XiaoDong (2); Zou, YiLin (2); Liu, YinChun (2) ","(1) Institute of Geology, Chinese Academy of Geological Sciences, Beijing 100037, China (2) Gold Geological Institute of China Armed Police Force, Langfang 065000, China (3) State Key Laboratory of Geological Process and Mineral Resources, China University of Geosciences, Beijing 100083, China ","Ge, L.(geliangsheng@yahoo.com.cn) ","Science in China, Series D: Earth Sciences","Sci. China Ser. D Earth Sci.","","Science in China Press","52","10","1624-1640","October 2009","","","2009","English","10069313","18622801","","10.1007/s11430-009-0136-6","","","","","","","Journal article (JA)","The Ailaoshan poly-metallic mineralization concentrated area (MCA) consists of the well known Ailaoshan metallogenic belt and adjacent mineral districts and/or deposits. Located in an area of several complex and intersecting tectonic units, the Ailaoshan poly-metallic MCA is controlled by deep crustal and mantle tectonism. Through interpretation of remote sensing images, we identified a largering structure system that surrounds the MCA. This ring structure encloses regional deep-crustal faults, ductile shear zones, geothermal anomalies, magmatic rocks, and the major mineral deposits, all of which are the reflections of deep tectonic geodynamics that have been long active in this area. Geophysical data indicate that the crust is comprised of relatively stable two or three layers, with some irregular lower-velocity belts. The Moho in the ring sutures occurs as an area of local uplift. There exists an obvious transitional zone between the crust and mantle boundaries. Asthenopheric mantle shows multi-layer upwelling, which indicates multiple events during different geological epochs. It is believed that these mantle events or pulses were responsible for the formation of the regional shear zones, magmatic rocks, and polymetallic orebodies. Furthermore, an integrated metallogenic dynamics model related to the asthenopheric upwelling pulses in the MCA is established, defining events as old as Late Paleozoic. © 2009 Science in China Press and Springer Berlin Heidelberg.","","96","Mineralogy","Deposits - Geodynamics - Metals - Minerals - Ore deposits - Remote sensing - Tectonics","Ailaoshan - Asthenophere upwelling - Low velocities - Polymetallic - Pulsing - Ring structures","481.1 Geology - 481.3 Geophysics - 482 Mineralogy - 482.2 Minerals",,"Number: 2006BAB01B10, Acronym: -, Sponsor: -; Number: 2009CB421000, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); ","Received September 21, 2008; January 22, 2009 doi: 10.1007/s11430-009-0136-6 &dagger;Corresponding author (email: geliangsheng@yahoo.com.cn) Supported by National Key Technology R & D Program (Grant No. 2006BAB01B10) and National Basic Research Program of China (Grant No. 2009CB421000)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Integrative management of commercialized wild mushroom: A case study of Thelephora ganbajun in Yunnan, Southwest China","20112614090437","","He, Jun (1, 2, 3); Zhou, Zhimei (4); Yang, Huixian (4); Xu, Jianchu (1, 2) ","(1) Center for Mountain Ecosystem Studies, Kunming Institute of Botany, Kunming 650204, China (2) World Agroforestry Centre, ICRAF China and East Asia Node, Heilongtan, Kunming 650204, China (3) School of International Development, University of East Anglia, Norwich NR4 7TJ, United Kingdom (4) Baoshan Forestry Bureau, Baoshan, Yunnan 678000, China ","He, J.(h.jun@cgiar.org) ","Environmental Management","Environ. Manage.","","Springer New York, 233 Springer Street, New York, NY 10013-1578, United States","48","1","98-108","July 2011","","","2011","English","0364152X","14321009","","10.1007/s00267-011-9691-7","","","","","","EMNGDC","Journal article (JA)","The management of wild mushroom is interdisciplinary in nature, whereby the biophysical considerations have to be incorporated into the context of a wide range of social, economic and political concerns. However, to date, little documentation exists illustrating an interdisciplinary approach to management of wild mushrooms. Moreover, the empirical case studies necessary for developing applicable and practical methods are even more rare. This paper adopted an interdisciplinary approach combining participatory methods to improve the habitat management of Thelephora ganbajun, an endemic and one of the most economically valuable mushroom species in Southwest China. The paper documents an empirical case of how an interdisciplinary approach facilitated the development of a scientific basis for policy and management practice, and built the local capacity to create, adopt and sustain the new rules and techniques of mushroom management. With this integrative perspective, a sustainable management strategy was developed, which was found not only technically feasible for farmers, but also acceptable to the government from an ecological and policy-related perspective. More importantly, this approach has greatly contributed to raising the income of farmers. The paper highlights how the integration of biophysical and socioeconomic factors and different knowledge systems provided a holistic perspective to problem diagnosis and resolution, which helped to cope with conventional scientific dilemmas. Finally, it concludes that the success of this interdisciplinary approach is significant in the context of policy decentralization and reform for incorporating indigenous knowledge and local participation in forest management. © 2011 Springer Science+Business Media, LLC.","","44","Management","Forestry - Fungi - Natural resources management - Research","Indigenous knowledge - Interdisciplinary research - Natural resource management - Non-timber forest products - Participatory action research","444 Water Resources - 454 Environmental Engineering - 461.9 Biology - 821.0 Woodlands and Forestry - 901.3 Engineering Research - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochronological and geochemical characteristics of the Neoproterozoic amphibolite from Ailaoshan zone, Western Yunnan and its tectonic implications","20141317523102","","Cai, Yongfeng (1, 2, 3); Wang, Yuejun (2, 4); Liu, Huichuan (1, 3); Ma, Liyan (5); Xing, Xiaowan (1, 3); Liu, Lei (6) ","(1) State Key Laboratory of Isotope Geochemistry, Guangzhou Institute of Geochemistry, Chinese Academy of Sciences, Guangzhou 510640, Guangdong, China (2) Department of Earth Sciences, Sun Yat-Sen University, Guangzhou 510275, Guangdong, China (3) University of Chinese Academy of Sciences, Beijing 100049, China (4) Guangdong Provincial Key Laboratory of Mineral Resources and Geological Processes, Guangzhou 510275, Guangdong, China (5) College of Geosciences, Guilin University of Technology, Guilin 541004, Guangxi, China (6) Geological Exploration Center of China Building Material Industry, Ningxia General Team, Yinchuan 750021, Ningxia, China ","Cai, Y.(caiyongfeng@gig.ac.cn) ","Geotectonica et Metallogenia","Geotecton. Metallog.","","Science Press","38","1","168-180","February 2014","","","2014","Chinese","10011552","","","","","","","","","","Journal article (JA)","Some small-sized outcrops of metabasic rocks (e.g., amphibolite, metagabbro and metadiabase) occur mainly as lens, pods and fragments in the Ailaoshan Complex along the Ailaoshan zone, which were previously mapped as Proterozoic basement. These rocks provide possibility for better understanding the tectonic setting of the SW margin of the Yangtze Block in South China, however, their formation time, petrogenesis and tectonic implications are poorly documented so far. The petrological, geochemical and zircon U-Pb geochronological data for the plagioclase amphibolites in the Ailaoshan Complex are reported in this paper. Geochemical analyses show that the amphibolites have SiO2contents ranging from 46.85% to 49.03% and with relatively high FeOt(11.56%~13.09%), MgO (6.83%~ 11.57%) and TiO2contents (1.71%~2.22%), K2O+Na2O vary from 1.61% to 2.26% with Na2O/K2O ratios of 1.88~9.25. The rocks are characterized by enriched LREE ((La/Yb)N=6.55~7.52) and Nb (Nb=14.28~18.43 μg/g). On primitive mantle-normalized trace element diagrams, the rocks show no obvious Nb and Ta anomalies and significant Sr-P depletion, displaying geochemical characteristics similar to those of the Yunkai (South China) back-arc basin basalt. Zircon U-Pb dating of the amphibolite vields a mean age of 814±12 Ma. In conjunction with other geological observations, it is proposed that there was an Early Neoproterozoic (~814 Ma) arc-back-arc setting along the Ailaoshan zone in the SW margin of the Yangtze Block.","","90","Phosphorus compounds","Analytical geochemistry - Binary alloys - Feldspar - Geochronology - Iron compounds - Lead alloys - Magnesia - Niobium - Petrology - Rocks - Silica - Silicate minerals - Sodium compounds - Strontium compounds - Structural geology - Tectonics - Titanium dioxide - Trace elements - Uranium alloys - Zircon","Amphibolite - Back-arc basin - Back-arc basin basalts - Geochemical characteristic - Neoproterozoic - Proterozoic basement - Tectonic implications - U-Pb geochronology","481.1 Geology - 481.1.2 Petrology (Before 1993, use code 482) - 482.2 Minerals - 482.2.1 Gems - 546.1 Lead and Alloys - 547 Minor, Precious and Rare Earth Metals and Alloys - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 801 Chemistry - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Migration rules of the deposited naphthalene particles in urban gas line pipes: A case study of Kunming, Yunnan","20194207561111","","Wu, Xiaonan (1); Li, Qian (1); Gou, Jiayuan (1); Hu, Meilin (2); Li, Zhao (2); Liao, Hong (3) ","(1) School of Civil Engineering and Architecture, Southwest Petroleum University, Chengdu; Sichuan; 610500, China (2) PetroChina Kunlun Gas Co., Ltd. - Yunnan, Kunming; Yunnan; 650200, China (3) Sales Company, Shunan Division of PetroChina Southwest Oil & Gasfield Company, Luzhou; Sichuan; 646000, China ","","Natural Gas Industry","Natur. Gas Ind.","","Natural Gas Industry Journal Agency","39","8","104-112","August 25, 2019","","","2019","Chinese","10000976","","","10.3787/j.issn.1000-0976.2019.08.013","","","","","","TIGOE3","Journal article (JA)","The manufactured gases containing such impurities as naphthalene particles had been long used as urban gas, but they have been recently replaced by natural gas. The deposited naphthalene particles migrating along with the current gas flow will inevitably result in pipe blockage or damage to devices. In order to study the migration law of the deposited naphthalene particles in gas line pipes, we took the urban gas pipeline in Kunming as an example, adopted the RSM turbulence model and the DPM model of the Fluent software to simulate and analyze the migration law of the deposited naphthalene particles in horizontal straight pipes, horizontal bend pipes and tee pipes. And the influence of the deposited naphthalene particle size, inlet velocity, temperature and pressure on the migration of deposited naphthalene particles under different pipe diameters, curvature ratios and pipe diameter ratios were analyzed respectively. The results show that: (1) The migration rates of deposited naphthalene particles in the above three types of pipes are negatively correlated with the size of the deposited naphthalene particles, and are positively correlated with pressure and inlet velocity; (2) With the increase of temperature, the migration rate of naphthalene particles in the above three types of pipes decreases first and then increases; (3) The migration rate of naphthalene particles deposited in gas line pipes is most affected by the inlet velocity of gas flow, then by temperature and least by pressure. (4) The migration rate of naphthalene particles is positively correlated with the ratio of horizontal straight pipe diameter and tee pipe diameter, and negatively correlated with the ratio of horizontal bend pipe diameter. In conclusion, this study is of great significance in guaranteeing the safe operation of urban gas transportation and distribution system. © 2019, Natural Gas Industry Journal Agency. All right reserved.","","17","Naphthalene","Flow of gases - Gases - Inlet flow - Manufacture - Natural gas - Particle size - Particle size analysis - Piping systems - Turbulence models - Two phase flow - Urban transportation","Displacement - Gas lines - Gas solid two phase flow - Influence factor - Migration rates","432 Highway Transportation - 433 Railroad Transportation - 522 Gas Fuels - 537.1 Heat Treatment Processes - 619.1 Pipe, Piping and Pipelines - 631.1 Fluid Flow, General - 631.1.2 Gas Dynamics - 804.1 Organic Compounds - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Spatio-temporal characteristics of heavy metal pollution and potential ecological risk in the sediments of Lake Yangzonghai, Yunnan Province","20174304306426","","Cai, Yanjie (1, 2); Zhang, Enlou (2); Liu, Enfeng (2); Yuan, Hezhong (3); Wang, Rong (2); Kong, Deping (4); Zhou, Qichao (2, 4) ","(1) School of the Environment, Nanjing University, Nanjing; 210023, China (2) State Key Laboratory of Lake Science and Environment, Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences, Nanjing; 210008, China (3) School of Environmental Science and Engineering, Nanjing University of Information Science & Technology, Nanjing; 210044, China (4) Yunnan Key Laboratory of Pollution Process and Management of Plateau Lake-watershed, Yunnan Institute of Environmental Science, Kunming; 650034, China ","","Hupo Kexue/Journal of Lake Sciences","Hupo Kexue/J. Lake Sc.","","Science Press","29","5","1121-1133","September 6, 2017","","","2017","Chinese","10035427","","","10.18307/2017.0510","","","","","","","Journal article (JA)","Contents of Al, Fe, Mn, Zn, Cr, Co, Ni, Cu, As, Cd and Pb in the surface and core sediments of Lake Yangzonghai were determined. Combined with geochronology, the heavy metal spatio-temporal characteristics, the status relative to the pre-industrial levels, and potential ecological risk of the pollution were evaluated by the surface and core sediments from Lake Yangzonghai. The results showed that metal contents exhibited obviously spatial variations in the surface sediments. Contents of As, Cd, Cu, Pb and Zn were generally higher in the middle-east lake area than those in other areas. In contrast, contents of Cr, Co and Ni showed higher values in the south lake area. Contents of As, Cd, Cu, Pb and Zn in the core sediment had increased gradually since the mid-1990s and reached the maximum values around the year of 2009-2010, followed by a gradual decline in recent years. Contents of Cr, Co and Ni showed similar temporal variations to the trends of detrital metals (such as Al and Fe), and they decreased generally in recent hundred years. As, Cd, Cu, Pb and Zn in sediments of Lake Yangzonghai were contaminated as indicated by the enrichment coefficients, showing that metal contaminations began at the mid-1990s and reached the maximum values around the year of 2009-2010, but it declined gradually in recent years with the implementation of industrial discharge control. In the surface sediments, Cu was at unpolluted to minimal contamination levels, while Zn and Pb displayed minimal to moderate contamination levels. Metal As had moderate to strong contamination levels, and Cd showed minimal to strong contamination levels. The pollution levels of the metals in the eastern lake were higher than those in other lake areas, these are because of a relatively rare runoff, low deposition of detrital materials and high anthropogenic/detrital metal sedimentation. The metals in sediment of Lake Yangzonghai may pose a medium to strong potential ecological risk when compared with a historical pollution peak around 2002-2010. The main contribution factors were Cd and As. Potential eco-risks of the metals decreased in recent years and reduced to the low level except in the east lake area, where the metals may be of a moderate potential ecological risk. © 2017 by Journal of Lake Sciences.","","45","Lake pollution","Contamination - Geochronology - Heavy metals - Lakes - Pollution - Sedimentation - Sediments - Surficial sediments","Contamination levels - Enrichment coefficients - Heavy metal pollution - Industrial discharges - Metal contamination - Potential ecological risk - Pre-industrial levels - Spatiotemporal characteristics","453 Water Pollution - 481.1 Geology - 483 Soil Mechanics and Foundations - 531 Metallurgy and Metallography - 802.3 Chemical Operations",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
