Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article or Paper number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Enhanced healing of full-thickness diabetic wounds using bioactive glass and Yunnan baiyao ointments","20145200368564","","Mao, Cong (1, 2); Lin, Cai (1, 2, 3); Chen, Xiaofeng (1, 2) ","(1) The National Engineering Research Center for Tissue Restoration and Reconstruction, Guangzhou; 510640, China (2) The School of Materials Science and Engineering, South China University of Technology, Guangzhou; 510640, China (3) Department of Burns, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou; 325000, China ","Chen, Xiaofeng ","Journal Wuhan University of Technology, Materials Science Edition","J Wuhan Univ Technol Mater Sci Ed","","Wuhan Ligong Daxue","29","5","1063-1070","October 4, 2014","","","2014","English","10002413","19930437","","","10.1007/s11595-014-1044-y","","","","","","JWUTE8","Journal article (JA)","","In order to accelerate the chronic wounds healing, we investigated the healing effects of bioactive glass and Yunnan baiyao ointments in streptozotocin-induced diabetic rats. The ointments were prepared by mixing 45S5 bioactive glass powder (16% weight) with Vaseline and different weight percentages of Yunnan baiyao. Full-thickness defect wounds were created on the back of 130 SD rats and were randomly divided into 8 groups. The wound healing rates were calculated at 4, 7, 10, 14 and 21 days after surgery. The samples were harvested for further observations. Considering the wound closure rate, group 6 (with 5% Yunnan baiyao) has better wound healing performance than other diabetic groups. The lower inflammatory response was observed by gross observation and confirmed by the results of H&E staining and TEM observation. Besides, the proliferation of fibroblasts, the formation of granulation tissue, as well as the vascularization, were improved in group 6 compared to other diabetic groups. All results suggest that bioactive glass and Yunnan baiyao ointments can accelerate the recovery of diabetes-impaired skin wounds, and comparing to other diabetic groups, group 6 (with 5% Yunnan baiyao) has better healing effect. © 2014, Wuhan University of Technology and Springer-Verlag Berlin Heidelberg.","32","Bioactive glass","Cell culture - Rats - Tissue regeneration","Diabetes mellitus - Diabetic wounds - Inflammatory response - TEM observations - Vascularization - Weight percentages - Wound healing - Yunnan baiyao","461.1 Biomedical Engineering - 462.5 Biomaterials (including synthetics)",,"Number: 2012CB619100, Acronym: -, Sponsor: -; Number: 2011CB606204, Acronym: -, Sponsor: -; Number: 2014, Acronym: -, Sponsor: -; Number: 51172073, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 50830101, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: WUST, Sponsor: Wuhan University of Science and Technology; ","©Wuhan University of Technology and SpringerVerlag Berlin Heidelberg 2014 (Received: Dec. 19, 2013; Accepted: May 17, 2014) MAO Cong (毛葱): Ph D candidate; E-mail: mcnancy0822@ gmail.com *Corresponding author: CHEN Xiaofeng (陈晓峰): Prof.; Ph D; E-mail:chenxf@scut.edu.cn Funded by the National Natural Science Foundation of China (Nos. 50830101, 51172073), the National Program on Key Basic Research Project (973 Program) (Nos. 2011CB606204 , 2012CB619100)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mapping and spatial analysis of multiethnic toponyms in Yunnan, China","20135217133427","","Wang, Fahui (1, 2); Zhang, Ling (1); Zhang, Guoping (3); Zhang, Hong (2) ","(1) Department of Geography and Anthropology, Louisiana State University, Baton Rouge, LA 70803, United States (2) School of Urban and Environmental Studies, Yunnan University of Finance and Economics, Kunming, Yunnan 650221, China (3) Department of Civil and Environmental Engineering, Louisiana State University, Baton Rouge, LA 70803, United States ","Wang, F.(fwang@lsu.edu) ","Cartography and Geographic Information Science","Cartogr. Geogr. Inf. Sci","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","41","1","86-99","January 1, 2014","","","2014","English","15230406","15450465","","","10.1080/15230406.2013.831529","","","","","","CGSCFV","Journal article (JA)","","Yunnan has the largest number of ethnic groups in China, and its rich set of multiethnic toponyms (place names) has earned itself a nickname of 'museum of toponyms'. The objectives of this study are to (1) construct a Geographic Information Systems (GIS) database of toponyms in Yunnan from a comprehensive toponymical dictionary series of China, and identify their ethnic roots; (2) enhance the mapping of their spatial patterns and detect possible clusters of ethnic toponyms by spatial analysis methods; (3) analyze the association of multiethnic toponyms with geographic factors by statistical methods; and (4) examine the historical evolution of toponyms. The results show that the highest concentrations of Zang-Mian (Tibeto-Burman) toponyms are in the northwestern and the northeastern mountainous areas, and Zhuang-Dong (Kam-Tai) toponyms cluster in the southwest and the southeast lowlands. In comparison to Han (Chinese majority) toponyms, the Zhuang-Dong toponyms also tend to be closer to rivers and in more remote areas (i.e., farther from major transportation routes and major cities). The centrographic method helps reveal the historical trend of gradual expansion of Han settlement in Yunnan as recorded in the time stamp of toponyms. The paper demonstrates the value of GIS-based analytical methods in toponymical studies. © 2013 Cartography and Geographic Information Society.","54","Spatial variables measurement","Geographic information systems - Mapping - Transportation routes","Analytical method - China - Historical evolutions - Historical trends - multiethnic toponym - Spatial analysis - Spatial patterns - Yunnan","405.3 Surveying - 903.3 Information Retrieval and Use - 943.2 Mechanical Variables Measurements",,"Number: -, Acronym: YUFE, Sponsor: Yunnan University of Finance and Economics; Number: BCS-0623108, Acronym: -, Sponsor: -; Number: 40928001, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","The work reported in this paper spun out of an earlier project supported by the US National Science Foundation (BCS-0623108). Fahui Wang’s fieldwork in China was in part supported by the National Natural Science Foundation of China (No. 40928001) and a visiting professorship at Yunnan University of Finance and Economics in the summer of 2012.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"New research progress on the paleoflora in the earliest triassic of western Guizhou and eastern Yunnan, South China","20112314043424","","Chen, Jian-Hua (1); Yu, Jian-Xin (2); Huang, Qi-Sheng (1); Broutin, Jean (3); Song, Qian-Qian (1); Chen, Bin (1) ","(1) Faculty of Earth Sciences, China University of Geosciences, Wuhan 430074, China (2) Key Laboratory of Biogeology and Environmental Geology of Ministry of Education, China University of Geosciences, Wuhan 430074, China (3) Laboratory of Paleobotany and Paleoecology, University Paris 6, Paris 75005, France ","Chen, J.-H.(chenjh.2003@yahoo.com.cn) ","Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences","Diqiu Kexue Zhongguo Dizhi Daxue Xuebao","","China University of Geosciences","36","3","500-510","May 2011","","","2011","Chinese","10002383","","","","10.3799/dqkx.2011.051","","","","","","DIKEEL","Journal article (JA)","","Early Lower Triassic plants are little known in China, especially in South China. This paper presents the paleofloral assemblage from the top of Xuanwei and the lower of the Kayitou Formations in western Guizhou and eastern Yunnan, China. Fossil plants in this area (Annularia shirakii, Lobatannularia sp., Paracalamites stenocostatus, Gigantopteris sp., Pecopteris sp., which are all the Permian relicts) from the bottom of the Kayitou Formation described by other people in 1970s are covered. In addition, many important new fossil plants in the evolution during the Permiansic interval, such as Isoetes Annalepis (including A. zeilleri, A. brevicystis), Peltaspermacae Peltaspermum (including P. martinsii, P. lobutalum, P. sp.), Lepidodendron and Stigmaria and so on are also reported. Both the new type and the 'Gigantopteris-flora' relicts are characterized with the Early Triassic Induan paleofloral features in South China. This paleofloral assemblage contains 31 species in 14 genera. These fossil plants are in association with an early Lower Triassic marine fauna (Bivalves, Ostracods, Brachiopods and Ammonites). So the geological age of this paleoflora is Early Triassic Induan stage, while the FAD of Annalepis is regarded as the marker, representing the beginning of Triassic. Based on analyzing paleoflora and limnology of the top of Xuanwei and the lower of Kayitou Formations, it is concluded that tropical and humid conditions persisted in western Guizhou and eastern Yunnan throughout the Permian and Earliest Triassic.","25","Animals","Stratigraphy","FAD of Annalepis - Paleoclimates - Paleoflora - Triassic - Western guizhou and eastern yunnan","481.1 Geology",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of the aromatic constituents of coffee arabica in Yunnan province","20131916319198","","Zhou, Bin (1); Ren, Hong-Tao (1); Xia, Kai-Guo (1); Qin, Tai-Feng (1) ","(1) Yunnan Flavor and Fragrance Research and Development Center, Kunming 650051, China ","Qin, T.-F. ","Modern Food Science and Technology","Mod. Food Sci. Technol.","","South China University of Technology, Guangzhou, 510640, China","29","1","186-188","January 2013","","","2013","Chinese","16739078","","","","","","","","","","","Journal article (JA)","","The aromatic constituents of coffee arabica in Yunnan province were isolated by SDE and identified by GC-MS method And 88 compounds were identified. The main aromatic compounds were 2-Furanmethanol (32.799%), Furfural (6.367%), 2-Furancarboxaldehyde, 5-methyl-(7.630%), Pyrazine, methyl-(4.673%), Furan, 2-ethyl-5-methyl-(3.641%), Pyrazine, ethyl-(1.103%), 1H-Pyrrole-2-carboxaldehyde, and 1-methyl-(1.269%).","9","Aromatic compounds","Aromatization - Distillation","2-furancarboxaldehyde - Aromatic constituents - Coffee arabica - GC-MS - Pyrazines - Simultaneous distillation extraction - Yunnan province","802.2 Chemical Reactions - 802.3 Chemical Operations - 804.1 Organic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The Pulang porphyry copper deposit and associated felsic intrusions in Yunnan province, Southwest China","20111413895568","","Li, Wenchang (1, 2); Zeng, Pusheng (3); Hou, Zengqian (4); White, Noel C. (5) ","(1) China University of Geosciences, Beijing, 100083, China (2) Yunnan Geological Survey, Kunming, Yunnan, 650051, China (3) Academy of Mineral Resources, China Metallurgical Geology Bureau, Beijing, 100025, China (4) Institute of Geology, Chinese Academy of Geological Sciences, Beijing, 100037, China (5) CODES, University of Tasmania, Hobart, 7000, Australia ","White, N. C.(noelcwhite@hotmail.com) ","Economic Geology","Econ. Geol.","","Society of Economic Geologists, Inc","106","1","79-92","January-February 2011","","","2011","English","03610128","","","","10.2113/econgeo.106.1.79","","","","","","ECGLAL","Journal article (JA)","","The Pulang porphyry copper deposit recently discovered in northwestern Yunnan province, is located at the south end of the Triassic Yidun island arc. To date, 15 mineralized porphyry deposits have been defined in the Pulang area and the copper resource is estimated to exceed 10 Mt. The Pulang deposit, as currently defined, is made up of five ore-bearing porphyry deposits, covering an area of approximately 9 km2. Intermediate acidic porphyritic intrusions composed of quartz-diorite, monzodiorite, quartz-monzonite, and granodiorite are widespread in the Pulang area. The alteration zones identified with the porphyry deposits include silicic, potassium silicate, quartz-sericite, and propylitic zones. The porphyry deposits have hornfels at the contact with slate, sandstone, and andesite. Re-Os ages of molybdenite, and Ar/Ar and K-Ar dating of biotite indicate that the Pulang porphyry copper deposit formed during the Indosinian tectonic episode, with the main ore formation taking place from 216 to 213 Ma (Late Triassic, Norian); however, the whole process of hydrothermal activity, including overprinting, may have extended from 235 to 182.5 Ma. © 2011 Society of Economic Geologists, Inc.","34","Economic geology","Binary alloys - Copper deposits - Deposits - Mica - Ores - Potassium compounds - Quartz - Rhenium alloys - Silicates","Alteration zones - Hydrothermal activity - Northwestern Yunnan - Porphyry copper deposits - Porphyry deposits - Potassium silicates - Southwest China - Yunnan province","481.1 Geology - 482.2 Minerals - 504.3 Heavy Metal Mines - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Developing daily dispatching plan system for Yunnan power grid","2006159819577","","Li, Gang (1); Cheng, Chun-Tian (1); Cai, Jian-Zhang (2); Cai, Hua-Xiang (2) ","(1) Inst. of Hydropower and Hydroinf., Dalian Univ. of Technol., Dalian 116024, China (2) Yunnan Power Grid Co. Dispatching Cent., Kunming 650011, China ","Li, G. ","Dalian Ligong Daxue Xuebao/Journal of Dalian University of Technology","Dalian Ligong Daxue Xuebao","","Dalian University of Technology","46","1","111-115","January 2006","","","2006","Chinese","10008608","","","","","","","","","","DLXUEJ","Journal article (JA)","","On the background of Yunnan power grid, the Web-based daily dispatching plan system is successfully designed and developed by means of JBuilder as the development tool and Oracle9i database as the data saving and managing warehouse. A general idea is offered for the function design and the implementation techniques of the system. The system whose installed capacity is 8477 MW includes 18 hydropower plants and 7 thermal power plants of electric power network, with reasonable structure and friendly interfaces, as well as strong practicability, etc. It can process load forecasting, generating set opening, arranging load, electric power and energy balance calculating and making daily dispatching plan and report forms.","5","Electric power transmission networks","Computer software - Distributed database systems - Electric load forecasting - Flowcharting - Java programming language - Scheduling","Dispatching plan - Enterprise java beans - Web - Yunnan power grid","706.1.1 Electric Power Transmission - 723 Computer Software, Data Handling and Applications - 912.2 Management","Applications (APP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effect of two extraction methods on aromatic constituents of coffee Arabica in Yunnan Province","20133416651068","","Zhou, Bin (1); Ren, Hong-Tao (1); Qin, Tai-Feng (1) ","(1) Yunnan Flavor and Fragrance Research and Development Center, Kunming 650051, China ","Zhou, B. ","Modern Food Science and Technology","Mod. Food Sci. Technol.","","South China University of Technology, Guangzhou, 510640, China","29","7","1716-1720","July 2013","","","2013","Chinese","16739078","","","","","","","","","","","Journal article (JA)","","The coffee Arabica in Yunnan was extracted by two different methods, ultrasonic extraction with three solvents (hexane, dichloromethane and methanol), and simultaneous distillation extraction (SDE). The aromatic constituents of the extracts were identified by GC-MS. The analytical results showed that 53 compounds were identified by ultrasonic-assisted solvent extraction. The main compounds were esters. The numbers of aroma components were increased along with the increase of the solvent polarity. 88 Compounds were identified by SDE. The main aromatic compounds were 2-furanmethanol (32.780%), furfural (6.37%), 2-furancarboxaldehyde, 5-methyl-furan aldehyde (7.63%), 2-methyl-pyrazine (4.67%), 2-ethyl-5-methyl-furan (3.64%), 2-ethyl-pyrazine (1.10%), N-methyl-2-pyrrole formaldehyde (1.27%). The results showed an evident difference in aromatic constituents of coffee Arabica by different extraction methods.","13","Aromatic compounds","Aldehydes - Aromatization - Dichloromethane - Distillation - Organic pollutants - Organic solvents - Solvent extraction - Solvents - Sonochemistry","Aromatic constituents - GC-MS - Simultaneous distillation extraction - Ultrasonic extraction - Yunnan province","753 Ultrasonics and Applications - 802.2 Chemical Reactions - 802.3 Chemical Operations - 804.1 Organic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"SWOT analysis of e-commerce development in Yunnan Province","20113814340208","","Liangtao, Sun (1); Gang, Chen (1) ","(1) Business College, Honghe University, Mengzi, China ","Liangtao, S. ","Communications in Computer and Information Science","Commun. Comput. Info. Sci.","","Springer Verlag","231 CCIS","PART 1","492-499","2011","Innovative Computing and Information - International Conference, ICCIC 2011, Proceedings","","2011","English","18650929","","","9783642239922","10.1007/978-3-642-23993-9_71","","","","","","","Conference article (CA)","","This paper applies the SWOT analysis method to analyze the strengths, weaknesses, opportunities and threats for the development of the e-commerce in Yunnan Province, makes a concrete foundation for the following exploiting local advantages according to the local conditions to develop e-business development strategy, thus provides referred advices for getting rid of the development dilemma and opening the way for e-commerce development in Yunnan. © 2011 Springer-Verlag.","6","Electronic commerce","Computer science - Computers","Concrete foundation - E-business development - E-commerce development - Local conditions - SWOT analysis - Yunnan - Yunnan province","723.5 Computer Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Current crustal strain field in the sichuan-yunnan area by joint inversion of GPS and seismic moment tensor","20091512023381","","Ding, Kaihua (1); Xu, Caijun (1) ","(1) Key Laboratory of Geospace Environment and Geodesy, School of Geodesy and Geomatics, Wuhan University, 129 Luoyu Road, Wuhan 430079, China ","Ding, K.(khding@163.com) ","Wuhan Daxue Xuebao (Xinxi Kexue Ban)/ Geomatics and Information Science of Wuhan University","Wuhan Daxue Xuebao Xinxi Kexue Ban","","Wuhan University","34","3","265-268","March 2009","","","2009","Chinese","16718860","","","","","","","","","","WDXKA2","Journal article (JA)","","By using 84 seismic moment tensors, collected from the Harvard centroid moment tensor between 1903 and 2003, and 214 GPS velocity observations, collected from the crustal motion observation network of China between 1998 and 2004, we fix the weight scaling factor of these two kinds of data in the joint inversion through Helmert method of variance components estimation(VCE), and invert for current crustal motion in Sichuan-Yunnan area. Meanwhile, on the basis of the analysis of inverted results, the following views are concluded. CD By using VCE, the weight scaling factor of GPS observations with a value of 0.833 is higher than that of seismic data, with a value of 0.167. It shows the importance of GPS observations with high accuracy and relatively uniform distribution in joint inversion. (2) The crustal strain field in Sichuan-Yunnan area shows that the direction of compression strain is EW in the areas above 30°N and below 30°N, NE in the west of 100°E, and NW in the east of 100°E, which is accordance with other studies.","11","Seismology","Tensors","Centroid moment tensors - Compression strain - Joint inversion - Seismic moment tensor - Sichuan Yunnan areas - Strain fields - Uniform distribution - Variance components","484.1 Earthquake Measurements and Analysis - 921.1 Algebra",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Seism-tectonic background, deep rheological structure and triggering mechanism of Diqing earthquake (Ms5.9), Yunnan","20154601546697","","He, Chicheng (1, 2); Li, Xianrui (2, 3); Wang, Jie (4); Zeng, Zuoxun (1, 2, 5) ","(1) Faculty of Earth Sciences, China University of Geosciences, Wuhan; 430074, China (2) Huazhong Tectonomechanical Research Center, Wuhan; 430074, China (3) Institute of Geophysics and Geomatics, China University of Geosciences, Wuhan; 430074, China (4) Key Laboratory of Earthquake Geodesy, Institute of Seismology, CEA, Wuhan; 430071, China (5) Three Gorges Research Center for Geo-Hazard, Ministry of Education, China University of Geosciences (TGRC), Wuhan; 430074, China ","Zeng, Zuoxun(zuoxun.zeng@126.com) ","Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences","Diqiu Kexue Zhongguo Dizhi Daxue Xuebao","","China University of Geosciences","40","10","1653-1666","October 1, 2015","","","2015","Chinese","10002383","","","","10.3799/dqkx.2015.149","","","","","","DIKEEL","Journal article (JA)","","At 08:04 of August 31st, 2013, an earthquake with a magnitude of Ms5.9 occurred in Shangrila county of Tibetan Autonomous Prefecture, Yunnan Province (28.1°N, 99.4°E). The depth of the hypocenter is 10 km. The study area is seismically active in history and prone to earthquake in northwestern Yunnan. Then the focal mechanism solutions show that the Diqing Ms5.9 earthquake is of normal faulting with dextral strike-slip and the attitude of the NW nodal plane is consistent to the Deqin-Zhongdian fault. In this paper, we discuss the bouguer anomaly near the epicenter using EIGEN-6C2 model, and the epicenter is located at the Moho depth undulating position, and place where the crustal thickness is unstable. From the profile of P wave velocity and crustal structure, we know that low-velocity layer exists at the bottom of the upper crust, and the layer is likely to be closely related to seismic energy accumulating and storing. The joint location of the edge of the low-velocity (high conductivity) layer and the Deqin-Zhongdian fractures is the location for the focus to release the accumulating energy. This provides a new case of the three-level tectonic model for intra-plate earthquake. ©, 2015, China University of Geosciences. All right reserved.","72","Earthquakes","Fault slips - Fracture - Seismic waves - Strike-slip faults - Structural geology - Wave propagation","Crustal structure - Crustal thickness - Gravity anomalies - High conductivity - Low velocity layers - Northwestern Yunnan - Tectonic models - Triggering mechanism","481.1 Geology - 484 Seismology - 484.1 Earthquake Measurements and Analysis - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of regional competitiveness evolution in yunnan minority autonomous prefectures based on GIS and AHP (1995-2010)","20145200381043","","Liran, Xiong (1, 2, 3, 4); Meiying, Jiang (1, 3, 4); Jin, Lai (1); Lede, Niu (1, 4); Baoqiang, Liu (1) ","(1) Tourism and Geography Science College of Yunnan Normal University, Kunming; 650500, China (2) International College of Yunnan Normal University, Kunming; 650500, China (3) Southwest China's Opening-up and Borderland Safety Research Center, Kunming; 650500, China (4) China Southwest Geopolitical Environment and Frontier Development, Yunnan 2011 Collaborative Innovation Center, Kunming; 650500, China ","Lede, Niu ","Proceedings - 2014 5th International Conference on Intelligent Systems Design and Engineering Applications, ISDEA 2014","Proc. - Int. Conf. Intell. Syst. Des. Eng. Appl., ISDEA","Central South University; Department of Electronics Science and Technology; et al.; Hunan Institute of Engineering; St. John's University; Xi'an Shiyou University","Institute of Electrical and Electronics Engineers Inc.","","","195-200","December 4, 2014","","1of1","2014","English","","","","9781479942619","10.1109/ISDEA.2014.51","6977577","2014 5th International Conference on Intelligent Systems Design and Engineering Applications, ISDEA 2014","June 15, 2014 - June 16, 2014","Zhangjiajie, Hunan, China","109630","","Conference article (CA)","","AHP is adopted for horizontal and vertical comparative analysis on regional development condition of eight minority autonomous prefectures in Yunnan province in recent 15 years in the paper. Relative strengths, weaknesses and evolution of regional competitiveness in the eight autonomous prefectures are analyzed according to regional competitiveness comprehensive ranking. GIS technology is applied for explaining and analyzing spatial and temporal differences in regional competitiveness of the autonomous prefectures from 1995 to 2010 on the basis. Results showed that Hong he Prefecture, Dali Prefecture and Chuxiong Prefecture have the strongest regional competitiveness followed by Wenshan Prefecture, Xishuangbanna Prefecture and Dehong Prefecture, and Diqing Prefecture and Nujiang Prefecture have the weakest influence. © 2014 IEEE.","10","Competition","Hierarchical systems - Intelligent systems - Regional planning","GIS technology - minority autonomous prefecture - regional competitiveness - Temporal evolution - Yunnan","403.2 Regional Planning and Development - 723.4 Artificial Intelligence - 911.2 Industrial Economics - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"b values spatial distribution characteristics of the main active faults in southwestern Yunnan","20154601546705","","Xie, Zhuojuan (1, 2); Li, Shanyou (1); Lü, Yuejun (2) ","(1) Key Laboratory of Earthquake Engineering and Engineering Vibration, Institute of Engineering Mechanics, China Earthquake Administration, Harbin; 150080, China (2) Institute of Crustal Dynamics, China Earthquake Administration, Beijing; 100085, China ","","Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences","Diqiu Kexue Zhongguo Dizhi Daxue Xuebao","","China University of Geosciences","40","10","1755-1766","October 1, 2015","","","2015","Chinese","10002383","","","","10.3799/dqkx.2015.157","","","","","","DIKEEL","Journal article (JA)","","Southwestern Yunnan is located in the southeast edge of the Tibetan plateau, is one of strong continental tectonic activities and frequent earthquake area in our country. In this paper, based on the principle of negative correlation between regional seismic b-value and crust internal stress distribution, we made the b values map by the maximum likelihood method and combined with the feature of regional seism tectonic background and active faults, analysis spatial difference of distribution b values along the fault belt, reflect the level of stress accumulation and activity habits in the different fault belt and the same fault different section, which reflects the spatial difference of seismic risk. The research result shows that the b value of the study area is 0.3 to 1.2, the average value of b is 0.576, δb is 0.046; the distribution b value and different sections in the Fault belt and fracture belt are uneven. The southern section of the LANCANG river fault, NU river fault etc in the low b value area of the study area, it suggests that this region is at a relatively high stress state and the possibility of strong earthquake in the future. On the contrary, Ailaoshan fault belt, the eastern and western section of the Longling-Ruili fault belt etc. in the high b value area of the study area, it suggests that this region is at a relatively low stress state and the possibility of small earthquake in the next few years. The researching methods of this article and its conclusion are available for risk evaluation research and long-term seismicity prediction research as a reference. Key words: ©, 2015, China University of Geosciences. All right reserved.","28","Faulting","Earthquakes - Maximum likelihood estimation - Risk assessment - Seismic design - Spatial distribution","B value - Continental tectonics - Distribution characteristics - Maximum likelihood methods - Negative correlation - Prediction research - Seismic hazards - Southwestern Yunnan","408 Structural Design - 484 Seismology - 484.1 Earthquake Measurements and Analysis - 914.1 Accidents and Accident Prevention - 921 Mathematics - 922 Statistical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Microwave magnetization roasting for iron ore of Huimin in Yunnan Province","20123915472662","","Wang, Xiao-Hui (1, 2, 3); Peng, Jin-Hui (1, 2, 3); Xia, Hong-Ying (1, 2, 3); Zhu, Hong-Bo (1, 2, 3); Zhang, Li-Bo (1, 2, 3); Liu, Bing-Guo (1, 2, 3) ","(1) Key Lab. Breeding Base of Complex Nonferrous Metal Resources Cleaning Utilization in Yunnan Province, Kunming 650093, China (2) Key Laboratory of Unconventional Metallurgy, Ministry of Education, Kunming 650093, China (3) Engineering Lab. of Microwave Energy Application and Equipment Technology, Yunnan Province, Kunming 650093, China ","Peng, J.-H.(jhpeng@kmust.edu.cn) ","Zhongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Central South University (Science and Technology)","Zhongnan Daxue Xuebao (Ziran Kexue Ban)","","Central South University of Technology","43","6","2043-2047","June 2012","","","2012","Chinese","16727207","","","","","","","","","","ZDXZAC","Journal article (JA)","","Based on the fact that the iron ore in Yunnan Huimin is mainly fine-grained impregnation structure whose major iron ore of oxide ore is limonite, the oxide ore was studied, and the iron ore was sorted with the craft of magnetization roasting-low intensity magnetic separation. The effects of the microwave roasting temperature, and the amount of reducing agent, magnetic field strength on the index of separation were investigated. The results show that the preparation concentrate grade is 59.31% and recovery is 81.92% under the condition of roasting temperature of 800°C, amount of reducing agent of 12%, reduction time of 12 min and magnetic field strength of 119.37 kA/cm. It confirms that the method of microwave magnetizing roast of iron ore is feasible, which provides a new way for the difficult separation of iron ore.","16","Iron ores","Calcination - Iron oxides - Magnetic separation - Magnetization - Microwaves - Ore roasting","Concentrate grade - Iron ore in huimin , yunnan provinces - Low intensity magnetic separations - Magnetic field strengths - Microwave magnetization roasting - Reduction time - Roasting temperature - Yunnan province","504.3 Heavy Metal Mines - 533.1 Ore Treatment - 701.2 Magnetism: Basic Concepts and Phenomena - 711 Electromagnetic Waves - 802.3 Chemical Operations - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Copper geochemical anomalies fractal separation in a certain area, northwest Yunnan Province, China","20142617865558","","Guo, Chunying (1); Deng, Jun (1); Gao, Bangfei (1); Xing, Xuewen (1) ","(1) State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences, Beijing 100083, China ","","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","Geomathematics GIS Anal. Resour., Environ. Hazards - Annu. Conf. Int. Assoc. Math. Geol., IAMG","China Geological Survey; China University of Geosciences; et al.; International Association for Mathematical Geology; NSFC; York University","CONFERENCE SECRETARIAT,China University of Geosciences, IAMG 2007","","","249-252","2007","Geomathematics and GIS Analysis of Resources, Environment and Hazards - Annual Conference of the International Association for Mathematical Geology, IAMG 2007","","2007","English","","","","","","","Annual Conference of the International Association for Mathematical Geology: Geomathematics and GIS Analysis of Resources, Environment and Hazards, IAMG 2007","August 26, 2007 - August 31, 2007","Beijing, China","105720","","Conference article (CA)","","To separate geochemical anomalies, Copper geochemical data (1850 data, of which 11 were covered by water and substitute for 0) in a certain area in southwest Yunnan Province of China were analyzed by fractal dimension. The distribution histogram showed four peaks. Multi fractal analysis of primary data and background deliminated data in different times show that primary data, one time and two times background deliminated data are all multi-scale fractal. Three-times background deliminated data are recognized as simple fractal. Hence, fractal analysis in the studied area also indicates four Cu distributions formed in different geological processes and with different mechanisms. In combination with geological settings, the four peaks in histogram and four distributions indicated by fractal analysis might be matched to four geological processes in the studied area with different mechanisms, although not one to one. This could make the anomaly area small and easy to delimitate, hence favors mineral resources prospecting.","16","Fractal dimension","Copper - Geochemistry - Geology - Graphic methods - Hazards - Mineral resources","Different mechanisms - Fractal analysis - Geochemical anomaly - Geochemical data - Geological process - Geological setting - Northwest Yunnan - Yunnan province","481.1 Geology - 481.2 Geochemistry - 544.1 Copper - 914.1 Accidents and Accident Prevention - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
