Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Spatially varying dispersion to model breakthrough curves","20112614094632","Li, Guangquan (1) ","(1) Department of Geophysics, Yunnan University, Kunming, Yunnan 650091, China ","Li, G.(guangquanli74@gmail.com) ","Ground Water","Ground Water","","Blackwell Publishing Ltd","49","4","584-592","July/August 2011","","","2011","English","0017467X","17456584","","","10.1111/j.1745-6584.2010.00777.x","","","","","","GRWAAP","Journal article (JA)","Often the water flowing in a karst conduit is a combination of contaminated water entering at a sinkhole and cleaner water released from the limestone matrix. Transport processes in the conduit are controlled by advection, mixing (dilution and dispersion), and retention-release. In this article, a karst transport model considering advection, spatially varying dispersion, and dilution (from matrix seepage) is developed. Two approximate Green's functions are obtained using transformation of variables, respectively, for the initial-value problem and for the boundary-value problem. A numerical example illustrates that mixing associated with strong spatially varying conduit dispersion can cause strong skewness and long tailing in spring breakthrough curves. Comparison of the predicted breakthrough curve against that measured from a dye-tracing experiment between Ames Sink and Indian Spring, Northwest Florida, shows that the conduit dispersivity can be as large as 400 m. Such a large number is believed to imply strong solute interaction between the conduit and the matrix and/or multiple flow paths in a conduit network. It is concluded that Taylor dispersion is not dominant in transport in a karst conduit, and the complicated retention-release process between mobile- and immobile waters may be described by strong spatially varying conduit dispersion. © 2010 The Author(s). Journal compilation © 2010 National Ground Water Association.","20","Dispersions","Advection - Initial value problems - Landforms - Lime - Mixing - Water pollution","Break through curve - Contaminated water - Multiple flow paths - Solute interaction - Taylor dispersion - Transformation of variables - Transport modeling - Transport process","453 Water Pollution - 481.1 Geology - 802.3 Chemical Operations - 804.2 Inorganic Compounds - 921.2 Calculus - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Bayesian network-Based detection and prediction of outliers in subspace","20083911599776","Zhou, Lihua (1); Liu, Weiyi (1); Chen, Hongmei (1); Wang, Lizhen (1); Chen, Jilong (1); Yang, Xiaodong (1) ","(1) School of Information, Yunnan University, Kunming 650091, China ","Zhou, L.(lhzhou@ynu.edu.cn) ","Proceedings of the World Congress on Intelligent Control and Automation (WCICA)","Proc. World Congr. Intelligent Control Autom. WCICA","Chinese Association of Artificial Intelligence; Chinese Association of Automation; et al.; IEEE Control System Society Beijing Chapter; IEEE Robotics and Automation Society; Natural Science Foundation of China","Institute of Electrical and Electronics Engineers Inc.","","","2479-2485","2008","Proceedings of the 7th World Congress on Intelligent Control and Automation, WCICA'08","","2008","Chinese","","","","9781424421145","10.1109/WCICA.2008.4593313","4593313","7th World Congress on Intelligent Control and Automation, WCICA'08","June 25, 2008 - June 27, 2008","Chongqing, China","73578","","Conference article (CA)","Outlier detection in large data sets is an effective way to find new knowledge and new classes. It has many applications in all those domains that can lead to illegal or abnormal behavior, such as fraud detection and medical diagnosis. Present algorithms mainly focus on finding outliers in data set on the basis of all attributes of data. The concept of outlier in subspace that assumes outlier is only relative to some attributes instead of all attributes is proposed, and the relationship between outlier in subspace and in full space is discussed. A subspace outlier, an event which has small probability in data set can be found and a new data can be predicted by using inference ability of Bayesian Network based on the relationship between outlier and Bayesian Network. A subspace outlier has clear significance which can be explained easily. © 2008 IEEE.","10","Statistics","Bayesian networks - Chemical detection - Crime - Data mining - Diagnosis - Intelligent control","Abnormal behavior - Data set - Fraud detection - Large datasets - Outlier - Subspace","461.6 Medicine and Pharmacology - 723.2 Data Processing and Image Processing - 723.4.1 Expert Systems - 801 Chemistry - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 922.2 Mathematical Statistics - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Improving AOR method for consistent linear systems","20071210505766","Li, Yao-tang (1); Li, Cui-xia (1); Wu, Shi-liang (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.-t.(Liyaotang@ynu.edu.cn) ","Applied Mathematics and Computation","Appl. Math. Comput.","","Elsevier Inc., 360 Park Avenue South, New York, NY 10010, United States","186","1","379-388","March 1, 2007","","","2007","English","00963003","","","","10.1016/j.amc.2006.07.097","","","","","","AMHCBQ","Journal article (JA)","Milaszewicz [J.P. Milaszewicz, Improving Jacobi and Gauss-Seidel iterations, Linear Algebra Appl. 93 (1987) 161-170] and Gunawardena et al. [A.D. Gunawardena, S.K. Jain, L. Snyder, Modified iteration methods for consistent linear systems, Linear Algebra Appl. 154-156 (1991) 123-143] presented preconditioned methods for linear system in order to improve the convergence rates of Jacobi and Gauss-Seidel iterative schemes, respectively. In this paper, we apply AOR and SOR iterative schemes to the preconditioned linear systems and provide two theorems to improve the convergence rates of these iterative methods. Meanwhile, the methods in this paper can be used to more class of linear systems. © 2006 Elsevier Inc. All rights reserved.","7","Numerical methods","Convergence of numerical methods - Iterative methods - Linear systems - Theorem proving","Convergence rates - Gauss-Seidel iterative schemes","721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 921.6 Numerical Methods - 961 Systems Science","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An extended process model supporting software evolution","20091311977557","Na, Zhao (1); Fei, Dai (1); Yong, Yu (1); Tong, Li (1) ","(1) College of Software, Yunnan University, Kunming, 650091, China ","Na, Z.(zhaonayx@126.com) ","Proceedings - 2nd 2008 International Symposium on Intelligent Information Technology Application Workshop, IITA 2008 Workshop","Proc. - Int. Symp. Intell. Inf. Technol. Appl. Workshop, IITA Workshop","IEEE Circuits and Systems Society; Institute of Electrical and Electronics Engineers; Intelligent Information Technology Application Research Assoc.","IEEE Computer Society","","","1013-1016","2008","Proceedings - 2nd 2008 International Symposium on Intelligent Information Technology Application Workshop, IITA 2008 Workshop","","2008","English","","","","9780769535050","10.1109/IITA.Workshops.2008.174","4732109","2nd 2008 International Symposium on Intelligent Information Technology Application Workshop, IITA 2008","December 21, 2008 - December 22, 2008","Shanghai, China","75534","","Conference article (CA)","The importance and popularity of software evolution are increasing as more and more successful software systems have become legacy systems. SDDM(System Dynamic Development Model), which supports software concurrent engineering, is extended with standardization, role model , resource model and hierarchy . And by doing so, we produce the SDDM?, which is configurable and reusable to support the standardization and software evolution modeling. © 2008 IEEE.","5","Computer software reusability","Concurrent engineering - Legacy systems - Standardization","Process Modeling - Resource model - Role model - Software Evolution - Software systems - System Dynamics","723 Computer Software, Data Handling and Applications - 723.5 Computer Applications - 902.2 Codes and Standards",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Global exponential stability of BAM neural networks with delays and impulses","2004518721568","Li, Yongkun (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Chaos, Solitons and Fractals","Chaos Solitons Fractals","","Elsevier Ltd","24","1","279-285","April 2005","","","2005","English","09600779","","","","10.1016/S0960-0779(04)00561-2","","","","","","CSFOEH","Journal article (JA)","Sufficient conditions are obtained for the existence and global exponential stability of a unique equilibrium of a class of two-layer heteroassociative networks called bidirectional associative memory (BAM) networks with Lipschitzian activation functions without assuming their boundedness, monotonicity or differentiability and subjected to impulsive state displacements at fixed instants of time. An illustrative example is given to demonstrate the effectiveness of the obtained results. © 2004 Elsevier Ltd. All rights reserved.","12","Pattern recognition","Activation analysis - Carrier communication - Control - Differential equations - Neural networks - Stability","Bidirectional associative memory (BAM) - Heteroassociative networks - Impulses - Lipschitzian activation","716 Telecommunication; Radar, Radio and Television - 723.4 Artificial Intelligence - 731 Automatic Control Principles and Applications - 801 Chemistry - 921.2 Calculus","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Threshold property of whispering-gallery-mode fiber lasers pumped by evanescent waves","20113214210419","Zhang, Yuan-Xian (1); Pu, Xiao-Yun (1); Zhu, Kun (1); Feng, Li (1) ","(1) Department of Physics, Yunnan University, Kunming, Yunnan 650091, China ","Pu, X.-Y.(xypu@163.com) ","Journal of the Optical Society of America B: Optical Physics","J Opt Soc Am B","","Optical Society of America (OSA)","28","8","2048-2056","August 2011","","","2011","English","07403224","","","","10.1364/JOSAB.28.002048","","","","","","JOBPDE","Journal article (JA)","We demonstrate a novel (to the best of our knowledge) whispering-gallery- mode fiber laser, pumped and gain coupled by evanescent waves, by inserting a bare optical fiber into a glass capillary filled with dye solution. The energy threshold properties of the lasers, including the energy threshold that varied with the refractive index (RI) of the dye solution for different fiber diameters and the produced length of the lasing emission along the fiber axis, are then investigated. We find experimentally that the energy threshold is very sensitive to the RI of the dye solution and the fiber diameter, and the produced length of the lasing emission is dependent on the dye concentration and the RI of the dye solution. The optical gain of a circular microcavity in the evanescent-wave pumping scheme is analyzed by introducing a Gaussian distribution function of the pump light, and various energy losses related to the microcavity are considered, which leads to a threshold energy formula. The formula for determining the produced length of the lasing emission is derived by introducing an attenuated factor in the threshold energy formula. The experimental results are in good agreement with the calculations. © 2011 Optical Society of America.","20","Whispering gallery modes","Dies - Distribution functions - Electromagnetic wave reflection - Energy dissipation - Fiber lasers - Microcavities - Optical fibers - Optical resonators - Optically pumped lasers - Pumping (laser) - Refractive index","Dye concentration - Energy thresholds - Evanescent wave - Fiber diameters - Glass capillaries - Lasing emissions - Threshold energy - Threshold properties","525.4 Energy Losses (industrial and residential) - 534.1 Foundries - 711 Electromagnetic Waves - 714 Electronic Components and Tubes - 714.3 Waveguides - 741 Light, Optics and Optical Devices - 744.1 Lasers, General - 744.4 Solid State Lasers - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Video object tracking based on swarm optimized particle filter","20104713416606","Hao, Zhou (1); Zhang, Xuejie (1); Li, Haiyan (1); Li, Jidong (1) ","(1) Information School of Yunnan University, Kunming, China ","Hao, Z.(zhouhao@ynu.edu.cn) ","2010 6th International Conference on Wireless Communications, Networking and Mobile Computing, WiCOM 2010","Int. Conf. Wirel. Commun., Networking Mob. Comput., WiCOM","","IEEE Computer Society","","","","2010","2010 6th International Conference on Wireless Communications, Networking and Mobile Computing, WiCOM 2010","","2010","English","","","","9781424437092","10.1109/WICOM.2010.5600667","5600667","","","","","","Conference article (CA)","Classical particle filter needs large numbers of samples to properly approximate the posterior density of the state evolution, and moreover, sample impoverishment is an inevitable problem, which is a key issue in the performance of a particle filter. In this paper, particle swarm optimization (PSO) was embedded into generic particle filter framework to achieve more robustness and flexibility. Samples were generated to represent the initial state of the object. Particle swarm optimized the sample set after prediction step. The object was tracked if the samples had reached convergence. Target state estimation was computed according to the globally best location of the entire population. Experiment results demonstrated that particle swarm algorithm can effectively eliminate particle degeneration and enhance robustness. Consequently the efficiency of video object tracking system was effectively improved. © 2010 IEEE.","9","Particle swarm optimization (PSO)","Bandpass filters - Monte Carlo methods - Motion compensation - State estimation - Tracking (position) - Wireless telecommunication systems","Generic particle filters - Particle degenerations - Particle filter - Particle swarm algorithm - Sample impoverishment - Target state estimations - Video object tracking - Video tracking","703.2 Electric Filters - 723 Computer Software, Data Handling and Applications - 731.1 Control Systems - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The study of resource pricing based on the grid banking model","20101012758139","Tang, Guo (1); Li, Hao (1); Yao, Shaowen (1) ","(1) School of Software, Yunnan University, Kunming, China ","Tang, G.(tangguo001@gmail.com) ","SKG 2009 - 5th International Conference on Semantics, Knowledge, and Grid","SKG - Int. Conf. Semant., Knowl., Grid","Chinese Academy of Sciences; Information Society Technologies; Institute of Computing Technology, Chinese Academy of Sciences; National Basic Research Program of China; Zhuhai National Hi-tech Industrial Development Zone","IEEE Computer Society","","","434-435","2009","SKG 2009 - 5th International Conference on Semantics, Knowledge, and Grid","","2009","English","","","","9780769538105","10.1109/SKG.2009.12","5370325","5th International Conference on Semantics, Knowledge, and Grid, SKG 2009","October 12, 2009 - October 14, 2009","Zhuhai, China","79456","","Conference article (CA)","The introduction of economics in resource scheduling is an effective solution in grid. In this paper, based on the banking model as an agent, it provides the analysis and guidance for all participants from the perspective of the overall activities in the grid. The Deadline and Budget Constrained (DBC)-based iterative algorithm can update the prices through analyzing the history of the used resource which amend the current constant prices repeatedly, the ultimate price is expected to be calculated to provide to the user. © 2009 IEEE.","3","Costs","Budget control - Economics - Iterative methods - Semantics","Current constant - Deadline and budget constrained - Effective solution - Grid - Iterative algorithm - Resource pricing - Resource-scheduling","911 Cost and Value Engineering; Industrial Economics - 921.6 Numerical Methods - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Asymmetric effects on the associated relaxation time and the correlation function of a bistable system with correlated noises","20095212579791","Long, Fei (1); Du, Lu-Chun (1); Mei, Dong-Cheng (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Long, F. ","Physica Scripta","Phys Scr","","Institute of Physics Publishing","79","4","","2009","","","2009","English","00318949","14024896","","","10.1088/0031-8949/79/04/045007","045007","","","","","PHSTBO","Journal article (JA)","The asymmetric effects on the associated relaxation time Tcand the correlation function C(s) of a bistable system are investigated. The stationary probability distribution (SPD) is derived, then the analytic expressions of Tcand C(s) are obtained. Under numerical computation, the results indicate: (i) the increasing of r (asymmetry parameter) can induce reentrance phenomenon in the SPD; (ii) the increasing of r can induce a one-peak structure on the Tc- R, Tc-D and Tc-λ plots (R, D and λ are the noise intensity ratio, multiplicative noise intensity and correlated intensity, respectively); (iii) there is a critical value of r, below it r enhances the fluctuation of the system, and above it r weakens the fluctuation of the system. © 2009 The Royal Swedish Academy of Sciences.","41","Relaxation time","Probability distributions","Analytic expressions - Asymmetric effects - Asymmetry parameter - Correlated noise - Correlation function - Multiplicative noise - Noise intensities - Numerical computations","922.1 Probability Theory - 931 Classical Physics; Quantum Theory; Relativity",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Band gap structures of 3D simple cubic lattice phononic crystal with elliptical cylinders","20074310888233","Hu, Jia-Guang (1); Zhang, Jin (1); Zhang, Xi (1); Zhu, Fei-Xia (1); Hu, Qun-Fa (1); Li, Fang-Jiang (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Hu, J.-G. ","Gongneng Cailiao/Journal of Functional Materials","Gongneng Cailiao","","Journal of Functional Materials, P.O. Box 1512, Chongqing, 630700, China","38","9","1411-1413+1417","September 2007","","","2007","Chinese","10019731","","","","","","","","","","GOCAEA","Journal article (JA)","The plane wave expansion method was employed to calculate the band gap structures of 3D simple cubic lattice phononic crystal composed of elliptical steel cylinders embedded in epoxy matrix. Generally, the higher the symmetry of elliptical cylinder cross section shape, the bigger the maximum of band gap width and the higher the mid-gap frequency. The band gap width becomes wider, whereas the mid-gap frequency becomes lower as the cylinder rotation angle around the central axis is increased. Whether the elliptical cylinders are rotated or not, the wider band gap can be easier achieved by adjusting the radius of elliptical cylinder cross section than altering the height of elliptical cylinder.","5","Crystals","Crystal lattices - Cylinders (shapes) - Energy gap - Expansion - Phonons - Rotation - Steel - Structure (composition) - Three dimensional - Vibrations (mechanical)","Elliptical cylinder - Phononic crystal - Plane wave expansion method - Vibration band gap","933.1 Crystalline Solids - 931.3 Atomic and Molecular Physics - 931.1 Mechanics - 951 Materials Science - 902.1 Engineering Graphics - 545.3 Steel - 408.2 Structural Members and Shapes - 751.1 Acoustic Waves","Applications (APP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Polarization properties of a whispering-gallery-mode fiber laser pumped by the evanescent wave of skew beam","20101912923199","Feng, Yongli (1); Han, Deyu (1); Pu, Xiaoyun (1); Zhu, Kun (1); Jiang, Nan (1) ","(1) Department of Physics, Yunnan University, Kunming, Yunnan 650091, China ","Pu, X.(xypu@163.com) ","Zhongguo Jiguang/Chinese Journal of Lasers","Zhongguo Jiguang","","Science Press","37","3","627-630","March 2010","","","2010","Chinese","02587025","","","","10.3788/CJL20103703.0627","","","","","","ZHJIDO","Journal article (JA)","The polarization properties of a whispering-gallery-mode (WGM) fiber laser pumped by the evanescent wave of skew beam are studied. It is found from the experiments that when pump beam transmits in a bared optical fiber in skew way, both transverse electric (TE) wave and transverse magnetic (TM) wave exist in the laser emission, and the wave-number difference between TE and TM waves decreases monotonely with the increase of the refractive index of cladding solution. Based on the excitation mechanics of evanescent-wave pumped WGM fiber laser and the analytic asymptotic formula to determine the resonant positions of a WGM, the observed experimental results are well explained.","16","Whispering gallery modes","Electromagnetic wave reflection - Fiber lasers - Laser excitation - Optical fibers - Optical resonators - Polarization - Pumping (laser) - Refractive index","Asymptotic formula - Evanescent wave - Evanescent wave pump - Laser emission - Polarization properties - TE and TM waves - Transverse electric waves - Transverse magnetic waves","711 Electromagnetic Waves - 714.3 Waveguides - 741 Light, Optics and Optical Devices - 744 Lasers",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Molybdate and tungstate as corrosion inhibitors for cold rolling steel in hydrochloric acid solution","2005529621431","Mu, Guannan (1); Li, Xianghong (1); Qu, Qing (1); Zhou, Jun (1) ","(1) Department of Chemistry, Yunnan University, Kunming, Yunnan 650091, China ","Mu, G.(guannan@public.km.yn.cn) ","Corrosion Science","Corros. Sci.","","Elsevier Ltd","48","2","445-459","February 2006","","","2006","English","0010938X","","","","10.1016/j.corsci.2005.01.013","","","","","","CRRSAA","Journal article (JA)","The inhibition effects of molybdate and tungstate on the corrosion of cold rolling steel (CRS) in hydrochloric acid solution (0.1-0.5 M) were investigated by weight loss and electrochemistry methods. The results reveal that both molybdate and tungstate are very good inhibitors with little concentration. The adsorption of inhibitors on the CRS surface basically obeys the Langmuir adsorption isotherm equation. The effect of temperature on the corrosion behavior of CRS was also studied at 25 °C and 35 °C, the thermodynamic parameters such as adsorption heat (ΔH0) and adsorption free energy (ΔG0) were calculated. In the same conditions, a comparative study of corrosion inhibition of molybdate and tungstate indicated that molybdate was the better inhibitor in 0.1 M HCl. However, the value of percentage inhibition efficiency (IE) was dependent on the concentration of inhibitors in 0.2-0.5 M HCl. It seemed that molybdate did not have the strong inhibitive effect compared to tungstate with relatively small concentration of inhibitors, but molybdate was a better inhibitor over a wide concentration range of inhibitors. A kinetic study of cold rolling steel in uninhibited and inhibited acid was also discussed. Various parameters such as rate constant k and the kinetic parameter B were calculated for the reactions of corrosion. Polarization curves showed that both molybdate and tungstate are mixed-type inhibitors in acidic media. © 2005 Elsevier Ltd. All rights reserved.","51","Steel","Adsorption - Cold rolling - Corrosion - Hydrochloric acid - Isotherms - Molybdenum - Tungsten","Cold rolling steel - Corrosion inhibitor - Kinetic parameter - Polarization curves","802.3 Chemical Operations - 641.1 Thermodynamics - 545.3 Steel - 804.2 Inorganic Compounds - 543.5 Tungsten and Alloys - 539.1 Metals Corrosion - 535.1.2 Rolling Mill Practice - 543.3 Molybdenum and Alloys","Theoretical (THR)","Number: 50261004, Acronym: -, Sponsor: -; ","This work was carried out in the frame of a research project funded by the Chinese National Science Foundation (Grant No. 50261004).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Positive periodic solutions of a periodic neutral delay logistic equation with impulses","20083911597920","Li, Yongkun (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Computers and Mathematics with Applications","Comput Math Appl","","Elsevier Ltd","56","9","2189-2196","November 2008","","","2008","English","08981221","","","","10.1016/j.camwa.2008.03.044","","","","","","CMAPDK","Journal article (JA)","By using a fixed point theorem of strict-set-contraction, some criteria are established for the existence of positive periodic solutions for a periodic neutral functional differential equation with impulses of the form {(frac(d x (t), d t) = x (t) [a (t) - underover(∑, i = 1, m) bi (t) x (t - τi (t)) - underover(∑, j = 1, n) cj (t) x′ (t - σj (t))],; x (tk+) - x (tk) = - Ik (x (tk)), k = 1, 2, ... .). © 2008 Elsevier Ltd. All rights reserved.","12","Differential equations","Fixed point arithmetic","Existence of positive periodic solutions - Fixed point theorems - Impulse - Logistic equations - Neutral delays - Neutral functional differential equations - Positive periodic solution - Strict-set-contraction","921.2 Calculus - 921.6 Numerical Methods",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on the FP growth algorithm about association rule mining","20094412406065","Wei, Zhang (1); Hongzhi, Liao (1); Na, Zhao (1) ","(1) School of Software, Yunnan University, Kunming, China ","Wei, Z.(Mail_zhang@163.com) ","2008 International Seminar on Business and Information Management, ISBIM 2008","Int. Semin. Bus. Inf. Manage., ISBIM","Engineering Technology Press; Intelligent Information Technology Application Association","IEEE Computer Society","1","","315-318","2009","2008 International Seminar on Business and Information Management, ISBIM 2008","","2009","English","","","","9780769535609","10.1109/ISBIM.2008.177","5117492","2008 International Seminar on Business and Information Management, ISBIM 2008","December 19, 2008 - December 19, 2008","Wuhan, China","77557","","Conference article (CA)","For large databases, the research on improving the mining performance and precision is necessary, so many focuses of today on association rule mining are about new mining theories, algorithms and improvement to old methods. Association rules mining is a function of data mining research domain and arise many researchers interest to design a high efficient algorithm to mine association rules from transaction database. Generally all the frequent item sets discovery from the database in the process of association rule mining shares of larger, the price is also spending more. This paper introduces an improved aprior algorithm so called FP-growth algorithm that will help resolve two neck-bottle problems of traditional apriori algorithm and has more efficiency than original one. In theoretic research, An anatomy of two representative arithmetics of the Apriori and the FP Growth explains the mining process of frequent patterns item set. The constructing method of FP tree structure is provided and how it affects association rule mining is discussed. Experimental results show that the algorithm has higher mining efficiency in execution time, memory usage and CPU utilization than most current ones like Apriori. © 2008 IEEE.","9","Data mining","Association rules - Bottles - Database systems - Efficiency - Information management - Mining - Trees (mathematics)","Apriori algorithms - Association rules mining - FP growths - FP-growth algorithm - FP-Tree structure - Frequent item sets - Mine association rules - Transaction database","502.1 Mine and Quarry Operations - 694.2 Packaging Materials - 723.2 Data Processing and Image Processing - 723.3 Database Systems - 903.1 Information Sources and Analysis - 913.1 Production Engineering - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Actions pattern recognition method based on accurate Synchronization of start time","20111113746636","He, Lesheng (1); Hu, Yaohang (1); Wang, Weilian (1) ","(1) Information Institute of Yunnan University, Kunming 650091, China ","He, L. ","Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument","Yi Qi Yi Biao Xue Bao","","Science Press","31","8 SUPPL.","112-117","August 2010","","","2010","Chinese","02543087","","","","","","","","","","YYXUDY","Journal article (JA)","The human-computer interactive technology based on myoelectric signal is currently the frontier and hotspot of the human-computer interaction. Traditional methods used time-frequency analysis methods to reduce the nonstationarity of myoelectric signal. But time-frequency analysis consumed more resource of computer systems, did not fitted embedded systems. The effect of exact start time Synchronization was proved in the thesis. Then a method for getting the accurate actions start time based on SOM network was given. At last the paper putted forward an actions pattern recognition method based on accurate synchronization. The experiments indicated that the pattern recognition method achieved 95% correct rate, without using time-frequency analysis. It is a high efficiency and economical actions pattern recognition method.","11","Pattern recognition","Biomedical signal processing - Electromyography - Embedded systems - Human computer interaction - Synchronization","Interactive technology - Myoelectric signals - Nonstationary signals - Pattern recognition method - SOM networks - Time frequency analysis - Time synchronization - Time-frequency analysis methods","716.1 Information Theory and Signal Processing - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Palmprint recognition based on modified dct features and RBF neural network","20085211817311","Yu, Peng-Fei (1); Xu, Dan (1) ","(1) School of Information, Yunnan University, Kunming 650091, China ","Yu, P.-F.(pfyu@ynu.edu.cn) ","Proceedings of the 7th International Conference on Machine Learning and Cybernetics, ICMLC","Proc. Int. Conf. Mach. Learn. Cybern., ICMLC","","IEEE Computer Society","5","","2982-2986","2008","Proceedings of the 7th International Conference on Machine Learning and Cybernetics, ICMLC","","2008","English","","","","9781424420964","10.1109/ICMLC.2008.4620918","4620918","7th International Conference on Machine Learning and Cybernetics, ICMLC","July 12, 2008 - July 15, 2008","Kunming, China","74802","","Conference article (CA)","In this paper, a novel palmprint recognition approach is presented. A modified Discrete Cosine Transform based feature extraction method is used to obtain palmprint features. Furthermore, a Radial Basis Function Neural Network is employed for palmprint classification. In order to facilitate the training of Radial Basis Function Neural Network, Principal Components Analysis is applied to reduce these features to a reasonable dimension. The experiment results show that the method is effective. © 2008 IEEE.","23","Radial basis function networks","Anthropometry - Biometrics - Discrete cosine transforms - Functions - Machine learning - Palmprint recognition - Principal component analysis","DCT features - DCT-mod2 - Feature extraction methods - Modified discrete cosine transforms - Palmprint classifications - Principal components analysis - Radial basis function neural networks - RBF Neural Network","461 Bioengineering and Biology - 461.3 Biomechanics, Bionics and Biomimetics - 723.5 Computer Applications - 921 Mathematics - 921.3 Mathematical Transformations - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Existence of positive periodic solutions for difference equations with feedback control","2005088849892","Li, Yongkun (1); Zhu, Lifei (1) ","(1) Department of Mathematics, Yunnan University, Kunming, Yunnan 650091, China ","Li, Y.(yklie@ynu.edu.cn) ","Applied Mathematics Letters","Appl Math Lett","","Elsevier Ltd","18","1","61-67","January 2005","","","2005","English","08939659","","","","10.1016/j.aml.2004.09.002","","","","","","AMLEEL","Journal article (JA)","We apply the continuation theorem of coincidence degree theory to study the existence of positive periodic solutions for the following difference equations with feedback control: {N(n+1)=N(n)exp[r(n)(1-N(n-m)k(n)-c(n)μ(n))], Δμ(n)=-a(n)μ(n)+b(n)N(n-m), where a:Z&rarr(0,1),c,k,r,b:Z&rarrR+ are all ω-periodic functions and m is a positive integer. © 2004 Elsevier Ltd. All rights reserved.","15","Difference equations","Differential equations - Feedback control - Functions - Mathematical models - Theorem proving","Biological parameters - Fredholm mapping - Positive periodic solutions - Survival rates","731.1 Control Systems - 921.2 Calculus - 921.6 Numerical Methods","Theoretical (THR)",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
