Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Experimental study on the energy dissipation ratio of step-pool system","20133416651111","Li, Wen-Zhe (1, 2); Wang, Zhao-Yin (1, 2); Li, Zhi-Wei (1) ","(1) Dept. of Hydraulic Eng., State Key Lab. of Hydro-science and Eng., Tsinghua Univ., Beijing 100084, China (2) Key Lab. of Mountain Hazards and Surface Processes, Chinese Academy of Sciences, Chengdu 610041, China ","Wang, Z.-Y.(zywang@tsinghua.edu.cn) ","Sichuan Daxue Xuebao (Gongcheng Kexue Ban)/Journal of Sichuan University (Engineering Science Edition)","Sichuan Daxue Xuebao (Gongcheng Kexue Ban)","","Editorial Department of Journal of Sichuan University","45","SUPPL2","61-65","July 2013","","","2013","Chinese","10093087","","","","","","","","","","SXGKFI","Journal article (JA)","The energy dissipation ratio of step-pool system in different flood discharges was studied for a better understanding of variation of energy dissipation ratio of step-pool system. Two types of step pools structures were modeled in the experiment and the energy dissipation ratios at different flood discharges were compared for better design of step-pool system. The experiments were done in the Jiangjia Ravine in Dongchuan, Yunnan province. A channel mimicking the natural rivers was dig on the debris flow deposit of the ravine. The different flood discharges were created by a manmade pond in the upper reach of channel. The step-pool structure was made of boulders of 0.3-0.5 m in diameter. The first type of the step-pool system is a single step and a deep pool, the step of this type is constructed with 7 key boulders. The second type of the step-pool system is composed of several steps and a relatively small pool. The first type is much more three-dimensional than the second type. The results showed that the energy dissipation ratio of step-pool structure is as high as over 90%. The role of energy dissipation of the structure becomes smaller as the flood water inundates the whole structure, thence the energy dissipation ratio reduces with the flood discharge. The first type of the step-pool has higher energy dissipation ratio than the second type at various discharges. Better design of a step-pool structure may reach the highest energy dissipation ratio.","11","Lakes","Energy dissipation - Experiments - Floods","Debris flow deposits - Energy dissipation ratios - Flood discharge - Flood waters - Natural river - Pool system - Single-step - Yunnan province","525.4 Energy Losses (industrial and residential) - 901.3 Engineering Research",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Spatial analysis model for agricultural land grading based on GIS","20125015788343","Kou, Weili (1, 2); Gan, Shu (1); Yuan, Xiping (1) ","(1) Faculty of Land Resource Engineering, Kunming University of Science and Technology, Kunming, China (2) School of Computer and Information, Southwest Forestry University, Kunming, China ","Kou, W.(kwl_eric@163.com) ","Applied Mechanics and Materials","Appl. Mech. Mater.","National Natural Science Foundation ofChina (NSFC)","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","214","","615-619","2012","Green Power, Materials and Manufacturing Technology and Applications II","","2012","English","16609336","16627482","","9783037854969","10.4028/www.scientific.net/AMM.214.615","","2nd International Conference on Green Power, Materials and Manufacturing Technology and Applications, GPMMTA 2012","July 17, 2012 - July 19, 2012","Kunming, China","94256","","Conference article (CA)","To improve the efficiency of spatial analysis a novel model is proposed. Based on analyzing on workflows and techniques, the research mainly put emphasis on optimizing data organizations, enhancing data accessing efficiency, improving spatial researches, simplifying complex operations, and realizing automation. The model employed ArcGIS Engine, ArcSDE and ADO.net to design and implement its functions through programming under the Dot NET Framework. It has been applied to the grading work of agricultural lands in Lanping County, Yunnan Province, which shows that it can simplify operations, improve accuracy, and has features of good practicality and generality and should be applicable in other settings and over larger extents. © (2012) Trans Tech Publications, Switzerland.","5","Manufacture","Mechanics","ADO.NET - Agricultural land - ArcGIS engine - Complex operations - Data accessing - Data organization - NET framework - Spatial analysis - Spatial data - Work-flows - Yunnan province","537.1 Heat Treatment Processes - 931.1 Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Advanced treatment of chemical wastewater by using a combination of ultrafiltration and reverse osmosis system","20130215884746","Zhou, Jianding (1); Yang, Ping (1); Yang, Changjun (1); Lai, Bo (1); Zhang, Yunhong (1) ","(1) College of Architecture and Environment, Sichuan University, Chengdu, Sichuan, 610065, China ","Zhou, J.(Dingzi2004@163.com) ","Advanced Materials Research","Adv. Mater. Res.","","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","610-613","","1309-1314","2013","Progress in Environmental Science and Engineering","","2013","English","10226680","","","9783037855508","10.4028/www.scientific.net/AMR.610-613.1309","","2nd International Conference on Energy, Environment and Sustainable Development, EESD 2012","October 12, 2012 - October 14, 2012","Jilin, China","94737","","Conference article (CA)","The purpose of this paper was to investigate the application of ultrafiltration/reverse osmosis (UF/RO) for advanced wastewater treatment. Full-scale tests were set up for investigation in Yuntianhua Co.Ltd, Yunnan, China. The performances of turbidity, residual chlorine, conductivity and various ions were studied. The results suggested that the removal efficiency of turbidity was above 98.20%. Additionally, the average value of Silting Density Index (SDI) and residual chlorine of effluent of UF process were less than 1.80 and 0.06mg/L, respectively. However, its removal efficiency was limited by membrane fouling. And this system needed to be backwashed periodically to maintain high removal efficiency. Hardness and scale-forming ions could be decreased effectively by RO. The RO membrane fouling could be avoided by adjusting pH (7.0-7.5) and dosing scale inhibitor (MDC150, 4.00-5.00mg/L). Finally, the effluent of the UF/RO system can be reused as the cooling water or supply water for low-pressure boiler equipment. © (2013) Trans Tech Publications, Switzerland.","16","Water filtration","Effluents - Membrane fouling - Reverse osmosis - Turbidity - Ultrafiltration - Wastewater reclamation - Wastewater treatment","Advanced treatment - Average values - Chemical wastewater - Density index - Full scale tests - Removal efficiencies - Reverse osmosis systems - Scale inhibitor - Wastewater reuse - Yunnan , China","452.3 Industrial Wastes - 452.4 Industrial Wastes Treatment and Disposal - 741.1 Light/Optics - 802.3 Chemical Operations - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Comparison of hyperspectral retrieval models for soil moisture content","20191506748654","Hao, Mingli (1, 2, 3); Hu, Wenying (1, 2, 3) ","(1) School of Tourism and Geographical Sciences of Yunnan Normal University, Yunnan Kunming; 650500, China (2) Key Laboratory of Remote Sensing of Resources and Environment of Yunnan Province, Yunnan Kunming; 650500, China (3) Geospatial Information Technology Engineering Research Center of Yunnan Province, Yunnan Kunming; 650500, China ","Hu, Wenying(402042525@qq.com) ","Proceedings of SPIE - The International Society for Optical Engineering","Proc SPIE Int Soc Opt Eng","Chinese Society of Optical Engineering; Division of Information and Electronic Engineering of Chinese Academy of Engineering; Science and Technology on Low-Light-Level Night Vision Laboratory","SPIE","11023","","","2019","Fifth Symposium on Novel Optoelectronic Detection Technology and Application","1 of 1","2019","English","0277786X","1996756X","","9781510627123","10.1117/12.2520021","110232E","5th Symposium on Novel Optoelectronic Detection Technology and Application","October 24, 2018 - October 26, 2018","Xi'an, China","145991","PSISDG","Conference article (CA)","In order to improve the estimation accuracy of Soil Moisture Content (SMC) by hyperspectral technology, the paper used actual measured spectral data to study quantitative relationship between soil hyperspectral reflectance and the SMC. All total of soil samples from the Puzhehei Scenic Spot in Qiubei County, Yunnan Province in December 2016 were measured in the lab with the spectrometer. This paper used the original reflectivity of the soil samples and its four mathematical transformations as the inversion indicators to construct Unary Linear Regression Model (ULRM), Multiple Stepwise Regression Model (MSRM) and Partial Least Squares Regression Model (PLSRM) aiming to compare the performance and inversion accuracy of these three models, and find the best performance model to inverse the SMC. The results showed that: (1) It was determined that 1350nm, 1450nm, 1841nm, 1897nm, 1905nm, 1935nm and 2146nm were the hyper-spectral characteristic bands of SMC by analyzing the correlation between soil moisture content and reflectance. (2) The coefficients of determinations R2 varied between 0.73 and 0.91 and the Root Mean Square Error (RMSE) ranged from 1.51 to 1.86 with the best performance obtained with the PLSM, and the LRM had the lowest inversion accuracy. (3) The PLSRM established by the logarithm of the reflectivity of 1450nm, 1841nm, 1897nm, 1905nm, 1935nm and 2146nm was the best model of the 15 models by comparing the inversion precision of the samples in each model in this study. © 2019 SPIE.","19","Soil moisture","Least squares approximations - Linear transformations - Mathematical transformations - Mean square error - Moisture determination - Reflection - Regression analysis - Soil surveys","Hyper-spectral characteristics - HyperSpectral - Hyperspectral reflectance - Linear regression models - Multiple stepwise regression - Partial least squares regression models - Retrieval models - Yunnan province","483.1 Soils and Soil Mechanics - 921.3 Mathematical Transformations - 921.6 Numerical Methods - 922.2 Mathematical Statistics - 944.2 Moisture Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Mathematical Modeling Analysis of Operation Strategy after External Transmission Line Series Compensation","20181004863026","Feng, Peilei (1); Xu, Tianqi (1); Liu, Xiaoxin (2); Jan, Lisheng (2); Dai, Xiaozhong (2); Cai, Pengcheng (3) ","(1) School of Electrical and Information Technology, Yunnan Minzu University, Kunming; 650500, China (2) Nujiang Grid Bureau, Yunnan Grid Corporation Limited, Nujiang State; 673100, China (3) School of Electrical and Information Technology, Shanghai Dian Ji University, Shanghai; 200000, China ","Liu, Xiaoxin(2436353648@qq.com) ","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","","Institute of Physics Publishing","108","5","","January 30, 2018","2017 3rd International Conference on Environmental Science and Material Application, ESMA 2017 - 4. Energy Science and Engineering","5 of 5","2018","English","17551307","17551315","","","10.1088/1755-1315/108/5/052093","052093","2017 3rd International Conference on Environmental Science and Material Application, ESMA 2017","November 25, 2017 - November 26, 2017","Chongqing, China","134810","","Conference article (CA)","Nujiang power grid is at the end of the Yunnan power grid, which is the side of power supply. Due to the regional restrictions and the lag of economic development and other factors, the structure of the power grid in Nujiang is relatively weak, and the voltage of the regional power grid is more prominent. Based on analysis on voltage exceeding limits of Nujiang different power grid, combined with the operating characteristics of regional power grid and reactive power compensation measures, this paper proposes measures for adjustment of Nujiang grid voltage, and analyses the result of adjustment of voltage exceeding limits, which can effectively improve the voltage and power quality. © Published under licence by IOP Publishing Ltd.","4","Electric power transmission networks","Electric power system economics - Electric power system interconnection - Environmental engineering - Quality control - Reactive power","Economic development - External transmission lines - Operating characteristics - Operation strategy - Reactive power compensation - Regional power grids - Voltage exceeding - Yunnan power grid","706.1 Electric Power Systems - 706.1.1 Electric Power Transmission - 913.3 Quality Assurance and Control",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Molecular and pathogenic variation identified among isolates of corynespora cassiicola","20093212236972","Qi, Yanxiang (1); Xie, Yixian (2); Zhang, Xin (2); Pu, Jinji (2); Zhang, Huiqiang (2); Huang, Siliang (1, 3); Zhang, He (2) ","(1) College of Life Science and Technology, Guangxi University, Nanning, Guangxi 530004, China (2) Hainan Key Laboratory of Monitoring and Management of Pest of Tropical Agriculture, Environment and Plant Protection Institute, Chinese Academy of Tropical Agricultural Sciences, Danzhou, Hainan 571737, China (3) Nanyang Normal University, Nanyang, Henan 473061, China ","Qi, Y.(qiyanxiang@126.com) ","Molecular Biotechnology","Mol. Biotechnol.","","Humana Press","41","2","145-151","February 2009","","","2009","English","10736085","","","","10.1007/s12033-008-9109-9","","","","","","","Journal article (JA)","Pathogenicity tests and inter simple sequence repeat (ISSR) molecular fingerprinting markers were utilized to analyze 24 Corynespora cassiicola isolates obtained from a lot of Hevea clones grown in most rubber nurseries and a few plantations in China. The C. cassiicola isolates were collected from Hainan and Yunnan provinces, China, from 2006 to 2008. The assay of 24 C. cassiicola isolates on detached leaves of four different Hevea rubber clones (genotypes PR 107, Dafeng 95, RRIM 600, and Reyan 7-33-97) indicated that 23 of the isolates were susceptible to RRIM 600, and were therefore considered race 1 except for CC-023. ISSR analysis grouped 24 C. cassiicola isolates into four clusters (A, B, C, and D). Unweighted pair-group method with arithmetic averaging (UPGMA) analysis based on Nei and Li's coefficient (calculated from the binary matrix data of 103 DNA fragments generated from 16 ISSR primers) indicated that cluster A included 19 isolates from Hainan and Yunnan (this cluster was further divided into two sub clusters (I, II), sub cluster II contained isolate CC-023); clusters B and C comprised of 1 isolates from Hainan, respectively; while cluster D encompassed 3 isolates from Hainan and Yunnan. Pathogenicity tests and ISSR analysis showed that there was no correlation between race structure, the geographical origin of the pathogen and their ISSR clusters because 23 of the isolates belonging to four distinct clusters were considered race 1 except for isolate CC-023. However, most of the isolates with different pathogenicity levels shared the same clades, and furthermore, the ISSR clusters and cology color had an exact correlation. These results should facilitate the development of rubber clones with enhanced resistance against all genetic clusters of C. cassiicola. © 2008 Humana Press.","41","Rubber plantations","Cloning - DNA sequences - Rubber","Arithmetic averaging - Corynespora cassiicola - Genetic diversity - Geographical origins - Inter-simple sequence repeats - Molecular fingerprinting - Pathogenicity - Yunnan province","461.2 Biological Materials and Tissue Engineering - 461.8.1 Genetic Engineering - 818.1 Natural Rubber",,"Number: -, Acronym: MOST, Sponsor: Ministry of Science and Technology, Government of the People&rsquo;s Republic of Bangladesh; ","Acknowledgment The research was supported by the grant nyhyzx07-033 from the Ministry of Agriculture, the People’s Republic of China.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Soil-to-mushroom transfer and diversity in total mercury content in two edible Laccaria mushrooms","20163902837052","Kojta, Anna K. (1); Falandysz, Jerzy (1) ","(1) Laboratory of Environmental Chemistry and Ecotoxicology, Gdask University, 63 Wita Stwosza Str., Gdask; 80-952, Poland ","Kojta, Anna K.(annakojta@gmail.com) ","Environmental Earth Sciences","Environ. Earth Sci.","","Springer Verlag","75","18","","September 1, 2016","","","2016","English","18666280","18666299","","","10.1007/s12665-016-6072-9","1264","","","","","","Journal article (JA)","Transfer factor and distribution of mercury were determined for Laccaria amethystina and Laccaria laccata growing in two distantly localized regions of the world and with different status of geogenic mercury. Mushrooms and soil were sampled in Poland in 2001–2013 and in the Yuxi region of Yunnan Province in China in 2013. The mushroom L. laccata was a more efficient accumulator of mercury than L. amethystina. Total mercury contents of whole fruiting bodies of L. amethystina and L. laccata at most sampling sites in Poland were low, i.e., around 0.02–0.1 mg kg−1dry matter. For L. laccata from the Yuxi County of Yunnan province in China, Hg was at around 0.04 mg kg−1dry matter. The median soil-to-mushroom transfer factors that are by some researchers also called bioconcentration factors calculated for L. amethystina were below 1, and for L. laccata they were from 3 to 20. The levels of contamination with mercury of both species do not pose toxicological problems, even if these species are consumed by mushroom fanciers in large amounts. © 2016, The Author(s).","52","Chemical contamination","Bioaccumulation - Fungi - Mercury (metal) - Soils","Bio-concentration factors - Bioconcentration - Fruiting bodies - Organic foods - Total mercuries - Transfer Factor - Wild-growing mushrooms - Yunnan province","461.9 Biology - 483.1 Soils and Soil Mechanics - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 822.3 Food Products",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"RETRACTED ARTICLE: The discussion on continuance of urbanized-drafted farmer's social old-age insurance design","20104813438891","Yang, Li (1); Chen, Ying (1) ","(1) Faculty of Management and Economics, Kunming University of Science and Technology, Kunming, China ","Yang, L.(yl642@sina.com) ","2010 International Conference on Management and Service Science, MASS 2010","Int. Conf. Manage. Serv. Sci., MASS","","IEEE Computer Society","","","","2010","2010 International Conference on Management and Service Science, MASS 2010","","2010","English","","","","9781424453269","10.1109/ICMSS.2010.5576966","5576966","","","","","","Conference article (CA)","The social old-age insurance of urbanized-drafted farmer is implemented 'three point' raising pattern in the majority area of our country, and the majority places mainly use the basic social security old-age insurance pattern. However, there exists many problems in reality, for example, drafted farmer's enthusiasm to senate the guarantee, the senate guarantees rate and so on. Through investigate and study farmer social old-age insurance experiment site area of Yunnan Province - Chenggong County in Kunming, the author carry on the discussion on the existed problems, which discovered in the implementary procession of drafted farmers' social old-age insurance. © 2010 IEEE.","14","Agriculture","Economic and social effects - Insurance","Old age - Social Security - The drafted farmer - Urbanization - Yunnan province","821 Agricultural Equipment and Methods; Vegetation and Pest Control - 971 Social Sciences",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of comprehensive landing method during the rectification for the brick-concrete buildings in soft soil area","20155101678253","Xiao-nan, Zhang (1); San-yuan, Shi (1); Xiao-lei, Wang (1); Hong-yu, Zhao (2) ","(1) School of Civil Engineering, Hebei University of Engineering, Handan, China (2) School of Arts, Hebei University of Engineering, Handan, China ","Xiao-nan, Zhang(zxn863726147@163.com) ","Open Civil Engineering Journal","Open Civ. Eng. J.","","Bentham Science Publishers B.V., P.O. Box 294, Bussum, 1400 AG, Netherlands","9","1","550-556","2015","","","2015","English","","18741495","","","10.2174/1874149501509010550","","","","","","","Journal article (JA)","This paper first analyzes the tilting reasons of a brick-concrete building in Yunnan province in China. Then, a comprehensive rectification method which combines the stress release method and the excavation of stress release trench was put forward. This method uses the anchor static pile in order to guarantee the safety of the building in the process of rectifying. The practice case showed that the inclination rate of the building returned to 3 % from 14.4 %, which proved the efficiency of the proposed method. © Xiao-nan et al.; Licensee Bentham Open .","14","Brick","Concrete buildings - Concretes - Piles - Reinforcement","Forced landings - Rectification - Soft soil area - Soft soils - Stress release - Stress release method - Yunnan province","408.2 Structural Members and Shapes - 412 Concrete - 414.2 Brick Materials - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Nanaomycin A methyl ester, an actinomycete metabolite: Algicidal activity and the physiological response of Microcystis aeruginosa","20131316149844","Feng, Yang (1); Chang, Xuexiu (1); Zhao, Lixing (2); Li, Xiuping (2); Li, Wenjun (2); Jiang, Yi (2) ","(1) Institute of Environmental Science and Ecological Restoration, Yunnan University, No. 2 Cuihu North Road, Kunming 650091, China (2) Yunnan Institute of Microbiology, Yunnan University, No. 2 Cuihu North Road, Kunming 650091, China ","Chang, X.(changxx@ynu.edu.cn) ","Ecological Engineering","Ecol. Eng.","","Elsevier B.V.","53","","306-312","April 2013","","","2013","English","09258574","","","","10.1016/j.ecoleng.2012.12.066","","","","","","ECENEL","Journal article (JA)","Harmful cyanobacterial blooms and their negative impacts on water ecosystems and human health have been reported all over the world, and Microcystis aeruginosa is one of the most dominant and ecologically damaging species in eutrophic lakes such as Dianchi Lake and Taihu Lake in China. Although physical or chemical control of the blooms is possible in short period, these methods could cause other problems. Thus, there is still a need for research on biological factors controlling cyanobacteria blooms. We screened part of the Yunnan University actinomycete strain library and found that the extract of Streptomyces hebeiensis YIM 001Texhibited obvious inhibition on M. aeruginosa. The main component - nanaomycin A methyl ester (NAME) was isolated at a level of 20mgL-1by scale-up fermentation. Lytic mechanism experiments of NAME on M. aeruginosa demonstrated it could effectively inhibit the growth of M. aeruginosa (EC50at 72h=2.97mgL-1), hinder cell division and enlarge cell size. NAME damaged M. aeruginosa cells as evidenced by decreases in algal activity, biomass, esterase activity and chlorophyll-a content. The SOD activity of the treated cells initially increased, and then decreased together with a gradual increase in both O2-and malondialdehyde (MDA) content, consistent with inhibitory effects of NAME due to lipid peroxidation damage of the algal cell membrane. The results suggest that NAME is effective for controlling undesired cyanobacteria and the Chl-fluorescence is a potential endpoint to assay the NAME eco-toxicity on cyanobacteria. © 2012 Elsevier B.V..","63","Bacteria","Cell proliferation - Cells - Cytology - Ecology - Esters - Flow cytometry - Hydrogeology - Lakes - Metabolites - Physiological models - Physiology - Plants (botany) - Toxicity","Algicidal activity - Cyanobacteria blooms - Cyanobacterial blooms - Esterase activities - Methyl esters - Microcystis aeruginosa - Physiological response - Scale-up fermentations","454.3 Ecology and Ecosystems - 461 Bioengineering and Biology - 481.1 Geology - 741.3 Optical Devices and Systems - 804.1 Organic Compounds",,"Number: -, Acronym: -, Sponsor: Haixi Institute, Chinese Academy of Sciences; Number: 21062028, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31260138, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: U0833604, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","We thank Dr. Geoff Horsman (Wilfrid Laurier University, Canada) for his constructive comments, and Kunming Institute of Zoology Chinese Academy of Science, especially Jian Li, for FCM measurement. This research was supported by the China Scholarship Council and National Natural Science Foundation of China (Nos. 31260138 , U0833604 and 21062028 ).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of comprehensive landing method during the rectification for the brick-concrete buildings in soft soil area","20163902850050","Xiao-Nan, Zhang (1); San-Yuan, Shi (1); Xiao-Lei, Wang (1); Hong-Yu, Zhao (2) ","(1) School of Civil Engineering, Hebei University of Engineering, Handan; 056038, China (2) School of Arts, Hebei University of Engineering, Handan; 056038, China ","Xiao-Nan, Zhang(zxn863726147@163.com) ","Open Civil Engineering Journal","Open Civ. Eng. J.","","Bentham Science Publishers B.V., P.O. Box 294, Bussum, 1400 AG, Netherlands","9","1","550-556","2015","","","2015","English","","18741495","","","","","","","","","","Journal article (JA)","This paper first analyzes the tilting reasons of a brick-concrete building in Yunnan province in China. Then, a comprehensive rectification method which combines the stress release method and the excavation of stress release trench was put forward. This method uses the anchor static pile in order to guarantee the safety of the building in the process of rectifying. The practice case showed that the inclination rate of the building returned to 3 % from 14.4 %, which proved the efficiency of the proposed method. © Xiao-nan et al.","14","Brick","Concrete buildings - Concretes - Landing - Piles - Reinforcement","Forced landings - Rectification - Soft soil area - Soft soils - Stress release - Stress release method - Yunnan province","408.2 Structural Members and Shapes - 412 Concrete - 414.2 Brick Materials - 951 Materials Science",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Application of fuzzy clustering iterative model and sorting algorithm in comprehensive evaluation of logistics development","20102312981898","Zhang, Xiaowei (1); Yu, Xuefeng (1) ","(1) School of Hydraulic and Electric Engineering, Heilongjiang University, Harbin 150086, China ","Yu, X.(xuef_yu@163.com) ","2010 International Conference on Logistics Systems and Intelligent Management, ICLSIM 2010","Int. Conf. Logist. Syst. Intelligent Manage., ICLSIM","","IEEE Computer Society","3","","1882-1886","2010","2010 International Conference on Logistics Systems and Intelligent Management, ICLSIM 2010","","2010","English","","","","9781424473311","10.1109/ICLSIM.2010.5461303","5461303","2010 International Conference on Logistics Systems and Intelligent Management, ICLSIM 2010","January 9, 2010 - January 10, 2010","Harbin, China","80493","","Conference article (CA)","Based on the fuzzy clustering iterative model (FCIM) established by Chen, a new sorting algorithm (SA) is proposed. The SA gives not only the classification of samples, but also the sample sort. The method is applied to the logistics divisions of 16 states of Yunnan province in China. The FCIM and the SA bring out more advantages and practical value. The division-result corresponds with the regional features of Yunnan. The calculation is simple, and the analysis of results is reasonable and reliable. ©2010 IEEE.","15","Iterative methods","Fuzzy clustering","Comprehensive evaluation - Iterative model - Logistics development - Logistics management - Regional feature - Relative membership degrees - Sorting algorithm - Yunnan province","723 Computer Software, Data Handling and Applications - 921.6 Numerical Methods",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochemical Characteristic of Sandstones from the Mangbang Formation in the Husa Basin, Western Yuannan, and Its Constraints on Provenances and Tectonic Setting","20173604131530","Zhang, Jianjun (1, 2); Mou, Chuanlong (3); Zhou, Kenken (3); Feng, Lixia (4); Wu, Hao (3); Chen, Xiaowei (3) ","(1) Chinese Academy Of Geological Sciences, Beijing; 100037, China (2) China University of Geosciences, Beijing; 100083, China (3) Chengdu Geological Survey Center, Chengdu; 610081, China (4) Peking University, Beijing; 100871, China ","Mou, Chuanlong(cdmchuanlong@163.com) ","Dizhi Xuebao/Acta Geologica Sinica","Dizhi Xuebao/Acta Geol. Sinica","","Geological Society of China","91","5","1083-1096","May 15, 2017","","","2017","Chinese","00015717","","","","","","","","","","","Journal article (JA)","Geochemical analysis was conducted in this study for sandstones samples from the Mangbang Formation in the Husa basin, western Yunnan. The analysis results show that sandstones from the Mangbang Formation mainly comprise of feldspar sandstone and greywacke sandstone as well as minor shale, and the mineral assemblage mainly contains quartz, K-feldspar, plagioclase and illite. The sandsontes have a consistent REE pattern, enrichment of LREE relative to HREE, with LREE/HREE of 9.75~15.91 (averaging 13.24) and (La/Yb)Nof 13.06~26.41 (averaging 19.21). The SiO2/Al2O3ratio of 2.06~6.01 and index of the chemistry variation (ICV) of 0.54~1.09 together with the features of sedimentation make it clear that these sandstones resulted from recycling deposition in the passive tectonic setting, rather than the first cycle of sediments due to the relatively strong weathering. Furthermore, the Th/U values of 5.44~12.10% and CIA of 59~76 reflect a chemical weathering environment of medium intensity in warm and moist climate. A/CNK discrimination diagram shows that the sandstone clastics have a higher content of K-feldspar relative to plagioclase and low CIA value due to metasomation. The Th/Sc ratio of 4.43~25.35 (averaging 8.18) and the diagrams of Co/Th versus La/Sc, K2O versus Re, and La/Yb versus ΣREE all suggest that sandstones in the study area were mainly derived from the previously formed granites. Besides, the tectonic discrimination diagrams of TiO2versus Fe2O3T+MgO, Al2O3/(Cao+Na2O) versus Fe2O3T+MgO, K2O/Na2O versus SiO2, and La-Th-Sc all reflect that these granites were formed in the setting of passive continental margin and possibly corresponded to the long term steady state of the Meso-Tethys Ocean which has been open during the Late Jurassic to Early Cretaceous. The Husa basin was formed due to the extension along the previous Husa transpressional fault and started to deposition sourced from the peripheral granites during this period. © 2017, Science Press. All right reserved.","61","Sandstone","Alumina - Aluminum oxide - Analytical geochemistry - Feldspar - Geochemistry - Granite - Hematite - Magnesia - Rhenium compounds - Sedimentation - Silica - Silicon alloys - Sodium alloys - Sodium compounds - Structural geology - Tectonics - Titanium dioxide - Weathering - Ytterbium compounds","Discrimination diagram - Geochemical analysis - Geochemical characteristic - Husa basin - Passive continental margin - Provenance - Tectonic settings - Western yunnan","481.1 Geology - 481.2 Geochemistry - 482.2 Minerals - 549.1 Alkali Metals - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 802.3 Chemical Operations - 804.2 Inorganic Compounds",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on collaborative innovation effectiveness of knowledge team of heterogeneity based on fuzzy comprehensive evaluation","20140717333945","Wencai, Yang (1); Lei, Wang (1); Jianwen, Ruan (1); Xiuying, Tang (1); Ru, Shang (1); Qi, Xi (1) ","(1) College of Engineering Technology, Yunnan Agricultural University, 650201, Kunming, China ","","Proceedings of 2013 6th International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2013","Proc. Int. Conf. Inf. Manage., Innov. Manage. Ind. Eng., ICIII","","IEEE Computer Society","1","","451-454","2013","Proceedings of 2013 6th International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2013","","2013","English","","","","9781479939855","10.1109/ICIII.2013.6702971","6702971","2013 6th International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2013","November 23, 2013 - November 24, 2013","Xi'an, China","102493","","Conference article (CA)","In order to evaluate the collaborative innovation effectiveness of university research team in Yunnan, this paper first builds the collection of evaluation that V={V1, V2, V3, V4}stands for {excellent, good, medium, poor} based on evaluation index system of collaborative innovation effectiveness of knowledge team of heterogeneity which the group developed before, second collects data from teachers who host or participate in provincial or national projects, and then processes the data in fuzzy comprehensive evaluation method. The results show, the overall collaborative innovation effectiveness of university research team in Yunnan is relatively low, the rates are excellent, good, medium, poor is 0.25,0.21,0.20,0.35 in turn. © 2013 IEEE.","3","Fuzzy set theory","Information management - Teaching","Collaborative innovation - Effectiveness of knowledge - Evaluation index system - Fuzzy comprehensive evaluation - Fuzzy comprehensive evaluation method - knowledge team of heterogeneity - National projects - University research","921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
