Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Model predictive control for variable speed limit in freeway work zone","20084011616136","Long, Kejun (1); Yun, Meiping (2); Zheng, Jianlong (1); Yang, Xiaoguang (2) ","(1) School of Traffic and Transportation, Changsha University of Science and Technology, Changsha 410076, China (2) Department of Traffic Engineering, Tongji University, Shanghai, 201804, China ","Long, K.(lonkj@vip.sohu.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","488-493","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605219","4605219","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A new model for variable speed limit in freeway work zone was presented. Model predictive control was applied to optimizing variable speed limit in freeway work zone. The classic macroscopic traffic model METANET was a little modified for simulating the traffic in the work zone, considering the effect of speed limit. One new optimization model for solving the optimal variable speed was proposed, which is a real-time nonlinear controlling model. In the optimization model, the objective function considers efficiency and safety by minimizing the total time spent (TTS) and the speed variation. To solve this optimization model, discretization for time horizon was conducted firstly; on every control time step, SQP algorithm was applied to solve the nonlinear programming in the next; the optimization results were integer conversion for the real speed limit displayed. One example was conducted to prove the efficiency of the proposed model. And some valuable conclusion was obtained.","20","Model predictive control","Accident prevention - Efficiency - Integer programming - Nonlinear programming - Speed - Speed control","Discretizations - Macroscopic traffic modeling - Objective functions - Optimal variables - Optimization modeling - Speed variations - Variable speed limits - Work zones","731.3 Specific Variables Control - 913.1 Production Engineering - 914.1 Accidents and Accident Prevention - 921.5 Optimization Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The role of informal control in governing team knowledge integration: In the perspective of trust orientation","20084011616592","Zhang, Pengcheng (1); Zhang, Libin (2) ","(1) College of Management, Huazhong University of Science and Technology, Wuhan 430074, China (2) College of Economics, South-Central University for Nationalities, Wuhan 430074, China ","Zhang, P.(zhangpch@mail.hust.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","794-798","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605571","4605571","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","It is vital to improve knowledge integration efficiency for sake of team effectiveness. Informal control could adjust knowledge with different characteristic through people's view instead of formal intervention. Based on combination of Williamson's transaction theory and knowledge based view, this paper suggested three types of trust orientation inclusive of market type, authority type and consensus type and analyzed the role of trust orientation in governing team knowledge integration. Finally, result if empirical study indicated that interdependency and tacitness of knowledge could be governed by trust, while appropriate not; consensus trust had the greater impact than authority trust, however, market trust could not have significant effects.","10","Integration","Commerce - Knowledge based systems","Empirical studies - Governance mechanisms - Informal controls - Knowledge integration - Knowledge-based views - Team - Team effectiveness - Team knowledge","723.4.1 Expert Systems - 921.2 Calculus",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Adaptive control of DC-DC converters based on input equivalent disturbance","20084011616109","Hu, Wenjin (1, 2); Zhou, Donghua (2) ","(1) Department of Electronic Information Engineering, Chongqing University of Science and Technology, Chongqing 401331, China (2) Department of Automation, TsingHua University, Beijing 100084, China ","Hu, W.(hwjok@126.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","38-42","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605189","4605189","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","DC-DC converter is a class of variable-structure nonlinear time-varying systems, conventional control algorithm is difficult to achieve satisfactory steady and dynamic performance. Taking buck converter as a study object, this paper realizes an adaptive controller for DC-DC converter by online estimating the input equivalent disturbance caused by its inaccurate parameters by use of strong tracking filter, and by correcting control variables of generalized generic model control to compensate effects of time-varying parameters and unknown disturbance. Simulation results testify this adaptive DC-DC converter has a good robustness and control performance while input voltage, reference voltage, load or other parameter changes.","12","DC-DC converters","Adaptive control systems - Electric inverters - Time varying control systems","Adaptive Control - Adaptive controllers - Conventional control - Dynamic performance - Generalized generic model - Input equivalent disturbance - Strong tracking filter - Time varying parameter","704.1 Electric Components - 731.1 Control Systems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Sliding mode PID-controller design for robot manipulators by using fuzzy tuning approach","20084011616429","Mohammad, Ataei (1); Ehsan, Shafiei S. (2) ","(1) Electronic Department, Engineering Faculty, University of Isfahan, Isfahan, Iran (2) Electrical and Robotic Engineering Faculty, Shahrood University of Technology, Shahrood, Iran ","Mohammad, A.(mataei1971@yahoo.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","170-174","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605499","4605499","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","In this paper, a chattering free sliding mode control (SMC) for a robot manipulator including PID part with a fuzzy tunable gain is designed. The main idea is that the robustness property of SMC and good response characteristics of PID are combined with fuzzy tuning gain approach to achieve more acceptable performance. For this purpose, in the first stage, a PID sliding surface is considered such that the robot dynamic equations can be rewritten in terms of sliding surface and its derivative and the related control law of the SMC design will contain a PID part. The stability guarantee of this sliding mode PID-controller is proved by a lemma using direct Lyapunov method. Then, in the second stage, in order to decrease the reaching time to the sliding surface and deleting the oscillations of the response, a fuzzy tuning system is used for adjusting both controller gains including sliding controller gain parameter and PID coefficient. Finally, the proposed methodology is applied to a two-link robot manipulator including model uncertainty and external disturbances as a case study. The simulation results show the improvements of the results in the case of using the proposed method in comparison with the conventional SMC.","18","Controllers","Electric control equipment - Flexible manipulators - Fuzzy control - Industrial robots - Lyapunov methods - Machine design - Modular robots - Proportional control systems - Robot applications - Sliding mode control - Three term control systems - Uncertainty analysis","Acceptable performance - Direct Lyapunov methods - External disturbances - Lyapunov theories - Response characteristic - Robot manipulator - Robustness properties - Two-link robot manipulators","601 Mechanical Design - 731 Automatic Control Principles and Applications - 732.1 Control Equipment - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Short-term traffic flow forecasting model based on elman neural network","20084011616171","Zhao, Jianyu (1); Gao, Hui (1); Jia, Lei (2) ","(1) School of Control Science and Engineering, University of Jinan, Jinan 250022, China (2) School of Control Science and Engineering, Shandong University, Jinan 250061, China ","Zhao, J.(cse_zjy@ujn.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","499-502","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605255","4605255","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The real time adaptive control of urban traffic, as a complex large system, usually needs to know the traffic of every intersection in advance. So traffic flow forecasting is a key problem in the real time adaptive control of urban traffic. A kind of typical truck multi- intersection section of city road is researched in this paper. A dynamic recursion network which is called Elman neutral network model is presented. Because of its dynamic memory, the proposed recurrent model can predict traffic flow fast and correctly in the condition of smaller network size or fewer neurons. BP algorithm is used to determine the weights of Elman NN model respectively. The method enhances training speed and mapping accurate. The simulation results show the effectiveness of the model.","11","Street traffic control","Adaptive control systems - Forecasting","Elman neural network - Forecasting modeling - Neutral network - Real-time adaptive control - Recurrent models - Short-term traffic flow forecasting - Traffic flow - Traffic flow forecasting","406.2 Roads and Streets - 731.1 Control Systems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Particle swarm optimization based PI controller for freeway ramp metering","20084011616284","Fan, Yekun (1); Liang, Xinrong (1, 2) ","(1) School of Information, Wuyi University, Jiangmen, 529020, China (2) College of Automation, South China University of Technology, Guangzhou 510640, China ","Fan, Y.(gzfyk@126.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","503-506","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605373","4605373","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A PI (Proportional-Integral) control method based on particle swarm optimization (PSO) is proposed to regulate the number of vehicles entering a freeway entrance point. First, the objective of ramp metering is determined, and the freeway traffic flow model is built. Then the particle swarm algorithm is formulated. In conjunction with nonlinear feedback theory, PSO based PI controller for on-ramp metering is designed. Finally, the controller is simulated in MATLAB software. The result shows that the controller designed has fast response, and good dynamic and steady-state performance. This method has a good effect on freeway ramp metering.","6","Particle swarm optimization (PSO)","Controllers - Highway systems - Highway traffic control - MATLAB - Nonlinear feedback - Traffic signals - Two term control systems","Freeway traffic flows - Matlab- software - Number of vehicles - On-ramp metering - Particle swarm algorithm - PI control - Ramp metering - Steady state performance","406.1 Highway Systems - 432.4 Highway Traffic Control - 723 Computer Software, Data Handling and Applications - 731.1 Control Systems - 732.1 Control Equipment - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Robust two-dimensional principle component analysis","20084011622764","Xu, Chunming (1); Jiang, Haibo (1); Yu, Jianjiang (2) ","(1) School of Mathematical Sciences, Yancheng Teachers University, Yancheng 22405, China (2) School of Information Science and Technology, Yancheng Teachers University, Yancheng 224002, China ","Xu, C.(ycxcm@126.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","452-455","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605066","4605066","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Two-dimensional principle component analysis (2DPCA) is a popular and fast feature extraction method. However, it doesn't consider the outliers of the training samples. To address this problem, we present robust two-dimensional principle component analysis algorithm (R2DPCA), which gives a new weighted method for the evaluation of the total squared error. The solution for R2DPCA is also given. The proposed method is tested on AR face database and ORL face database, and the experimental results indicate that it is more effective than two-dimensional principle component analysis (2DPCA).","11","Principal component analysis","Extraction - Face recognition - Feature extraction","Face database - Feature extraction methods - ORL face database - Principle component analysis - Total squared errors - Training sample - Weighted method","802.3 Chemical Operations - 922.2 Mathematical Statistics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"New Stochastic robust stability criteria for time-varying delay neural networks with Markovian jump parameters","20084011616053","Qiu, Jiqing (1); Shi, Peng (2); Yang, Hongjiu (1); Li, Li (1); Li, Jie (1) ","(1) College of Sciences, Hebei University of Science and Technology, Shijiazhuang 050018, China (2) Faculty of Advanced Technology, University of Glamorgan, Pontypridd CF37 1DL, United Kingdom ","Qiu, J.(qiujiqing@263.net) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","634-637","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605130","4605130","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","In this paper, the problem of stochastic robust stability of interval time-varying delay neural networks with Markovian jump parameters is investigated. The jumping parameters are modeled as a continuous-time, discrete-state Markov process. The linear factional uncertainty is considered, it means that a less conservative result will be obtained than using norm-bounded parameter uncertainties. And the derivative of the delay function can exceed one. Based on the Lyapunov-Krasovskii functional approach, a new delay-dependent stochastic stability criteria is presented in terms of linear matrix inequalities (LMIs). A numerical example is given to illustrate the effectiveness of the proposed method.","9","Stability criteria","Continuous time systems - Linear matrix inequalities - Lyapunov functions - Markov processes - Neural networks - Numerical methods - Robustness (control systems) - Stochastic systems - Time delay - Time varying control systems - Time varying networks","Delay-dependent stochastic stabilities - Interval time-varying delays - Linear factional uncertainties - Lyapunov-Krasovskii functionals - Markovian jump parameters - Norm bounded parameter uncertainty - Robust stability - Stochastic robust stability","703.1 Electric Networks - 713 Electronic Circuits - 731.1 Control Systems - 921 Mathematics - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"E-insensitizing boundary controls for semilinear wave equations","20084011616543","Yan, Yuqing (1) ","(1) Department of Mathematics, Zhejiang University of Technology, Hangzhou 310023, China ","Yan, Y.(yyqingcxx@yahoo.com.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","597-601","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605568","4605568","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","We consider the Ε- insensitizing boundary controllability of semilinear wave equations under the Lipschitz nonlinearity in a bounded domain of Rn. We deduce that the controllability problem to a unique continuation property for a cascade system of similinear wave equations.","11","Wave equations","Control nonlinearities","Boundary controllability - Boundary controls - Cascade systems - Controllability problems - Insensitizing controls - Lipschitz nonlinearities - Semilinear wave equations - Unique continuation property","731.1 Control Systems - 921.2 Calculus",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Nonparametric empirical Bayesian method for noncontractual setting of customer-base analysis","20194307587270","Ye, Gen (1); Wang, Songjian (1); Tang, Niansheng (1) ","(1) Yunnan Key Laboratory of Statistical Modeling and Data Analysis, Yunnan University, Kunming, China ","Tang, Niansheng(nstang@ynu.edu.cn) ","Communications in Statistics: Simulation and Computation","Commun. Stat. Simul. Comput.","","Taylor and Francis Inc., 325 Chestnut St, Suite 800, Philadelphia, PA 19106, United States","","","","2019","","","2019","English","03610918","15324141","","10.1080/03610918.2019.1665687","","","","","","","Article in Press","In the noncontractual setting of customer-base analysis, heterogeneity parameters in purchase model and lifetime model are usually assumed to follow some familiar parametric distribution such as gamma or log-normal distribution. But, in many applications, these assumptions may be questionable because the true distributions of heterogeneity parameters are usually unknown. To this end, this paper relaxes these assumptions imposed on heterogeneity parameters to develop a nonparametric approach to purchase model and lifetime model, in which unknown distributions of heterogeneity parameters are approximated by a truncated Dirichlet process prior. A nonparametric empirical Bayesian method is developed to obtain Bayesian estimations of unknown parameters in the proposed nonparametric models. The blocked Gibbs sampler is presented to draw observations required for Bayesian inference from the corresponding posterior distributions of the components of parameters. Extensive simulation studies and a CDNOW data set are presented to illustrate the newly developed methodologies. © 2019, © 2019 Taylor & Francis Group, LLC.","16","Sales","Bayesian networks - Inference engines - Normal distribution","Customer-base analysis - Dirichlet process - Empirical Bayesian method - Lifetime models - Log-normal distribution - Non-parametric Bayesian - Nonparametric approaches - Parametric distributions","723.4.1 Expert Systems - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 922.1 Probability Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On the solitary wave and periodic wave solutions of the nonlinear drift-wave equation arising from magnetized plasmas","20115214640747","Hua, Cun-Cai (1) ","(1) School of Mathematics, Yunnan Normal University, Kunming, 650092, China ","Hua, C.-C.(cuncai-hua@139.com) ","Proceedings - 4th International Workshop on Chaos-Fractals Theories and Applications, IWCFTA 2011","Proc. - Int. Workshop Chaos-Fractals Theor. Appl., IWCFTA","City University of Hong Kong; Hangzhou Dianzi University; IEEE Circuits and Systems Society; National Science Foundation of China; Northeastern University","IEEE Computer Society","","","121-124","2011","Proceedings - 4th International Workshop on Chaos-Fractals Theories and Applications, IWCFTA 2011","","2011","English","","","9780769545608","10.1109/IWCFTA.2011.47","6093505","4th International Workshop on Chaos-Fractals Theories and Applications, IWCFTA 2011","October 19, 2011 - October 21, 2011","Hangzhou, Zhejiang, China","87807","","Conference article (CA)","In this paper, solitary wave and periodic wave solutions of the nonlinear drift-wave equation arising from magnetized plasmas are investigated based on the steady bifurcation and energy integral of the conservative dynamical system satisfied by the traveling waves. Conditions for the existence of solitary waves and periodic waves are given in terms of a bifurcation control parameter and the initial energy. Simplified formulations are obtained for the periodic wave solutions by developing an approximate method. © 2011 IEEE.","18","Wave equations","Bifurcation (mathematics) - Dynamical systems - Fractals - Magnetoplasma - Nonlinear equations - Plasma confinement - Plasma waves - Solitons","Approximate methods - Bifurcation control - Initial energy - Magnetized plasmas - Nonlinear drifts - Periodic wave solutions - Periodic waves - Traveling wave","921 Mathematics - 921.2 Calculus - 932.3 Plasma Physics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Spatial Heterogeneity of Vegetation in China","20073010709744","Huang, Daming (1); Wang, Yusheng (2); Shiyomi, Masae (3); Liu, Xiaoni (1); Song, Baimin (1); Chen, Jun (3); Shigeo, Takahashi (4); Hori, Yoshimichi (3); Yamamura, Yasuo (3) ","(1) Ecology Research Station, Department of Biological Sciences, Biotechnologym Tsinghua University, Beijing, 100084, China (2) Grassland Research Station, College of Animal Science and Technology, Northeast Agricultural University, Harbin, 150030, China (3) Faculty of Science, Ibaraki University, Bunkyo 2-1-1, Mito, 310-8512, Japan (4) National Institute of Livestock and Grassland Science, 768 Senbonmatsu, Nishinasuno, Tochigi, 329-2793, Japan ","Huang, D.(hdaming@mail.tsinghua.edu.cn) ","Tsinghua Science and Technology","Tsinghua Sci. Tech.","","Tsinghua University Press, Qinghuayuan, Haidian District, Beijing, 100084, China","12","4","424-434","August 2007","","","2007","English","10070214","","","10.1016/S1007-0214(07)70063-9","","","","","","TSTEF7","Journal article (JA)","The spatial heterogeneity and ecological characteristics of 74 vegetation types and the lack of vegetation type within the 9.6 million km2 of Chinese territory were studied using data from the China vegetation map. The analysis used 877 large quadrats 10 mm×10 mm (actual size 100 km×100 km), which covered about 8.77 million km2. Each large-quadrat was divided into four small 5 mm×5 mm quadrats (actual size 50 km×50 km). The frequency of occurrence of all vegetation types was recorded in each small quadrat. The survey using the Shiyomi method of vegetation analysis based on the beta-binomial distribution was adopted to describe the frequency of occurrence and spatial heterogeneity for each kind of vegetation. The weighted average heterogeneity of all the vegetation types in the landscape provides a measure of the landscape level heterogeneity which describes the spatial intricacy of the existing vegetation composition. The maximum spatial vegetation heterogeneity was 0.8620 in the frigid-temperate coniferous forest of Larix (V1), which dominates cold moist northeast China. The minimum spatial heterogeneity with a low occurrence was the Caragana tibetica in the gravel desert in the western Yellow River Hetao area. The minimum occurrence with a low spatial heterogeneity was the Monsoon rainforest on rock in Guangxi and Yunnan Provinces. The vegetation types on the Qing-Zang Plateau were found to be representative of Chinese vegetation because of the very high occurrence and spatial heterogeneity of these vegetation types. The weighted average of the heterogeneity was 0.677, while the vegetation diversity index was 3.29. © 2007 Tsinghua University Press.","27","Vegetation","Ecosystems - Forestry - Probability distributions - Rivers","Binomial distribution - Spatial heterogeneity - Vegetation diversity index","444.1 Surface Water - 454.3 Ecology and Ecosystems - 461.9 Biology - 821.0 Woodlands and Forestry - 922.1 Probability Theory","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Attractors for discretization of Ginzburg-Landau-BBM equations","2001226520501","Jiang, M.-R. ; Guo, B.-L. ","(1) Department of Mathematics, Yunnan University, Kunming 650091, China ","","Journal of Computational Mathematics","J Comput Math","","Inst. of Computational Mathematics and Sc./Eng. Computing","19","2","195-204","March 2001","","","2001","English","02549409","","","","","","","","","JCMMEB","Journal article (JA)","In this paper, Ginzburg-Landau equation coupled with BBM equation with periodic initial boundary value conditions are discreted by the finite difference method in spatial direction. Existence of the attractors for the spatially discreted Ginzburg-Landau-BBM equations is proved. For each mesh size, there exist attractors for the discretized system. Moreover, finite Hausdorff and fractal dimensions of the discrete attractors are obtained and the bounds are independent of the mesh sizes.","11",,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Analysis of multinational courier company's expansion in China market - Base on multi-player oligopoly model","20122015019857","Li, Yanfeng (1); Cao, Jie (1); Xiong, Dandan (1); Xu, Xiangjin (1); Cai, Yuanyuan (1); Li, Ming (1) ","(1) Institute of Commerce, Yunnan University of Finance and Economics, 650221, China ","Li, Y.(liyanfeng2001@163.com) ","Communications in Computer and Information Science","Commun. Comput. Info. Sci.","Nanyang Technological University; National Science Foundation of China; Shanghai Jiao Tong University","Springer Verlag","268 CCIS","PART 2","423-429","2012","Information and Business Intelligence - International Conference, IBI 2011, Proceedings","","2012","English","18650929","","9783642290862","10.1007/978-3-642-29087-9_65","","International Conference on Information and Business Intelligence, IBI 2011","December 23, 2011 - December 25, 2011","Chongqing, China","89725","","Conference article (CA)","Chinese state-owned and private express delivery companies are facing a strong impact from cross-border express delivery companies since the full liberalization of China's express delivery market from December 2005, therefore, the market share continued to decline. It can be expected, competition will be more and more fierce in China's express industry. This paper attempts to employ multi-player oligopoly model, reasons of the express industry's intense competition will be analyzed from an economic point of view, finally, suggestions will be given to courier companies to improve their competitive advantages. © 2012 Springer-Verlag Berlin Heidelberg.","6","Competition","Commerce - Information analysis","China markets - Competitive advantage - Cross-border - Express deliveries - Express industries - Market share - Multi-player oligopoly models","903.1 Information Sources and Analysis - 911.2 Industrial Economics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Network teaching system trial based on cloud computing","20134416937137","Xia, Yao Wen (1) ","(1) Institute of Information, Yunnan Normal University, Kunming, Yunnan Province, China ","Xia, Y. W.(xywen_km@sina.com) ","Advanced Materials Research","Adv. Mater. Res.","Trans tech publications inc.; Computer Science and Electronic Technology; BITS Narsampet; Universitatea Politehnica Din Bucuresti","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","756-759","","1903-1907","2013","Information Technology Applications in Industry, Computer Engineering and Materials Science","","2013","English","10226680","","9783037857700","10.4028/www.scientific.net/AMR.756-759.1903","","3rd International Conference on Materials Science and Information Technology, MSIT 2013","September 14, 2013 - September 15, 2013","Nanjing, Jiangsu, China","100389","","Conference article (CA)","Cloud computing is a new network application mode, with the arrival of the era of cloud computing, cloud computing technology has been applied to education in the field of network teaching practice. Based on the concept of cloud computing service level, on the basis of research, the cloud computing application to the university network teaching platform, then puts forward the implementation of the application scheme of cloud computing in the network remote teaching in a trial and application analysis of cloud computing and education field of education informatization with the positive influence. © (2013) Trans Tech Publications, Switzerland.","7","Cloud computing","Curricula - Information technology - Materials science","Application analysis - Cloud computing services - Cloud computing technologies - Computing applications - Curriculum designs - Network teaching - Network teaching platforms - Teaching practices","722.4 Digital Computers and Systems - 901.2 Education - 903 Information Science - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A new algorithm for overlapping community detection","20161102092814","Liu, Bingyu (1); Wang, Cuirong (1); Wang, Cong (1); Yuan, Ying (1) ","(1) College of Information Science and Engineering, Northeastern University, Shenyang, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","813-816","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279396","7279396","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Social networks exhibit an overlapping community structure. Detecting overlapping communities and overlapping nodes in social network is an active field of research. The algorithm OMO uses only the network structure to detect communities and does not require any external parameters. The proposed algorithm applies a novel genetic algorithm to cluster on nodes. A scalable encoding schema is designed and the number of communities can be automatically determined. Compared with the COPRA algorithm, experiments on four real networks validate the effectiveness and efficiency of the algorithm. © 2015 IEEE.","17","Clustering algorithms","Automation - Genetic algorithms","Community discoveries - Effectiveness and efficiencies - Multi objective algorithm - Network structures - Novel genetic algorithm - Overlapping communities - Overlapping community detections - Scalable encoding","731 Automatic Control Principles and Applications - 903.1 Information Sources and Analysis",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
