Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Broadband beam-forming based on optimal focusing frequency","20140417228810","Bi, Yang (1); Wang, Yingmin (1); Xiao, Haifeng (2) ","(1) College of Marine, Northwestern Polytechnical University, Xi'an, China (2) Department of Electrical Engineering, Xi'an aero university, Xi'an, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","9781479910274","10.1109/ICSPCC.2013.6663936","6663936","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","A broadband signal beam-forming using rotational signal subspace method based on the estimation of the optimal focusing frequency is proposed in this paper. This method is by determining the optimal focusing frequency, so that each subband of the broadband signal is focused on the optimal focusing frequency by using the focusing matrix, and then the conventional delay-and-sum beam-forming algorithm is employed to complete the constant beam width beam-forming. The simulation results show that, in the case of broadband, all the width of main beam array output, the sidelobe level and the beam pointing can keep in a constant value. © 2013 IEEE.","","15","Beamforming","Focusing - Frequency estimation - Mobile telecommunication systems","Beam pointing - Broadband beams - Broadband signal - Constant values - Delay and sum beam forming - Optimal focusing - Sidelobe levels - Signal subspace methods","711.2 Electromagnetic Waves in Relation to Various Structures",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A integrated navigation algorithm based on distributed Kalman filter","20161102093087","Zhang, Yonggang (1); Dang, Yuanfang (1); Li, Ning (1); Huang, Yulong (1) ","(1) Department of Automation, University of Harbin Engineering, Harbin, Heilongjiang Province, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2132-2135","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279640","7279640","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","A navigation algorithm based on the distributed Kalman filtering is proposed in this paper. Compared with the algorithm that based on the centralized Kalman filtering, the proposed method can overcome a lot of shortcomings of the integrated navigation algorithm based on centralized Kalman filtering with similar navigation accuracy. Illustrative simulation is also provided to show the efficiency of the proposed method. © 2015 IEEE.","","13","Kalman filters","Air navigation - Automation - Bandpass filters - Navigation","Centralized Kalman filtering - Distributed Kalman filters - Integrated navigation - Kalman-filtering - Navigation accuracy - Navigation algorithms","431.5 Air Navigation and Traffic Control - 703.2 Electric Filters - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Designing a compact hexacopter with gimballed lidar and powerful onboard Linux computer","20161102093073","Liew, Chun Fui (1); Yairi, Takehisa (1) ","(1) Graduate School of Engineering, University of Tokyo, Japan ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2523-2528","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279710","7279710","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Building a high-end aerial robot for research is a challenging task. Our aim in this paper is to design a compact hexacopter capable of high payload and has flexible gimbal and powerful onboard computer with $ 500. This hexacopter serves as a flying platform with great customizability, where different sensors can be mounted easily onto the hexacopter for new applications. We discuss our implementation details and preliminary insights during the development process. In addition, we also present our approach on designing a compact gimbal for two cameras, a lidar, and an ultrasonic sensor. Our latest design of gimbal is easy to customize and replicate. © 2015 IEEE.","","28","Automation","Antennas - Linux - Optical radar - Unmanned aerial vehicles (UAV)","Aerial robotics - Aerial robots - Customizability - Development process - Flying platforms - New applications - Onboard computers - Unmanned aerial systems","652.1 Aircraft, General - 716.2 Radar Systems and Equipment - 723 Computer Software, Data Handling and Applications - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Manifold preserving color editing based on superpixels","20161102093071","Zhu, Jibing (1); Wang, Qiang (1) ","(1) College of Computer and Technology, Zhejiang University, Hangzhou, Zhejiang Province, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","3089-3093","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279819","7279819","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","The image editing method based on manifold preserving demonstrates its stunning effect, but with the size of the image increased, the time complexity make this method impractical. In this paper, we proposed a method improving manifold preserving image editing by separating the image into superpixels. Firstly, the image is divided into a set of superpixels. Secondly, a mean target color value is computed over each superpixel by preserving the manifold structure. Finally, each pixel within the superpixel is assigned according the mean color value. Experiments show that the method improved the efficiency greatly, and support the color editing of images with large size. © 2015 IEEE.","","14","Superpixels","Automation - Color - Image enhancement - Pixels","Color values - Image editing - Manifold Preserving - Manifold structures - Target colors - Time complexity","731 Automatic Control Principles and Applications - 741.1 Light/Optics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design, modeling, simulation of a novel mechanical road tunnel energy harvesting system with hydraulic transaction","20161102093109","Zhang, Xingtian (1); Zhang, Zutao (1); Meng, Guanjun (1); Luo, Dianyuan (1) ","(1) School of Mechanical Engineering, Southwest Jiaotong University, Chengdu; 610031, China ","Zhang, Zutao(zzt@swjtu.edu.cn) ","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","726-730","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279380","7279380","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","This paper aims to design a tunnel road energy harvesting system, which is applied in the occasions around road tunnels such as the decelerating zones in front of road tunnels or downhill. This paper proposes design, modeling and simulation of a novel hydraulic road tunnel energy harvesting system for the purpose of harvesting energy from the road vehicle flows. The main improvement is the novel design of the mechanisms of capturing and storing energy through hydraulic principle and translating the two-way vertical movement of speed bump into one-direction rotation of DC motor. The simulating results proved its validity of proposed energy harvesting system with a high efficiency of 67.6%. © 2015 IEEE.","","12","Highway planning","Automation - DC motors - Energy harvesting - Hydraulics - Roads and streets - Tunnels","Energy harvesting systems - Harvesting energies - High-efficiency - Hydraulic principles - Model and simulation - Road tunnel - Simulation - Vertical movement","401.2 Tunnels and Tunneling - 406.2 Roads and Streets - 432.1 Highway Transportation, General - 525.5 Energy Conversion Issues - 632.1 Hydraulics - 705.3.2 DC Motors - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Wheeled welding robot design and seam tracking simulation based on optimization models","20161102092619","Yang, Zhi (1); Chen, Hao (1); Du, Jun (1); Hua, Liang (1) ","(1) Department of Electrical Engineering, University of Nantong, Seyuan 9, Jiangsu Province, China ","Du, Jun(du.j@ntu.edu.com) ","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2672-2676","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279737","7279737","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Given the pose adjustment and path planning of the welding mobile robot during seam tracking process, mobile welding robot and welding torch are studied. Kinematics modeling of the mobile welding robot is established, which is constrained with the slider moving area, welding torch length and so on. And then, physical System is designed and multi-objective optimization model is presented with the aims of improving the accuracy and velocity of seam tracking. According to the characteristics of seam tracking, a genetic algorithm is designed, including coding structure definition, the initial population generation and establishing the fitness function. The simulation is studied on MATLAB and the results demonstrate the effectiveness in the velocity and accuracy. © 2015 IEEE.","","14","Welding","Automation - Genetic algorithms - Industrial robots - Machine design - MATLAB - Motion planning - Multiobjective optimization - Robot applications - Robot programming","Coding structures - Initial population - Kinematics modeling - Mobile welding robot - Multi-objective optimization models - Optimization models - Seam tracking - Welding mobile robot","538.2 Welding - 601 Mechanical Design - 731 Automatic Control Principles and Applications - 921 Mathematics - 921.5 Optimization Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Reflection and refraction of plane acoustic waves at water-sediment interface","20140417228838","Li, Tongxu (1); Zhang, Xiaomin (1); Chen, Yu (2) ","(1) College of Marine, Northwestern Polytechnical University, Xi'an, China (2) College of City Zhejiang University, Hangzhou, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","9781479910274","10.1109/ICSPCC.2013.6663964","6663964","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","In this paper, the reflection and refraction of plane acoustic waves are studied for the case where the sediments are coarse sand, coarse silt and fine silt. The sediments are modeled based on the classical work of Biot who predicts three different kinds of attenuating waves but we only study the fast-wave. The prediction of reflection and refraction of plane acoustic waves at three different kinds of sediments shows that: the reflection loss of the coarse sand is the minimum, and the reflection loss of the fine silt is the maximum. The difference of the reflection loss among the three different sediments is larger than 4dB, and the fine silt changes sharply when the incident angle is 80° When the incident angle is within 50°, the refraction loss of the coarse sand is the maximum, and the refraction loss of the fine silt is the minimum. In general, there is an increasing trend of the reflection loss and refraction loss with the increase of frequency. © 2013 IEEE.","","8","Acoustic wave reflection","Acoustic waves - Reflection - Refraction - Sediments - Signal processing - Silt","Acoustic propagation - Coarse sands - Coarse silt - Incident angles - Plane acoustic waves - Reflection and refractions - Reflection loss - Water sediment interface","483 Soil Mechanics and Foundations - 483.1 Soils and Soil Mechanics - 716.1 Information Theory and Signal Processing - 751.1 Acoustic Waves",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design of a 3D motion simulator for respiration compensation study in stereotactic radiosurgery","20161102092934","Yu, Shumei (1); Dou, Meng (1); Zhang, Fengfeng (1); Sun, Rongchuan (1); Sun, Lining (1) ","(1) Robotics and Microsystem Research Centre, Soochow University, Suzhou, Jiangsu Province, China ","Sun, Rongchuan(sunrongchuan@suda.edu.cn) ","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2795-2798","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279761","7279761","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Human respiration hinders accurate tumor localization during stereotactic radiosurgery. Localization error makes the treatment unsatisfactory, such as inadequate irradiation to the tumor, and damages to the normal tissues near the tumor. To track the tumor motion caused by respiration, surrogates are used instead of real-time directly X ray imaging. However, this still can't avoid X-ray examination on human. For the sake of research on the relationship of surrogates and the tumor motion, we developed a 3D motion simulator which imitates the motions of surrogate and tumor. The motion of surrogate is provided by a 3D slide motion platform. The surrogate and 'tumor' are connected by a spring-based mechanism, to satisfy the nonlinear and latency relationship. Force analysis has been done with the spring-based mechanism, and open motion data of the surrogate and tumor have been used to test the design's validity. © 2015 IEEE.","","9","Tumors","Automation - Radiotherapy - Simulators","Human respiration - Localization errors - Motion platforms - Motion simulator - Respiration compensation - Stereotactic radiosurgery - Tumor localization - X ray examination","461.2 Biological Materials and Tissue Engineering - 461.6 Medicine and Pharmacology - 731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design of the crane anti-collision alarming system based on electric field measurement","20161102092702","Liu, Tiao (1); Xu, Xianglian (1); Tang, Xiaoqian (1); Liu, Ting (1); Huang, Gang (1) ","(1) School of Automation, Wuhan University of Technology, Wuhan, Hubei Province, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","2755-2759","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279753","7279753","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","The design of the crane anti-collision alarming system based on electric field measurement is introduced in this paper. The crane anti-collision alarming system consists of many electric field acquisition devices and an alarm device. The electric field acquisition devices are responsible for collecting the electric field value of each point. The alarming device can receive all the signals sent by the various electric field acquisition devices wirelessly, and then the different alarming information is given by judging the safe electric field value to ensure the safety of the working cranes in the occasion of the high-voltage transmission wire. © 2015 IEEE.","","12","Electric field measurement","Automation - Collision avoidance - Cranes - Electric fields - Mergers and acquisitions","Acquisition device - Alarming - Anti collision - High voltage transmissions - STM32","693.1 Cranes - 701.1 Electricity: Basic Concepts and Phenomena - 731 Automatic Control Principles and Applications - 914.1 Accidents and Accident Prevention - 942.2 Electric Variables Measurements",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Automation of retinal surgery: A shared control robotic system for laser ablation","20161102092740","Chng, Chin-Boon (1); Ho, Yvonne (1); Chui, Chee-Kong (1) ","(1) Department of Mechanical Engineering, University of Singapore, Singapore, Singapore ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1957-1962","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279609","7279609","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Automation in medical robotics has been a subject of contention in recent years, with the medical industry wary of adopting fully autonomous surgical systems. Without a consensus on the appropriate amount of automation, the surgeon should decide how best to utilize the system. Hence, this paper reports the design and development of a robotic system, capable of varying levels of automation, from a fully autonomous plan execution to shared or manual control. In this work, we focus primarily on shared control to improve the efficiency and effectiveness of laser retinal surgery. By allocating most of the information processing to the robotic system, the surgeon collaborates closely with the robotic system during execution of the surgical plan, reducing the risk of damage to the fovea and ablation of healthy retinal tissue, and improving surgical outcome. In our solution, the joystick of the laser machine with which the clinician uses to align the laser to target a specific pathology is held onto by both the clinician as well as by the robot. The non-permanent robotic attachment tracks the operator's motion and provides haptic cues to guide the operator's positioning of the laser beam based on the input surgical plan. A prototype system with algorithms for haptic feedback is described and was implemented. Experiments were performed to determine the feasibility of this shared control robotic system for retinal surgery. © 2015 IEEE.","","12","Robotic surgery","Ablation - Automation - Haptic interfaces - Laser ablation - Laser beams - Laser surgery - Ophthalmology - Robot programming - Robotics - Surgery","Automation in medicine - Collaborative control - Haptics - Medical robotics - Retinal surgery","461.6 Medicine and Pharmacology - 641.2 Heat Transfer - 722.2 Computer Peripheral Equipment - 731 Automatic Control Principles and Applications - 731.5 Robotics - 744.8 Laser Beam Interactions",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"3D path-following control for autonomous underwater vehicle based on adaptive backstepping sliding mode","20161102092660","Chu, Zhenzhong (1); Zhu, Daqi (1) ","(1) College of Information Engineering, Shanghai Maritime University, Shanghai, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1143-1147","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279458","7279458","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","The three-dimensional (3D) path-following control for autonomous underwater vehicle (AUV) based on adaptive backstepping sliding mode is studied in the paper. First, the design method of kinematics control law is given based on the guidance function. Then, according to the desired yaw angle, pitch angle and surge velocity, the design method of dynamics control law is given based on backstepping sliding mode. For the problem that the AUV dynamic model is unknown in the design of dynamic control law, the adaptive backstepping sliding mode control method based on RBF neural network is proposed, and the selection method of parameter learning rate based on the minimum disturbance thought is given. The simulation results demonstrate the effectiveness of the proposed methods. © 2015 IEEE.","","10","Autonomous underwater vehicles","Adaptive control systems - Automation - Backstepping - Control theory - Design - Sliding mode control","Adaptive back-stepping - Adaptive backstepping sliding mode controls - Adaptive Control - Autonomous underwater vehicles (AUV) - Back-stepping controls - Path following - Threedimensional (3-d) - Underwater vehicles","731 Automatic Control Principles and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","20125015790272","",,"","Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","Proc. Int. Conf. Inf. Manage., Innov. Manage. Ind. Eng., ICIII","","IEEE Computer Society, 2001 L Street N.W., Suite 700, Washington, DC 20036-4928, United States","1","","","2012","Proceeding of 2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","1 of 3","2012","English","","","9781467319324","","","2012 International Conference on Information Management, Innovation Management and Industrial Engineering, ICIII 2012","October 20, 2012 - October 21, 2012","Sanya, China","94227","","Conference proceeding (CP)","The proceedings contain 399 papers. The topics discussed include: orthonormal wavelet-based contourlet transform coding using an EBCOT-like algorithm; empirical research on interaction between electronic commerce adoption and effect evaluation in China SMEs; recommended cultural and business practices for project based software organization of Pakistan for supporting restructuring of functional organization for implementing agile based development framework in software projects; application of Monte-Carlo method in quantitative risk analysis for research project; positive analysis on the relationship between fixed assets investment and business income of the telecommunication; a hybrid strategy for the quadratic assignment problem; pricing options in a mixed fractional double exponential jump-diffusion model with stochastic volatility and interest rates; and mechanism research on influencing factors of collaborative innovation effectiveness of Yunnan university research team.","(Edited Abstract)",,,,,,,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Double-channel compressive spectral imaging via complementary code patterns","20140417228948","Wang, Lizhi (1); Gao, Dahua (1, 2); Shi, Guangming (1); Niu, Yi (1) ","(1) School of Electronic Engineering, Xidian University, Xi'an, China (2) School of Science, Air Force Engineering University, Xi'an, China ","","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","IEEE Int. Conf. Signal Process., Commun. Comput., ICSPCC","'IEEE Xi'an'; IEEE Hong Kong Section","IEEE Computer Society","","","","2013","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","","2013","English","","","9781479910274","10.1109/ICSPCC.2013.6664074","6664074","2013 IEEE International Conference on Signal Processing, Communications and Computing, ICSPCC 2013","August 5, 2013 - August 8, 2013","Kunming, Yunnan, China","101981","","Conference article (CA)","With a single shot via 2D sensors Coded Aperture Snapshot Spectral Imaging (CASSI) system can restore 3D spatial-spectral images by solving a compressive sensing problem. But the shortage of measurements may lead to unfaithful reconstruction of 3D images. In addition due to the usage of random code aperture half of the energy is blocked which makes the imaging task more challengeable. In this paper we propose a double-channel spectral imaging system. The new framework adopts a beam splitter incorporated with two original CASSI systems employing a set of novel complementary code patterns. Complementary CS measurements are acquired in this framework. Furthermore to enhance the intensity of captured light we propose a more effective alternative solution based on digital-micromirror-device (DMD). All the incident light energy is captured by the sensors in the DMD-based framework. Simulation result shows that the proposed method significantly improves the performance of compressive spectral imaging. © 2013 IEEE.","","12","Spectroscopy","Codes (symbols) - Compressed sensing - Image reconstruction - Light","Alternative solutions - Complementary code - Compressive sensing - Digital micro-mirror device - Double channel - Snapshot spectral imaging - Spectral imaging - Spectral imaging system","716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing - 741.1 Light/Optics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An effective technique to find a robot joint trajectory of minimum global jerk and distance","20161102092928","Dong, Hang (1); Cong, Ming (1); Liu, Dong (1); Wang, Guifei (1) ","(1) Mechanical Engineering Department, Dalian University of Technology, Dalian; 116023, China ","","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","IEEE Int. Conf. Inf. Autom., ICIA - conjunction IEEE Int. Conf. Autom. Logist.","CAS Shenzhen Institute of Advanced Technology; Harbin Institute of Technology Shenzhen Graduate School; HIT State Key Laboratory of Robotics and Systems; IEEE Robotics and Automation Society; Shanghai Gaitech Scientific Instruments Co., Ltd.; The Chinese University of Hong Kong","Institute of Electrical and Electronics Engineers Inc.","","","1327-1330","September 28, 2015","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","1of1","2015","English","","","9781467391047","10.1109/ICInfA.2015.7279492","7279492","2015 IEEE International Conference on Information and Automation, ICIA 2015 - In conjunction with 2015 IEEE International Conference on Automation and Logistics","August 8, 2015 - August 10, 2015","Yunnan, China","116345","","Conference article (CA)","Minimum-jerk (MJ) trajectories introduce less robot vibrations and are desirable for their smooth movement, while Minimum-distance (MD) trajectories are required to limit both the expected and unexpected paths of robot manipulators. The combination of the MJ and MD trajectories provides an effective kinematic scheme for robotic applications. An approach based on time spacing optimization is developed to find the global minimum-jerk as well as minimum-distance trajectory of a robot manipulator within joint space using cubic splines, despite the fact that the manipulator dynamics as well as the obstacle avoidance are not taken into account. Cubic splines are used in a framework which guarantees the continuity of joint displacements, velocities and accelerations. Firstly, a minimax optimization problem is formulated by respecting the boundary conditions of the splines and the MJ and MD constraints. Then, the problem is solved by genetic algorithms based on time spacing analysis. After that, a global solution of the kinematic scheme is provided. Finally, a comparison is made between our results and that of an alternative MJ planner. © 2015 IEEE.","","10","Trajectories","Automation - Flexible manipulators - Genetic algorithms - Global optimization - Industrial robots - Interpolation - Kinematics - Modular robots - Robot applications","Global solutions - Joint space - Manipulator dynamics - Minimax optimization - Minimum distance - Minimum jerks - Robot manipulator - Robotic applications","731 Automatic Control Principles and Applications - 921.5 Optimization Techniques - 921.6 Numerical Methods - 931.1 Mechanics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
