Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"The Application of the Exhaustive Polling Theory in Intelligent Traffic System","20161602265912","Wang, Meng Yao (1); Ding, Hong Wei (1); Zhao, Yi Fan (1); Liang, Zhu Guan (1); Zhu, Long Zheng (1) ","(1) School of Informatics, Yunnan University, China ","Wang, Meng Yao(ayakazo@163.com) ","MATEC Web of Conferences","MATEC Web Conf.","HongKong Control Engineering and Information Science Research Association; International Frontiers of science and technology Research Association; National Chin-Yi University of Technology","EDP Sciences","44","","","March 8, 2016","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","","1of1","2016","English","","2261236X","","10.1051/matecconf/20164402013","02013","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","April 26, 2016 - April 27, 2016","Hong Kong, Hong kong","119811","","Conference article (CA)","This paper presents a new use of exhaustive service polling system in the intelligent traffic light control system.Vehicles arrival rate is measured in the system. Through the relationship between arrival rate and mean waiting time,mean queue length in exhaustive service polling system, achieved an technology that intelligent adjust the length of traffic light time according to the arrive rate.The more arrive rate the longer green light time. With the intelligent control, the road capacity is more. © Owned by the authors, published by EDP Sciences, 2016.","","11","Voting machines",,"Exhaustive service - Intelligent traffics - Mean queue lengths - Mean waiting time - Polling system","601.1 Mechanical Devices",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Properties and heat transfer coefficients of four molten-salt high temperature heat transfer fluid candidates for concentrating solar power plants","20174804462855","Liu, T.L. (1); Liu, W.R. (1); Xu, X.H. (1) ","(1) School of Mechanical Engineering and Automation, Harbin Institute of Technology (Shenzhen), Guangdong Province Shenzhen; 518055, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012023","012023","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Heat transfer fluid is one critical component for transferring and storing heat energy in concentrating solar power systems. Molten-salt mixtures can be used as high temperature heat transfer fluids because of their thermophysical properties. This paper studied the thermophysical properties of Li2CO3-Na2CO3-K2CO3eutectic salt and three eutectic chloride salts NaCl-KCl-ZnCl2with different compositions in the range of 450-600°C and 250-800°C, respectively. Properties including specific heat capacity, thermal conductivity, density and viscosity were determined based on imperial correlations and compared at different operating temperatures. The heat transfer coefficients of using different eutectic salts as heat transfer fluids were also calculated and compared in their operating temperature range. It is concluded that all the four eutectic salts can satisfy the requirements of a high-temperature heat transfer fluid. © Published under licence by IOP Publishing Ltd.","","18","Thermal conductivity","Eutectics - Fused salts - Heat transfer coefficients - Lithium compounds - Potash - Sodium Carbonate - Sodium chloride - Solar energy - Solar power plants - Specific heat - Temperature - Zinc chloride","Chloride salts - Concentrating solar power - Concentrating solar power plant - Critical component - High temperature heat transfer - Molten salt mixtures - Operating temperature - Operating temperature ranges","531.2 Metallography - 615.2 Solar Power - 641.1 Thermodynamics - 641.2 Heat Transfer - 657.1 Solar Energy and Phenomena - 804 Chemical Products Generally - 804.2 Inorganic Compounds",,"Number: JCYJ20160318094917454, Acronym: -, Sponsor: -; ","Support from Shenzhen Science and Technology Research and development Funds (JCYJ20160318094917454) is gratefully acknowledged.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Affine correction based image watermarking robust to geometric attacks","20172803929578","Zhang, Wuyong (1); Chen, Jianhua (1); Wang, Rongshu (1); Wang, Xiaolong (1); Meng, Tian (1) ","(1) School of Information, Yunnan University, Kunming, China ","","Parallel and Distributed Computing, Applications and Technologies, PDCAT Proceedings","Parallel Distrib. Comput. Appl. Technol. PDCAT Proc.","IEEE Computer Society Technical Committee on Parallel Processing; Sun Yat-Sen University","IEEE Computer Society","0","","167-172","July 2, 2016","Proceedings - 17th International Conference on Parallel and Distributed Computing, Applications and Technologies, PDCAT 2016","","1 of 1","2016","English","","","9781509050819","10.1109/PDCAT.2016.046","7943351","17th International Conference on Parallel and Distributed Computing, Applications and Technologies, PDCAT 2016","December 16, 2016 - December 18, 2016","Guangzhou, China","128266","","Conference article (CA)","How to resist combined geometric attacks effectively while maintain a high embedding capacity is still a challenging task for the digital watermarking research. An affine correction based algorithm is proposed in this paper, which can resist combined geometric attacks and keep a higher watermark embedding capacity. The SURF algorithm and the RANSAC algorithm are used to extract, match and select feature points from the attacked image and the original image. Then, the least square algorithm is used to estimate the affine matrix of the geometric attacks according to the relationship between the matched feature points. The attacks are corrected based on the estimated affine matrix. A fine correction step is included to improve the precision of the watermark detection. To resist the cropping attacks, the watermark information is encoded with LT-coding. The encoded watermark is embedded in the DWT-DCT composite domain of the image. Experimental results show that the proposed algorithm not only has a high embedding capacity, but also is robust to many kinds of geometric attacks. © 2016 IEEE.","","23","Geometry","Digital watermarking - Distributed computer systems - Image watermarking - Matrix algebra - Robustness (control systems)","Affine matrices - Embedding capacity - Least square algorithms - LT codes - Surf algorithms - Watermark detection - Watermark embedding - Watermark information","722.4 Digital Computers and Systems - 723.2 Data Processing and Image Processing - 731.1 Control Systems - 921 Mathematics - 921.1 Algebra",,"Number: 61062005, Acronym: -, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (Grant No.61062005)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Wind speed time series reconstruction using a hybrid neural genetic approach","20174804462852","Rodriguez, H. (1); Flores, J.J. (2); Puig, V. (3); Morales, L. (4); Guerra, A. (1); Calderon, F. (2) ","(1) Instituto Tecnológico de Culiacán, División de Estudios de Posgrado e Investigación, Juan de Dios Bátiz 310 pte., Col Guadalupe, Culiacán; C.P. 80220, Mexico (2) División de Estudios de Postgrado, Facultad de Ingenieria Eléctrica, Universidad Michoacana de San Nicolás de Hidalgo, Michoacán, Morelia, Mexico (3) Institut de Robótica i Informática Industrial (CSIC-UPC), Carrer LLorens Artigas 4-6, Barcelona; 08028, Spain (4) Facultad de Ingenieria Civil, CONACYT-Universidad Michoacana de San Nicolás de Hidalgo, Michoacán, Morelia, Mexico ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012020","012020","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","Currently, electric energy is used in practically all modern human activities. Most of the energy produced came from fossil fuels, making irreversible damage to the environment. Lately, there has been an effort by nations to produce energy using clean methods, such as solar and wind energy, among others. Wind energy is one of the cleanest alternatives. However, the wind speed is not constant, making the planning and operation at electric power systems a difficult activity. Knowing in advance the amount of raw material (wind speed) used for energy production allows us to estimate the energy to be generated by the power plant, helping the maintenance planning, the operational management, optimal operational cost. For these reasons, the forecast of wind speed becomes a necessary task. The forecast process involves the use of past observations from the variable to forecast (wind speed). To measure wind speed, weather stations use devices called anemometers, but due to poor maintenance, connection error, or natural wear, they may present false or missing data. In this work, a hybrid methodology is proposed, and it uses a compact genetic algorithm with an artificial neural network to reconstruct wind speed time series. The proposed methodology reconstructs the time series using a ANN defined by a Compact Genetic Algorithm. © Published under licence by IOP Publishing Ltd.","","22","Electric power system planning","Electric power systems - Forecasting - Fossil fuels - Genetic algorithms - Neural networks - Speed - Time series - Wind - Wind power","Compact genetic algorithm - Energy productions - Hybrid methodologies - Irreversible damage - Maintenance planning - Operational management - Solar and wind energies - Wind speed time series","443.1 Atmospheric Properties - 615.8 Wind Power (Before 1993, use code 611 ) - 706.1 Electric Power Systems - 922.2 Mathematical Statistics",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Energy Efficiency Analysis of the Discrete Time Three-Dimensional Probability CSMA Protocol in WSN","20161602265844","Zhou, Sheng Jie (1); Ding, Hong Wei (1); Yang, Zhi Jun (1); Liu, Qian Lin (1); Wang, Meng Yao (1) ","(1) School of Information, Yunnan University, Kunming, Yunnan, China ","","MATEC Web of Conferences","MATEC Web Conf.","HongKong Control Engineering and Information Science Research Association; International Frontiers of science and technology Research Association; National Chin-Yi University of Technology","EDP Sciences","44","","","March 8, 2016","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","","1of1","2016","English","","2261236X","","10.1051/matecconf/20164401024","01024","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","April 26, 2016 - April 27, 2016","Hong Kong, Hong kong","119811","","Conference article (CA)","In the wireless sensor network, energy supply and consumption is the main factors to affect survival time. Introducing the three-dimensional probability CSMA protocol, the paper analyses the system throughput, system delay and energy efficiency with using the average cycle analysis methods. For this protocol, the system time is slotted into a time slot with high channel utilization realized by the choice of three parameters P1, P2 and P3. The correctness of the theory is verified through the simulation. © Owned by the authors, published by EDP Sciences, 2016.","","11","Energy efficiency","Carrier sense multiple access - Probability - Throughput - Wireless sensor networks","Channel utilization - Cycle analysis - Discrete time - Energy efficiency analysis - Energy supplies - Paper analysis - System throughput - Three parameters","525.2 Energy Conservation - 716.3 Radio Systems and Equipment - 922.1 Probability Theory",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The Application of the Double Queue Asymmetric Gated Service Polling Control Theory in Intelligent Traffic System","20161602265845","Zhao, Yi Fan (1); Ding, Hong Wei (1); Wang, Meng Yao (1); Liang, Zhu Guan (1) ","(1) School of Informatics, Yunnan University, China ","","MATEC Web of Conferences","MATEC Web Conf.","HongKong Control Engineering and Information Science Research Association; International Frontiers of science and technology Research Association; National Chin-Yi University of Technology","EDP Sciences","44","","","March 8, 2016","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","","1of1","2016","English","","2261236X","","10.1051/matecconf/20164401025","01025","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","April 26, 2016 - April 27, 2016","Hong Kong, Hong kong","119811","","Conference article (CA)","paper presents a new use of double queues asymmetric gated service polling system in the intelligent traffic light control system.Usually there are more vehicles in main road than minor road, so there are more green light time be needed in the main road.From the computer simulation and theory analysis, we can find that the application of double queues asymmetric gated service polling theory in intelligent traffic system can balance intersections load and set suitable passing time for vehicles to assure the roads open. © Owned by the authors, published by EDP Sciences, 2016.","","6","Street traffic control","Computer control systems - Control theory - Green computing - Queueing theory - Roads and streets","Gated services - Intelligent traffic lights - Intelligent traffic systems - Intelligent traffics - Polling - Polling control - Polling system - Waiting-time","406.2 Roads and Streets - 731.1 Control Systems - 922.1 Probability Theory",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"ADNP-CSMA Random Multiple Access protocol application with the function of monitoring in Ad Hoc network","20163502758184","Zhan, Gang (1); Zhao, Yi Fan (1); Ding, Hong Wei (1); Zhou, Sheng Jie (1); Liu, Long Jun (1); Xu, Zhi (1) ","(1) Institute of Information, Yunnan University, Kunming, Yunnan; 650504, China ","","MATEC Web of Conferences","MATEC Web Conf.","HongKong Control Engineering and Information Science Research Association; International Frontiers of science and technology Research Association; National Chin-Yi University of Technology","EDP Sciences","63","","","July 12, 2016","2016 International Conference on Mechatronics, Manufacturing and Materials Engineering, MMME 2016","","1of1","2016","English","","2261236X","","10.1051/matecconf/20166304017","04017","2016 International Conference on Mechatronics, Manufacturing and Materials Engineering, MMME 2016","June 11, 2016 - June 12, 2016","Hong Kong, Hong kong","122667","","Conference article (CA)","In Ad Hoc networks,the net work of mobile nodes exchange information with their wireless transceiver equipment,the network throughput is in increased,compared to other such multiple hops network.Moreover along with the rapid development of modern information,communication business also will be increase.However,the access and adaptive of previous CSMA protocol are insufficient.According to these properties,this paper presents a kind of adaptive dual clock with monitoring function P-CSMA random multiple access protocol(ADNP-CSMA),and discusses two kinds of P-CSMA.ACK with monitoring function is introduced to maintain the stability of the whole system,and the introduction of dual clock mechanism reduces the channel of idle period.It calculate the system throughput expression through the method of average period,and the simulation results show that the system is constant in the case of high load throughput. © 2016 The Authors, published by EDP Sciences.","","9","Mobile ad hoc networks","Carrier sense multiple access - Clocks - Internet protocols - Manufacture - Radio transceivers - Throughput","Adaption - Average period - Communication business - Monitoring functions - Network throughput - Random multiple access - System throughput - Wireless transceiver","537.1 Heat Treatment Processes - 716.3 Radio Systems and Equipment - 723 Computer Software, Data Handling and Applications - 943.3 Special Purpose Instruments",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on the dynamics of the plant protocorms cell growth based on structural model","20173604126501","Yang, Chunyan (1) ","(1) Yunnan Open University, Kunming, Yunnan Province, China ","Yang, Chunyan(ychy933@163.com) ","Boletin Tecnico/Technical Bulletin","Boletin Tecnico","","Universidad Central de Venezuela","55","4","573-581","July 1, 2017","","","","2017","English","0376723X","","","","","","","","","","Journal article (JA)","Based on the research of plant cell culture technology and dynamics, the paper makes a rational analysis of the suspension culture process and the dynamic model of the culture process of the original bulb is constructed. The paper analyzes the relationships among the components in the model and the mass balance equation is got. Then the dynamic equation is established, and the differential equation of the dynamic model is obtained. The model parameters are determined. The simulation results of the model are basically the same as the experimental results. At the same time, the initial conditions of different initial conditions are analyzed. The result shows that the proposed dynamic model can well reflect the whole culture process.","","17","Dynamic models","Cell culture - Differential equations - Dynamics - Plant cell culture","Dynamic equations - Initial conditions - Mass balance equations - Model parameters - Protocorms - Rational analysis - Structural modeling - Suspension cultures","921 Mathematics - 921.2 Calculus",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A grid-connected single-phase photovoltaic micro inverter","20174804462767","Wen, X.Y. (1); Lin, P.J. (1, 2); Chen, Z.C. (1, 2); Wu, L.J. (1, 2); Cheng, S.Y. (1, 2) ","(1) Institute of Micro/Nano Devices and Solar Cells, College of Physics and Information Engineering, Fuzhou University, Fuzhou; 350116, China (2) Jiangsu Collaborative Innovation Center of Photovoltaic Science and Engineering, Changzhou; 213164, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012079","012079","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","In this paper, the topology of a single-phase grid-connected photovoltaic (PV) micro-inverter is proposed. The PV micro-inverter consists of DC-DC stage with high voltage gain boost and DC-AC conversion stage. In the first stage, we apply the active clamp circuit and two voltage multipliers to achieve soft switching technology and high voltage gain. In addition, the flower pollination algorithm (FPA) is employed for the maximum power point tracking (MPPT) in the PV module in this stage. The second stage cascades a H-bridge inverter and LCL filter. To feed high quality sinusoidal power into the grid, the software phase lock, outer voltage loop and inner current loop control method are adopted as the control strategy. The performance of the proposed topology is tested by Matlab/Simulink. A PV module with maximum power 300W and maximum power point voltage 40V is applied as the input source. The simulation results indicate that the proposed topology and the control strategy are feasible. © Published under licence by IOP Publishing Ltd.","","16","Electric inverters","Bridge circuits - DC-DC converters - Electric power system control - Gain measurement - HVDC power transmission - MATLAB - Maximum power point trackers - Photovoltaic cells - Quality control - Topology","Active clamp circuits - Flower pollination algorithms - Grid-connected photovoltaic - Grid-connected single-phase photovoltaic - H-bridge inverters - Maximum power point - Maximum Power Point Tracking - Voltage multipliers","704.1 Electric Components - 704.2 Electric Equipment - 706.1 Electric Power Systems - 706.1.1 Electric Power Transmission - 913.3 Quality Assurance and Control - 921 Mathematics - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 942.2 Electric Variables Measurements",,"Number: JAT160073, Acronym: -, Sponsor: -; Number: 2015H0021, Acronym: -, Sponsor: Fujian Provincial Department of Science and Technology; Number: 2015J05124, Acronym: -, Sponsor: Fujian Provincial Department of Science and Technology; Number: LXKQ201504, Acronym: -, Sponsor: -; Number: -, Acronym: -, Sponsor: Joint Research Fund for Overseas Chinese Scholars and Scholars in Hong Kong and Macao; Number: 61574038, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 31300473, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was supported by the National Natural Science Foundation of China (Grant No. 61574038 and Grant No. 31300473), the Science Foundation of Fujian Education Department (Grant No. JAT160073), the Science Foundation of Fujian Science & Technology Department (Grant No. 2015H0021 and Grant No. 2015J05124), and the Scientific Research Foundation for the Returned Overseas Chinese Scholars, State Education Ministry (Grant No. LXKQ201504).","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Multi-channel Dual Clocks three-dimensional probability Random Multiple Access protocol for Wireless Public Bus Networks based on RTS/CTS mechanism","20161602265842","Zhou, Sheng Jie (1); Ding, Hong Wei (1); Wang, Meng Yao (1); Liu, Qian Lin (1); Yang, Zhi Jun (1) ","(1) School of Informaton, Yunnan University, Kunming; 650091, China ","Ding, Hong Wei(dhw1964@163.com) ","MATEC Web of Conferences","MATEC Web Conf.","HongKong Control Engineering and Information Science Research Association; International Frontiers of science and technology Research Association; National Chin-Yi University of Technology","EDP Sciences","44","","","March 8, 2016","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","","1of1","2016","English","","2261236X","","10.1051/matecconf/20164401022","01022","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","April 26, 2016 - April 27, 2016","Hong Kong, Hong kong","119811","","Conference article (CA)","A MAC protocol for public bus networks, called Bus MAC protocol, designed to provide high quality Internet service for bus passengers. The paper proposed a multi-channel dual clocks three-demission probability random multiple access protocol based on RTS/CTS mechanism, decreasing collisions caused by multiple access from multiple passengers. Use the RTS/CTS mechanism increases the reliability and stability of the system, reducing the collision possibility of the information packets to a certain extent, improves the channel utilization; use the multi-channel mechanism, not only enables the channel load balancing, but also solves the problem of the hidden terminal and exposed terminal. Use the dual clocks mechanism, reducing the system idle time. At last, the different selection of the three-dimensional probabilities can make the system throughput adapt to the network load which could realize the maximum of the system throughput. © Owned by the authors, published by EDP Sciences, 2016.","","8","Internet protocols","Buses - Clocks - Medium access control - Probability - System stability","Channel utilization - Exposed terminal - Information packets - Internet services - Public bus networks - Random multiple access - Reliability and stability - System throughput","663.1 Heavy Duty Motor Vehicles - 723 Computer Software, Data Handling and Applications - 922.1 Probability Theory - 943.3 Special Purpose Instruments - 961 Systems Science",,"Number: 61072079, Acronym: -, Sponsor: National Natural Science Foundation of China; ","National Natural Science Foundation of China (61461053, 61461054, 61072079)","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on the change of Vietnam's foreign-trade dependence based on big data analysis","20174504376033","Wei, Rao (1); Liran, Xiong (1) ","(1) Yunnan Normal University, Kunming, Yunnan; 650500, China ","Liran, Xiong(xiongliran@126.com) ","Proceedings - 2016 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2016","Proc. -Int. Conf. Intell. Transp., Big Data Smart City, ICITBS","","Institute of Electrical and Electronics Engineers Inc.","","","253-256","September 19, 2017","Proceedings - 2016 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2016","","1 of 1","2016","English","","","9781509060610","10.1109/ICITBS.2016.50","8047151","2016 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2016","December 17, 2016 - December 18, 2016","Changsha, Hunan, China","130907","","Conference article (CA)","Foreign-Trade dependence is an important index for a country's foreign-oriented development and internationalization level of economy. Based on the measuring and evaluation methods of foreign-Trade dependence, this research applies relevant big data of social economy and foreign trade to measure and evaluate the foreign-Trade dependence of Vietnam since its implementation of the reform and opening up policy. According to the results of big data analysis, the country's foreign-Trade dependence has picked up year by year since then. In view of the countries that its foreign trade depends on as well as the regional structure, Vietnam's regional dependence has a relatively high concentration in its foreign-Trade dependence. © 2016 IEEE.","","5","Big data","Data handling - Information analysis - International trade - Smart city","Evaluation methods - Regional structure - Social economy - Viet Nam","723.2 Data Processing and Image Processing - 903.1 Information Sources and Analysis",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Influence of rubber cultivation on the aquatic ecology of the Naban River","20160301816129","Zhao, Na (1, 2); Wang, Zhaoyin (1); Xu, Mengzhen (1); Zhou, Xiongdong (1); Zhang, Chendi (1) ","(1) State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing; 100084, China (2) College of Agricultural Engineering, Henan University of Science and Technology, Luoyang; 471003, China ","Wang, Zhaoyin(zywang@mail.tsinghua.edu.cn) ","Qinghua Daxue Xuebao/Journal of Tsinghua University","Qinghua Daxue Xuebao","","Press of Tsinghua University","55","12","1296-1302","December 1, 2015","","","","2015","Chinese","10000054","","","10.16511/j.cnki.qhdxxb.2015.24.005","","","","","","QDXKE8","Journal article (JA)","Xishuangbanna in southern Yunnan is one of the global hotspots of biodiversity protection. Large-scale rubber cultivation has altered the river conditions by changing the hydraulics, sediment conditions, and water quality. Research about the influence of rubber cultivation on the aquatic ecology is very important for regional ecology and sustainable utilization of resources in this region. Field sampling, measurements and indoor identification were used in this research with the Naban River chosen as the research stream. Macroinvertebrates were used as indicators to assess the ecological status of the river and the influence of rubber cultivation on the ecology. The results show that the rubber cultivation has little impact on the water quality in the survey section with Grade water quality. With the increase of rubber cultivation intensity, the biodiversity of macroinvertebrates trended to decrease. The abundance ratio of sensitive species (Ephemeroptera, Trichoptera and Plecoptera) to the total macroinvertebrates trended to decrease. The abundance ratio of Diptera trended to increase. With the increase of rubber cultivation intensity, the abundance ratio of shredders trended to increase. The abundance ratio of predators trended to decrease. © 2015, Press of Tsinghua University. All right reserved.","","21","Ecology","Biodiversity - Rivers - Rubber - Water quality","Abundance ratios - Aquatic ecology - Biodiversity protection - Ecological status - Field sampling - Macroinvertebrates - Sensitive species - Sustainable utilization","445.2 Water Analysis - 454 Environmental Engineering - 454.3 Ecology and Ecosystems - 818.1 Natural Rubber",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Prediction model of energy consumption in Jiangsu Province based on constraint condition of carbon emission","20174804462870","Chang, Z.G. (1); Xue, T.T. (2); Chen, Y.J. (1); Chao, X.H. (1) ","(1) Department of Mining, Xinjiang Institute of Engineering, Urumqi; 830000, China (2) Department of Basis Teaching, Xinjiang Institute of Engineering, Urumqi; 830000, China ","","IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser. Earth Environ. Sci.","Yunnan Normal University","Institute of Physics Publishing","93","1","","November 9, 2017","2017 International Conference on New Energy and Future Energy System, NEFES 2017","","1 of 1","2017","English","17551307","17551315","","10.1088/1755-1315/93/1/012038","012038","2nd International Conference on New Energy and Future Energy System, NEFES 2017","September 22, 2017 - September 25, 2017","Kunming, China","131774","","Conference article (CA)","In order to achieve the targets for energy conservation and economic development goals in Jiangsu Province under the constraint of carbon emission, this paper uses the gray GM (1,1) model to predict and optimize the consumption structure of major energy sources (coal, oil, natural gas, etc.) in Jiangsu province in the »13th Five-Year» period and the next seven years. The predictions meet the requirement of reducing carbon dioxide emissions per unit GDP of China by 50%. The results show that the proposed approach and model is effective. Finally, we put forward opinions and suggestions on the way of energy-saving and emission-reduction, the adjustment of energy structure and the policy of coal consumption in Jiangsu Province. © Published under licence by IOP Publishing Ltd.","","7","System theory","Carbon dioxide - Emission control - Energy conservation - Energy utilization - Forecasting - Global warming","Carbon dioxide emissions - Constraint conditions - Consumption structure - Economic development - Energy saving and emission reductions - Energy structures - Gray gm(1 ,1) models - Prediction model","443.1 Atmospheric Properties - 451.2 Air Pollution Control - 525.2 Energy Conservation - 525.3 Energy Utilization - 804.2 Inorganic Compounds - 961 Systems Science",,"Number: Y141310017, Acronym: -, Sponsor: Urumqi Science and Technology Bureau; Number: 2015xgy331712, Acronym: -, Sponsor: -; ","This study was supported by the Foundation of Urumqi Science & Technology Bureau (Y141310017) and the Research Foundation of Xinjiang Institute of Engineering (2015xgy331712). The authors are grateful for the supports.","Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Research on optimized land use structure of kunming under the concept of smart city-analysis based on big data of urban development","20174504375267","Wei, Rao (1) ","(1) Yunnan Normal University, Kunming, Yunnan; 650500, China ","Wei, Rao(1021014579@qq.com) ","Proceedings - 2016 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2016","Proc. -Int. Conf. Intell. Transp., Big Data Smart City, ICITBS","","Institute of Electrical and Electronics Engineers Inc.","","","155-158","September 19, 2017","Proceedings - 2016 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2016","","1 of 1","2016","English","","","9781509060610","10.1109/ICITBS.2016.49","8047128","2016 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2016","December 17, 2016 - December 18, 2016","Changsha, Hunan, China","130907","","Conference article (CA)","This paper makes use of the big data of urban development via the application of the diversification index and fragmentation index of land use to analyze the urban land use structure of Kunming and evaluate the urban land use efficiency of Kunming based on the indexes of the GDP per unit area of land and population capacity, targeting the existing problems in the urban land use structure of Kunming, this paper proposes optimized urban land use structure in terms of the construction of smart public services and urban management systems, smart urban complexes, smart urban safe housing system and smart urban traffic system on the basis of the smart city concept. © 2016 IEEE.","","3","Big data","Efficiency - Information management - Land use - Population statistics - Smart city - Urban growth","Existing problems - Fragmentation index - Land use efficiency - Land-use structures - Public services - Urban development - Urban management - Urban traffic system","403 Urban and Regional Planning and Development - 403.1 Urban Planning and Development - 723.2 Data Processing and Image Processing - 913.1 Production Engineering",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
